canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
toyama_kasumi,bang_dream!,https://popipa-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Poppin'Dream movie character roster explicitly lists 戸山香澄 (Toyama Kasumi) as a Poppin'Party character.",Exact Japanese character name matches the accepted Issue #70 Character display.
hanazono_tae,bang_dream!,https://popipa-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Poppin'Dream movie character roster explicitly lists 花園たえ (Hanazono Tae) as a Poppin'Party character.",Exact Japanese character name matches the accepted Issue #70 Character display.
ushigome_rimi,bang_dream!,https://popipa-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Poppin'Dream movie character roster explicitly lists 牛込りみ (Ushigome Rimi) as a Poppin'Party character.",Exact Japanese character name matches the accepted Issue #70 Character display.
yamabuki_saya,bang_dream!,https://popipa-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Poppin'Dream movie character roster explicitly lists 山吹沙綾 (Yamabuki Saya) as a Poppin'Party character.",Exact Japanese character name matches the accepted Issue #70 Character display.
ichigaya_arisa,bang_dream!,https://popipa-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Poppin'Dream movie character roster explicitly lists 市ヶ谷有咲 (Ichigaya Arisa) as a Poppin'Party character.",Exact Japanese character name matches the accepted Issue #70 Character display.
kurata_mashiro,bang_dream!,https://popipa-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Poppin'Dream movie character roster explicitly lists 倉田ましろ (Kurata Mashiro) as a Morfonica character.",Exact Japanese character name matches the accepted Issue #70 Character display.
kirigaya_toko,bang_dream!,https://popipa-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Poppin'Dream movie character roster explicitly lists 桐ヶ谷透子 (Kirigaya Toko) as a Morfonica character.",Exact Japanese character name matches the accepted Issue #70 Character display.
hiromachi_nanami,bang_dream!,https://popipa-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Poppin'Dream movie character roster explicitly lists 広町七深 (Hiromachi Nanami) as a Morfonica character.",Exact Japanese character name matches the accepted Issue #70 Character display.
futaba_tsukushi,bang_dream!,https://popipa-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Poppin'Dream movie character roster explicitly lists 二葉つくし (Futaba Tsukushi) as a Morfonica character.",Exact Japanese character name matches the accepted Issue #70 Character display.
yashio_rui,bang_dream!,https://popipa-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Poppin'Dream movie character roster explicitly lists 八潮瑠唯 (Yashio Rui) as a Morfonica character.",Exact Japanese character name matches the accepted Issue #70 Character display.
minato_yukina,bang_dream!,https://roselia-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Episode of Roselia character page names Yukina Minato (湊友希那) as Roselia's vocalist.",Exact Japanese name and official romanization match the accepted catalog identity.
hikawa_sayo,bang_dream!,https://roselia-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Episode of Roselia character page names Sayo Hikawa (氷川紗夜) as Roselia's guitarist.",Exact Japanese name and official romanization match the accepted catalog identity.
imai_lisa,bang_dream!,https://roselia-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Episode of Roselia character page names Lisa Imai (今井リサ) as Roselia's bassist.",Exact Japanese name and official romanization match the accepted catalog identity.
udagawa_ako,bang_dream!,https://roselia-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Episode of Roselia character page names Ako Udagawa (宇田川あこ) as Roselia's drummer.",Exact Japanese name and official romanization match the accepted catalog identity.
shirokane_rinko,bang_dream!,https://roselia-movie.bang-dream.com/character/,OFFICIAL_CHARACTER_ROSTER,"The official BanG Dream! Episode of Roselia character page names Rinko Shirokane (白金燐子) as Roselia's keyboardist.",Exact Japanese name and official romanization match the accepted catalog identity.
