canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
kudou_taiki,digimon_xros_wars,https://lineup.toei-anim.co.jp/ja/tv/digimon_xw/character/,TOEI_OFFICIAL_CHARACTER_ROSTER,"Toei Animation's official Digimon Xros Wars character/cast roster names 工藤タイキ (Kudou Taiki) as a character in that series.",Exact named person in the work-specific first-party cast roster; no franchise-wide inference.
shinkai_haru,digimon_universe:_appli_monsters,https://lineup.toei-anim.co.jp/ja/tv/appmon/character/,TOEI_OFFICIAL_CHARACTER_ROSTER,"Toei Animation's official Appmon character/cast roster names 新海ハル (Shinkai Haru) as a lead character of Digimon Universe: Appli Monsters.",Exact named person in the work-specific first-party cast roster; use the catalog's Appli Monsters Copyright root.
dokamon,digimon_universe:_appli_monsters,https://lineup.toei-anim.co.jp/ja/tv/appmon/character/,TOEI_OFFICIAL_CHARACTER_ROSTER,"Toei Animation's official Appmon character/cast roster names ドカモン (Dokamon) among the named Appmon characters.",Exact named Appmon identity in the work-specific first-party cast roster.
gatchmon,digimon_universe:_appli_monsters,https://lineup.toei-anim.co.jp/ja/tv/appmon/character/,TOEI_OFFICIAL_CHARACTER_ROSTER,"Toei Animation's official Appmon character/cast roster names ガッチモン (Gatchmon) among the named Appmon characters.",Exact named Appmon identity in the work-specific first-party cast roster.
offmon,digimon_universe:_appli_monsters,https://lineup.toei-anim.co.jp/ja/tv/appmon/character/,TOEI_OFFICIAL_CHARACTER_ROSTER,"Toei Animation's official Appmon character/cast roster names オフモン (Offmon) as an Appmon character.",Exact named Appmon identity in the work-specific first-party cast roster.
tenma_tomoro,digimon_beatbreak,https://digimon-anime.com/news/2025080106/,OFFICIAL_ANIME_CAST_ANNOUNCEMENT,"The official Digimon Anime Portal's DIGIMON BEATBREAK announcement identifies 天馬トモロウ (Tenma Tomoro) in the story introduction and names him in the cast list.",Exact named protagonist in the work-specific official announcement; direct HOME only.
sakuya_reina,digimon_beatbreak,https://digimon-anime.com/news/2025080106/,OFFICIAL_ANIME_CAST_ANNOUNCEMENT,"The official Digimon Anime Portal's DIGIMON BEATBREAK cast list names 咲夜レーナ (Sakuya Reina) and her performer.",Exact named cast character in the work-specific official announcement; direct HOME only.
kuonji_makoto,digimon_beatbreak,https://digimon-anime.com/news/2025080106/,OFFICIAL_ANIME_CAST_ANNOUNCEMENT,"The official Digimon Anime Portal's DIGIMON BEATBREAK cast list names 久遠寺マコト (Kuonji Makoto) and her performer.",Exact named cast character in the work-specific official announcement; direct HOME only.
sawashiro_kyo,digimon_beatbreak,https://digimon-anime.com/news/2025080106/,OFFICIAL_ANIME_CAST_ANNOUNCEMENT,"The official Digimon Anime Portal's DIGIMON BEATBREAK introduction names 沢城キョウ (Sawashiro Kyo) as a member of Golden Dawn and the cast list names his performer.",Exact named character in the work-specific official announcement; direct HOME only.
motomiya_daisuke,digimon_adventure_02,https://lineup.toei-anim.co.jp/ja/tv/digimon02/character/,TOEI_OFFICIAL_CHARACTER_ROSTER,"Toei Animation's official Digimon Adventure 02 character/cast roster explicitly names Motomiya Daisuke (本宮大輔) as a character in Digimon Adventure 02.",Exact named person in the work-specific first-party cast roster.
