canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
aerith_gainsborough,final_fantasy_vii,https://safebooru.donmai.us/wiki_pages/final_fantasy_vii,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vii page describes the work and explicitly names Aerith Gainsborough under Major; the exact work Copyright root final_fantasy_vii is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
barret_wallace,final_fantasy_vii,https://safebooru.donmai.us/wiki_pages/final_fantasy_vii,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vii page describes the work and explicitly names Barret Wallace under Major; the exact work Copyright root final_fantasy_vii is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
cid_highwind,final_fantasy_vii,https://safebooru.donmai.us/wiki_pages/final_fantasy_vii,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vii page describes the work and explicitly names Cid Highwind under Major; the exact work Copyright root final_fantasy_vii is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
jenova,final_fantasy_vii,https://safebooru.donmai.us/wiki_pages/final_fantasy_vii,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vii page describes the work and explicitly names Jenova under Major; the exact work Copyright root final_fantasy_vii is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
red_xiii,final_fantasy_vii,https://safebooru.donmai.us/wiki_pages/final_fantasy_vii,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vii page describes the work and explicitly names Red XIII under Major; the exact work Copyright root final_fantasy_vii is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
sephiroth,final_fantasy_vii,https://safebooru.donmai.us/wiki_pages/final_fantasy_vii,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vii page describes the work and explicitly names Sephiroth under Major; the exact work Copyright root final_fantasy_vii is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
vincent_valentine,final_fantasy_vii,https://safebooru.donmai.us/wiki_pages/final_fantasy_vii,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vii page describes the work and explicitly names Vincent Valentine under Major; the exact work Copyright root final_fantasy_vii is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
yuffie_kisaragi,final_fantasy_vii,https://safebooru.donmai.us/wiki_pages/final_fantasy_vii,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vii page describes the work and explicitly names Yuffie Kisaragi under Major; the exact work Copyright root final_fantasy_vii is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
zack_fair,final_fantasy_vii,https://safebooru.donmai.us/wiki_pages/final_fantasy_vii,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vii page describes the work and explicitly names Zack Fair under Minor; the exact work Copyright root final_fantasy_vii is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
celes_chere,final_fantasy_vi,https://safebooru.donmai.us/wiki_pages/final_fantasy_vi,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vi page describes the work and explicitly names Celes Chere under Characters; the exact work Copyright root final_fantasy_vi is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
cyan_garamonde,final_fantasy_vi,https://safebooru.donmai.us/wiki_pages/final_fantasy_vi,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vi page describes the work and explicitly names Cyan Garamonde under Characters; the exact work Copyright root final_fantasy_vi is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
edgar_roni_figaro,final_fantasy_vi,https://safebooru.donmai.us/wiki_pages/final_fantasy_vi,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vi page describes the work and explicitly names Edgar Roni Figaro under Characters; the exact work Copyright root final_fantasy_vi is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
kefka_palazzo,final_fantasy_vi,https://safebooru.donmai.us/wiki_pages/final_fantasy_vi,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vi page describes the work and explicitly names Kefka Palazzo under Characters; the exact work Copyright root final_fantasy_vi is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
locke_cole,final_fantasy_vi,https://safebooru.donmai.us/wiki_pages/final_fantasy_vi,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vi page describes the work and explicitly names Locke Cole under Characters; the exact work Copyright root final_fantasy_vi is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
relm_arrowny,final_fantasy_vi,https://safebooru.donmai.us/wiki_pages/final_fantasy_vi,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vi page describes the work and explicitly names Relm Arrowny under Characters; the exact work Copyright root final_fantasy_vi is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
sabin_rene_figaro,final_fantasy_vi,https://safebooru.donmai.us/wiki_pages/final_fantasy_vi,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vi page describes the work and explicitly names Sabin Rene Figaro under Characters; the exact work Copyright root final_fantasy_vi is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
setzer_gabbiani,final_fantasy_vi,https://safebooru.donmai.us/wiki_pages/final_fantasy_vi,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vi page describes the work and explicitly names Setzer Gabbiani under Characters; the exact work Copyright root final_fantasy_vi is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
strago_magus,final_fantasy_vi,https://safebooru.donmai.us/wiki_pages/final_fantasy_vi,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vi page describes the work and explicitly names Strago Magus under Characters; the exact work Copyright root final_fantasy_vi is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
terra_branford,final_fantasy_vi,https://safebooru.donmai.us/wiki_pages/final_fantasy_vi,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vi page describes the work and explicitly names Terra Branford under Characters; the exact work Copyright root final_fantasy_vi is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
ultros,final_fantasy_vi,https://safebooru.donmai.us/wiki_pages/final_fantasy_vi,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy vi page describes the work and explicitly names Ultros under Characters; the exact work Copyright root final_fantasy_vi is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
bartz_klauser,final_fantasy_v,https://safebooru.donmai.us/wiki_pages/final_fantasy_v,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy v page describes the work and explicitly names Bartz Klauser under Characters; the exact work Copyright root final_fantasy_v is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
faris_scherwiz,final_fantasy_v,https://safebooru.donmai.us/wiki_pages/final_fantasy_v,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy v page describes the work and explicitly names Faris Scherwiz under Characters; the exact work Copyright root final_fantasy_v is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
galuf_halm_baldesion,final_fantasy_v,https://safebooru.donmai.us/wiki_pages/final_fantasy_v,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy v page describes the work and explicitly names Galuf Halm Baldesion under Characters; the exact work Copyright root final_fantasy_v is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
lenna_charlotte_tycoon,final_fantasy_v,https://safebooru.donmai.us/wiki_pages/final_fantasy_v,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy v page describes the work and explicitly names Lenna Charlotte Tycoon under Characters; the exact work Copyright root final_fantasy_v is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
kimahri_ronso,final_fantasy_x,https://safebooru.donmai.us/wiki_pages/final_fantasy_x,DANBOORU_CURATED_CHARACTER_LIST,"The curated final fantasy x page describes the work and explicitly names Kimahri Ronso under Characters; the exact work Copyright root final_fantasy_x is used.","Exact named character entry on the work-specific roster; no Final Fantasy umbrella or neighboring-game inference."
