canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
allelujah_haptism,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Allelujah Haptism in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
anew_returner,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Anew Returner in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
christina_sierra,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Christina Sierra in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
feldt_grace,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Feldt Grace in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
graham_aker,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Graham Aker in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
hilling_care,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Hilling Care in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
kati_mannequin,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Kati Mannequin in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
lockon_stratos,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Lockon Stratos in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
louise_halevy,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Louise Halevy in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
lyle_dylandy,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Lyle Dylandy in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
marina_ismail,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Marina Ismail in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
mileina_vashti,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Mileina Vashti in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
neil_dylandy,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Neil Dylandy in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
nena_trinity,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Nena Trinity in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
patrick_colasour,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Patrick Colasour in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
regene_regetta,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Regene Regetta in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
revive_revival,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Revive Revival in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
ribbons_almark,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Ribbons Almark in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
saji_crossroad,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Saji Crossroad in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
shirin_bakhtiar,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Shirin Bakhtiar in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
soma_peries,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Soma Peries in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
sumeragi_lee_noriega,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Sumeragi Lee Noriega in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
tieria_erde,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Tieria Erde in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
wang_liu_mei,gundam_00,https://safebooru.donmai.us/wiki_pages/gundam_00,DANBOORU_CURATED_CHARACTER_LIST,"The curated Gundam 00 work page names Wang Liu Mei in its explicit Characters section; this row records the exact catalog Character under the Gundam 00 work.",Gundam 00: Characters roster.
