canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
baba_konomi,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Baba Konomi as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
emily_stewart,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Emily Stewart as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
fukuda_noriko,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Fukuda Noriko as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
hakozaki_serika,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Hakozaki Serika as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
handa_roco,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Handa Roco as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
ibuki_tsubasa,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Ibuki Tsubasa as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
kasuga_mirai,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Kasuga Mirai as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
kinoshita_hinata,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Kinoshita Hinata as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
kitakami_reika,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Kitakami Reika as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
kitazawa_shiho,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Kitazawa Shiho as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
kousaka_umi,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Kousaka Umi as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
makabe_mizuki,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Makabe Mizuki as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
maihama_ayumu,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Maihama Ayumu as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
matsuda_arisa,idolmaster_million_live!,https://safebooru.donmai.us/wiki_pages/list_of_idolmaster_million_live!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Danbooru roster identifies Matsuda Arisa as a named Idolmaster Million Live character; the exact catalog Character tag is paired only with this work's Copyright root.",List of Idolmaster Million Live! Characters: unstarred named roster entry.
