canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
air_defense_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Air Defense Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Destroyer.
aircraft_carrier_oni,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Aircraft Carrier Oni among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Standard Aircraft Carrier.
aircraft_carrier_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Aircraft Carrier Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Standard Aircraft Carrier.
aircraft_carrier_summer_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Aircraft Carrier Summer Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Standard Aircraft Carrier.
aircraft_carrier_water_oni,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Aircraft Carrier Water Oni among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Standard Aircraft Carrier.
anchorage_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Anchorage Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Aviation Battleship.
anchorage_water_oni,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Anchorage Water Oni among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Aviation Battleship.
ancient_destroyer_oni,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Ancient Destroyer Oni among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Destroyer.
battleship_summer_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Battleship Summer Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Battleship.
battleship_water_oni,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Battleship Water Oni among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Battleship.
central_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Central Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Installation.
destroyer_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Destroyer Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Destroyer.
destroyer_water_oni,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Destroyer Water Oni among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Destroyer.
european_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists European Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Battleship.
french_battleship_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists French Battleship Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Battleship.
heavy_cruiser_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Heavy Cruiser Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Heavy Cruiser.
heavy_cruiser_summer_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Heavy Cruiser Summer Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Heavy Cruiser.
isolated_island_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Isolated Island Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Installation.
light_cruiser_oni,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Light Cruiser Oni among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Light Cruiser.
light_cruiser_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Light Cruiser Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Light Cruiser.
lycoris_princess,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Lycoris Princess among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Installation.
ne-class_heavy_cruiser,kantai_collection,https://safebooru.donmai.us/wiki_pages/list_of_kantai_collection_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Kantai Collection character roster explicitly lists Ne-class Heavy Cruiser among the game's Abyssal ship characters; this row maps only that exact catalog Character to Kantai Collection.",List of Kantai Collection Characters: Abyssal ships / Heavy Cruiser.
