canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
magolor,kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Magolor as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry; use the stable series root and not the Air Riders title as HOME.
gooey_(kirby),kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Gooey as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry; use the stable series root and not the Air Riders title as HOME.
cappy_(kirby),kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Cappy as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry; use the stable series root and not the Air Riders title as HOME.
starman_(kirby),kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Starman as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry; use the stable series root and not the Air Riders title as HOME.
rick_(kirby),kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Rick as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry; canonical tag is disambiguated to Kirby.
susie_(kirby),kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Susie as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry; use the stable series root and not the Air Riders title as HOME.
lalala_(kirby),kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names the Lololo & Lalala duo, explicitly covering Lalala.",Exact named duo member in an official Kirby-series roster; use the stable series root.
lololo_(kirby),kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names the Lololo & Lalala duo, explicitly covering Lololo.",Exact named duo member in an official Kirby-series roster; use the stable series root.
marx_(kirby),kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Marx as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry; canonical tag is disambiguated to Kirby.
daroach,kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Daroach as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry; exact canonical Character catalog key.
scarfy,kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Scarfy as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry.
taranza,kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Taranza as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry.
waddle_doo,kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Waddle Doo as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry.
chef_kawasaki,kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Chef Kawasaki as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry.
rocky_(kirby),kirby_(series),https://www.nintendo.com/us/gaming-systems/switch-2/featured-games/kirby-air-riders/riders-and-machines/,NINTENDO_OFFICIAL_KIRBY_ROSTER,"Nintendo's official Kirby Air Riders Riders & Machines roster names Rocky as a rider in a Kirby-series title.",Exact named Kirby-series character roster entry; use the stable series root and not the Air Riders title as HOME.
