canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
uehara_ayumu,love_live!_nijigasaki_high_school_idol_club,https://www.shochiku.co.jp/cinema/lineup/%E6%98%A0%E7%94%BB%E3%80%8E%E3%83%A9%E3%83%96%E3%83%A9%E3%82%A4%E3%83%96%EF%BC%81%E8%99%B9%E3%83%B6%E5%92%B2%E5%AD%A6%E5%9C%92%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E5%90%8C%E5%A5%BD%E4%BC%9A/,OFFICIAL_DISTRIBUTOR_CAST_LIST,"Shochiku's official cast list for the Nijigasaki High School Idol Club film names 上原歩夢, matching the accepted catalog display for uehara_ayumu.",Exact Japanese display match in the official film cast; use the catalog's Nijigasaki series Copyright root.
takasaki_yu,love_live!_nijigasaki_high_school_idol_club,https://www.shochiku.co.jp/cinema/lineup/%E6%98%A0%E7%94%BB%E3%80%8E%E3%83%A9%E3%83%96%E3%83%A9%E3%82%A4%E3%83%96%EF%BC%81%E8%99%B9%E3%83%B6%E5%92%B2%E5%AD%A6%E5%9C%92%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E5%90%8C%E5%A5%BD%E4%BC%9A/,OFFICIAL_DISTRIBUTOR_CAST_LIST,"Shochiku's official cast list for the Nijigasaki High School Idol Club film names 高咲侑, matching the accepted catalog display for takasaki_yu.",Exact Japanese display match in the official film cast; use the catalog's Nijigasaki series Copyright root.
nakasu_kasumi,love_live!_nijigasaki_high_school_idol_club,https://www.shochiku.co.jp/cinema/lineup/%E6%98%A0%E7%94%BB%E3%80%8E%E3%83%A9%E3%83%96%E3%83%A9%E3%82%A4%E3%83%96%EF%BC%81%E8%99%B9%E3%83%B6%E5%92%B2%E5%AD%A6%E5%9C%92%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E5%90%8C%E5%A5%BD%E4%BC%9A/,OFFICIAL_DISTRIBUTOR_CAST_LIST,"Shochiku's official cast list for the Nijigasaki High School Idol Club film names 中須かすみ, matching the accepted catalog display for nakasu_kasumi.",Exact Japanese display match in the official film cast; use the catalog's Nijigasaki series Copyright root.
osaka_shizuku,love_live!_nijigasaki_high_school_idol_club,https://www.shochiku.co.jp/cinema/lineup/%E6%98%A0%E7%94%BB%E3%80%8E%E3%83%A9%E3%83%96%E3%83%A9%E3%82%A4%E3%83%96%EF%BC%81%E8%99%B9%E3%83%B6%E5%92%B2%E5%AD%A6%E5%9C%92%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E5%90%8C%E5%A5%BD%E4%BC%9A/,OFFICIAL_DISTRIBUTOR_CAST_LIST,"Shochiku's official cast list for the Nijigasaki High School Idol Club film names 桜坂しずく, matching the accepted catalog display for osaka_shizuku.",Exact Japanese display match in the official film cast; use the catalog's Nijigasaki series Copyright root.
asaka_karin,love_live!_nijigasaki_high_school_idol_club,https://www.shochiku.co.jp/cinema/lineup/%E6%98%A0%E7%94%BB%E3%80%8E%E3%83%A9%E3%83%96%E3%83%A9%E3%82%A4%E3%83%96%EF%BC%81%E8%99%B9%E3%83%B6%E5%92%B2%E5%AD%A6%E5%9C%92%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E5%90%8C%E5%A5%BD%E4%BC%9A/,OFFICIAL_DISTRIBUTOR_CAST_LIST,"Shochiku's official cast list for the Nijigasaki High School Idol Club film names 朝香果林, matching the accepted catalog display for asaka_karin.",Exact Japanese display match in the official film cast; use the catalog's Nijigasaki series Copyright root.
miyashita_ai,love_live!_nijigasaki_high_school_idol_club,https://www.shochiku.co.jp/cinema/lineup/%E6%98%A0%E7%94%BB%E3%80%8E%E3%83%A9%E3%83%96%E3%83%A9%E3%82%A4%E3%83%96%EF%BC%81%E8%99%B9%E3%83%B6%E5%92%B2%E5%AD%A6%E5%9C%92%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E5%90%8C%E5%A5%BD%E4%BC%9A/,OFFICIAL_DISTRIBUTOR_CAST_LIST,"Shochiku's official cast list for the Nijigasaki High School Idol Club film names 宮下愛, matching the accepted catalog display for miyashita_ai.",Exact Japanese display match in the official film cast; use the catalog's Nijigasaki series Copyright root.
konoe_kanata,love_live!_nijigasaki_high_school_idol_club,https://www.shochiku.co.jp/cinema/lineup/%E6%98%A0%E7%94%BB%E3%80%8E%E3%83%A9%E3%83%96%E3%83%A9%E3%82%A4%E3%83%96%EF%BC%81%E8%99%B9%E3%83%B6%E5%92%B2%E5%AD%A6%E5%9C%92%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E5%90%8C%E5%A5%BD%E4%BC%9A/,OFFICIAL_DISTRIBUTOR_CAST_LIST,"Shochiku's official cast list for the Nijigasaki High School Idol Club film names 近江彼方, matching the accepted catalog display for konoe_kanata.",Exact Japanese display match in the official film cast; use the catalog's Nijigasaki series Copyright root.
yuki_setsuna,love_live!_nijigasaki_high_school_idol_club,https://www.shochiku.co.jp/cinema/lineup/%E6%98%A0%E7%94%BB%E3%80%8E%E3%83%A9%E3%83%96%E3%83%A9%E3%82%A4%E3%83%96%EF%BC%81%E8%99%B9%E3%83%B6%E5%92%B2%E5%AD%A6%E5%9C%92%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E5%90%8C%E5%A5%BD%E4%BC%9A/,OFFICIAL_DISTRIBUTOR_CAST_LIST,"Shochiku's official cast list for the Nijigasaki High School Idol Club film names 優木せつ菜, matching the accepted catalog display for yuki_setsuna.",Exact Japanese display match in the official film cast; use the catalog's Nijigasaki series Copyright root.
emma_verde,love_live!_nijigasaki_high_school_idol_club,https://www.shochiku.co.jp/cinema/lineup/%E6%98%A0%E7%94%BB%E3%80%8E%E3%83%A9%E3%83%96%E3%83%A9%E3%82%A4%E3%83%96%EF%BC%81%E8%99%B9%E3%83%B6%E5%92%B2%E5%AD%A6%E5%9C%92%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E5%90%8C%E5%A5%BD%E4%BC%9A/,OFFICIAL_DISTRIBUTOR_CAST_LIST,"Shochiku's official cast list for the Nijigasaki High School Idol Club film names エマ・ヴェルデ, matching the accepted catalog display for emma_verde.",Exact Japanese display match in the official film cast; use the catalog's Nijigasaki series Copyright root.
tennoji_rina,love_live!_nijigasaki_high_school_idol_club,https://www.shochiku.co.jp/cinema/lineup/%E6%98%A0%E7%94%BB%E3%80%8E%E3%83%A9%E3%83%96%E3%83%A9%E3%82%A4%E3%83%96%EF%BC%81%E8%99%B9%E3%83%B6%E5%92%B2%E5%AD%A6%E5%9C%92%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%E5%90%8C%E5%A5%BD%E4%BC%9A/,OFFICIAL_DISTRIBUTOR_CAST_LIST,"Shochiku's official cast list for the Nijigasaki High School Idol Club film names 天王寺璃奈, matching the accepted catalog display for tennoji_rina.",Exact Japanese display match in the official film cast; use the catalog's Nijigasaki series Copyright root.
