canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
arlong,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Arlong.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
avalo_pizarro,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Avalo Pizarro.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
baby_5,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Baby 5.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
bartholomew_kuma,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Bartholomew Kuma.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
bartolomeo,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Bartolomeo.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
basil_hawkins,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Basil Hawkins.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
bellemere,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Bellemere.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
belo_betty,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Belo Betty.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
benn_beckman,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Benn Beckman.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
blueno,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Blueno.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
boa_hancock,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Boa Hancock.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
boa_sandersonia,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Boa Sandersonia.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
bon_clay,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Bon Clay.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
buggy_the_clown,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Buggy the Clown.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
caesar_clown,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Caesar Clown.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
charlotte_cracker,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Charlotte Cracker.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
charlotte_katakuri,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Charlotte Katakuri.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
charlotte_linlin,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Charlotte Linlin.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
charlotte_pudding,one_piece,https://safebooru.donmai.us/wiki_pages/list_of_one_piece_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated list of every tagged One Piece manga character explicitly lists Charlotte Pudding.",Exact named list entry; nonlisted forms and unrelated franchise items excluded.
