canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
kouzuki_oden,one_piece,https://one-piece.com/character/Kozuki_Oden/index.html,FIRST_PARTY_CHARACTER_PROFILE,"ONE PIECE.com character profile names Kozuki Oden and identifies him as Wano's legendary samurai and Kuri daimyo.",Exact named character profile; direct HOME only.
going_merry,one_piece,https://one-piece.com/character/Going_Merry/index.html,FIRST_PARTY_CHARACTER_PROFILE,"ONE PIECE.com character profile names Going Merry and identifies it as the Straw Hat Pirates' ship and voyage companion.",Exact named character profile; direct HOME only.
thousand_sunny,one_piece,https://one-piece.com/character/Thousand_Sunny/index.html,FIRST_PARTY_CHARACTER_PROFILE,"ONE PIECE.com character profile names Thousand Sunny and identifies it as the Straw Hat Pirates' ship.",Exact named character profile; direct HOME only.
s-hawk,one_piece,https://one-piece.com/character/S-Hawk/index.html,FIRST_PARTY_CHARACTER_PROFILE,"ONE PIECE.com character profile names S-Hawk and identifies him as one of the Seraphim, a new Pacifista based on Dracule Mihawk.",Exact named character profile; direct HOME only.
sadi-chan,one_piece,https://one-piece.com/character/Ms_Sadie/index.html,FIRST_PARTY_CHARACTER_PROFILE,"ONE PIECE.com character profile names Sadie-chan and identifies her as Impel Down's chief jailer.",Exact named character profile; direct HOME only.
scopper_gaban,one_piece,https://one-piece.com/anime/81579/index.html,FIRST_PARTY_ANIME_EPISODE,"ONE PIECE.com episode 1170 synopsis identifies Scopper Gaban as the left arm of Pirate King Roger.",Exact named character in official episode synopsis; direct HOME only.
figarland_shamrock,one_piece,https://one-piece.com/news/75768/index.html,FIRST_PARTY_OFFICIAL_NEWS,"ONE PIECE.com official volume 113 promotional announcement names Figarland Shamrock, identifies him as Shanks's twin brother and captain of the God's Knights, and states he appears in the official PV.",Exact named character in official franchise announcement; direct HOME only.
gunko,one_piece,https://one-piece.com/character/Saint_Manmayer_Gunko/index.html,FIRST_PARTY_CHARACTER_PROFILE,"ONE PIECE.com character profile names Manmayer Gunko and identifies her as a member of the God's Knights.",Exact official profile identity mapped to the catalog tag gunko; direct HOME only.
jaygarcia_saturn,one_piece,https://one-piece.com/character/St_Jaygarcia_Saturn/index.html,FIRST_PARTY_CHARACTER_PROFILE,"ONE PIECE.com character profile names Jaygarcia Saturn and identifies him as one of the Five Elders; the same page lists the other four by name.",Exact named Five Elders roster entry; direct HOME only.
marcus_mars,one_piece,https://one-piece.com/character/St_Jaygarcia_Saturn/index.html,FIRST_PARTY_CHARACTER_PROFILE,"ONE PIECE.com character profile's Five Elders roster explicitly lists Marcus Mars by name.",Exact named Five Elders roster entry; direct HOME only.
topman_warcury,one_piece,https://one-piece.com/character/St_Jaygarcia_Saturn/index.html,FIRST_PARTY_CHARACTER_PROFILE,"ONE PIECE.com character profile's Five Elders roster explicitly lists Topman Warcury by name.",Exact named Five Elders roster entry; direct HOME only.
ethan-baron_v._nusjuro,one_piece,https://one-piece.com/character/St_Jaygarcia_Saturn/index.html,FIRST_PARTY_CHARACTER_PROFILE,"ONE PIECE.com character profile's Five Elders roster explicitly lists Ethanbaron V. Nusjuro by name.",Exact named Five Elders roster entry; direct HOME only.
shepherd_ju_peter,one_piece,https://one-piece.com/character/St_Jaygarcia_Saturn/index.html,FIRST_PARTY_CHARACTER_PROFILE,"ONE PIECE.com character profile's Five Elders roster explicitly lists Shepherd Ju Peter by name.",Exact named Five Elders roster entry; direct HOME only.
