canonical_base,home_copyright,evidence_url,evidence_type
callie,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
marie,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
marina,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
pearl,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
agent_8,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
agent_3,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
agent_4,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
judd,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
li'l_judd,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
spyke,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
sheldon,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
annie,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
moe,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
c.q._cumber,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
murch,splatoon,https://www.nintendo.com/jp/character/splatoon/en/character/index.html,NINTENDO_OFFICIAL_CHARACTER
shiver,splatoon,https://splatoon.nintendo.com/en/news/a-look-back-at-the-three-biggest-groups/,NINTENDO_OFFICIAL_CHARACTER
frye,splatoon,https://splatoon.nintendo.com/en/news/a-look-back-at-the-three-biggest-groups/,NINTENDO_OFFICIAL_CHARACTER
big_man,splatoon,https://splatoon.nintendo.com/en/news/a-look-back-at-the-three-biggest-groups/,NINTENDO_OFFICIAL_CHARACTER
