canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
atem,yu-gi-oh!_duel_monsters,https://safebooru.donmai.us/wiki_pages/list_of_yu-gi-oh!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Yu-Gi-Oh! character list explicitly names Atem in its Yu-Gi-Oh! Duel Monsters section; that section identifies the exact work-specific Copyright root used here.",Exact named character entry in the series section; card-monster entries and all unlisted franchise members excluded.
bakura_ryou,yu-gi-oh!_duel_monsters,https://safebooru.donmai.us/wiki_pages/list_of_yu-gi-oh!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Yu-Gi-Oh! character list explicitly names Bakura Ryou in its Yu-Gi-Oh! Duel Monsters section; that section identifies the exact work-specific Copyright root used here.",Exact named character entry in the series section; card-monster entries and all unlisted franchise members excluded.
honda_hiroto,yu-gi-oh!_duel_monsters,https://safebooru.donmai.us/wiki_pages/list_of_yu-gi-oh!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Yu-Gi-Oh! character list explicitly names Honda Hiroto in its Yu-Gi-Oh! Duel Monsters section; that section identifies the exact work-specific Copyright root used here.",Exact named character entry in the series section; card-monster entries and all unlisted franchise members excluded.
ishizu_ishtar,yu-gi-oh!_duel_monsters,https://safebooru.donmai.us/wiki_pages/list_of_yu-gi-oh!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Yu-Gi-Oh! character list explicitly names Ishizu Ishtar in its Yu-Gi-Oh! Duel Monsters section; that section identifies the exact work-specific Copyright root used here.",Exact named character entry in the series section; card-monster entries and all unlisted franchise members excluded.
jonouchi_katsuya,yu-gi-oh!_duel_monsters,https://safebooru.donmai.us/wiki_pages/list_of_yu-gi-oh!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Yu-Gi-Oh! character list explicitly names Jonouchi Katsuya in its Yu-Gi-Oh! Duel Monsters section; that section identifies the exact work-specific Copyright root used here.",Exact named character entry in the series section; card-monster entries and all unlisted franchise members excluded.
kaiba_mokuba,yu-gi-oh!_duel_monsters,https://safebooru.donmai.us/wiki_pages/list_of_yu-gi-oh!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Yu-Gi-Oh! character list explicitly names Kaiba Mokuba in its Yu-Gi-Oh! Duel Monsters section; that section identifies the exact work-specific Copyright root used here.",Exact named character entry in the series section; card-monster entries and all unlisted franchise members excluded.
mazaki_anzu,yu-gi-oh!_duel_monsters,https://safebooru.donmai.us/wiki_pages/list_of_yu-gi-oh!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Yu-Gi-Oh! character list explicitly names Mazaki Anzu in its Yu-Gi-Oh! Duel Monsters section; that section identifies the exact work-specific Copyright root used here.",Exact named character entry in the series section; card-monster entries and all unlisted franchise members excluded.
marik_ishtar,yu-gi-oh!_duel_monsters,https://safebooru.donmai.us/wiki_pages/list_of_yu-gi-oh!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Yu-Gi-Oh! character list explicitly names Marik Ishtar in its Yu-Gi-Oh! Duel Monsters section; that section identifies the exact work-specific Copyright root used here.",Exact named character entry in the series section; card-monster entries and all unlisted franchise members excluded.
pegasus_j_crawford,yu-gi-oh!_duel_monsters,https://safebooru.donmai.us/wiki_pages/list_of_yu-gi-oh!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Yu-Gi-Oh! character list explicitly names Pegasus J Crawford in its Yu-Gi-Oh! Duel Monsters section; that section identifies the exact work-specific Copyright root used here.",Exact named character entry in the series section; card-monster entries and all unlisted franchise members excluded.
priest_seto,yu-gi-oh!_duel_monsters,https://safebooru.donmai.us/wiki_pages/list_of_yu-gi-oh!_characters,DANBOORU_CURATED_CHARACTER_LIST,"The curated Yu-Gi-Oh! character list explicitly names Priest Seto in its Yu-Gi-Oh! Duel Monsters section; that section identifies the exact work-specific Copyright root used here.",Exact named character entry in the series section; card-monster entries and all unlisted franchise members excluded.
