queue_id,campaign_id,owner_slot,owner_branch,campaign_key,campaign_fingerprint,research_state,work_buckets,member_count,member_ids/tags,source_units,priority,source_hint_urls,source_hint_review_ids
q2-4d369d689e0b14590eab,pc2-920d497aa9e68b6f57651081,3,research/issue180-forward-3,authority:persona,ac605cd7e53e789839cf517eceace1d0c187d3285cc0879ccdbe7bb04d282e2f,OPEN,"[""DIRECT_AUTHORITY_RESEARCH""]",78,"[""akechi_goro"",""amada_ken"",""amagi_yukiko"",""amano_maya"",""aragaki_shinjirou"",""arai_motoha"",""ayase_yuka"",""doujima_ryoutarou"",""ebihara_ai"",""fushimi_chihiro"",""hiraga_keisuke"",""ikutsuki_shuuji"",""inaba_masao"",""iori_junpei"",""iwai_munehisa"",""kamishiro_nagisa"",""kamoshida_suguru"",""kanou_shun"",""kawakami_sadayo"",""kirijou_mitsuru"",""kirishima_eriko"",""kitagawa_yusuke"",""konishi_saki"",""kujikawa_rise"",""kurosu_jun"",""lisa_silverman"",""magatsu_izanagi"",""maruki_takuto"",""matsunaga_ayane"",""mayuzumi_yukino"",""mifune_chihaya"",""mishina_eikichi"",""mochizuki_ryouji"",""nakamura_aika"",""nanjou_kei"",""niijima_makoto"",""niijima_sae"",""nishiwaki_yuuko"",""noge_tomoko"",""nyx_avatar"",""odagiri_hidetoshi"",""ohya_ichiko"",""okumura_haru"",""ozawa_yumi"",""pharos"",""pyro_jack"",""sakaki_takaya"",""sakamoto_ryuji"",""sakura_futaba"",""sakura_soujirou"",""sanada_akihiko"",""serizawa_ulala"",""shadow_chie"",""shadow_futaba"",""shadow_naoto"",""shadow_rise"",""shadow_sae"",""shadow_yousuke"",""shadow_yukiko"",""shiomi_kotone"",""shirato_jin"",""shirogane_naoto"",""sonomura_maki"",""suou_katsuya"",""suou_tatsuya"",""suzui_shiho"",""takamaki_ann"",""takeba_yukari"",""takemi_tae"",""tanemura_riko"",""toriumi_isako"",""toudou_naoya"",""tougou_hifumi"",""uesugi_hidehiko"",""yamagishi_fuuka"",""yoshino_chidori"",""yoshizawa_kasumi"",""yoshizawa_sumire""]","[{""unit_id"":""ru3-1b6c5bfe7d7af39aeb5f"",""member_ids_sha256"":""de58fc4770d4d0f98dc30cb862c9fd167ca4a3e7adba85143306fb393c1e4318""}]",P1,[],[]
q2-4d369d689e0b14590eab,pc2-8dcbaba7362f00d71d4a51d2,3,research/issue180-forward-3,authority:mahou_shoujo_madoka_magica,461f9ccc92f3146c9aa841d3cf4d0fa8c8f002f0a8c6826e9d3eacc1b0aca695,OPEN,"[""DIRECT_AUTHORITY_RESEARCH""]",56,"[""aki_mabayu"",""akuma_homura"",""alina_gray"",""amane_tsukuyo"",""amano_suzune"",""ashley_taylor"",""awane_kokoro"",""azusa_mifuyu"",""candeloro"",""chiaki_riko"",""chitose_yuma"",""daniyyel+jennifer"",""futaba_sana"",""gomadoka"",""hiiragi_nemu"",""holy_mami"",""homulilly"",""isuzu_ren"",""izumi_kanagi"",""kagami_masara"",""kamijou_kyousuke"",""kaname_junko"",""kaname_tatsuya"",""kaname_tomohisa"",""kanna_asumi"",""katou_emiri"",""kitamura_eri"",""kriemhild_gretchen"",""kure_kirika"",""liz_hawkwood"",""mikuni_oriko"",""misono_karin"",""mitsuki_felicia"",""mizuhashi_kaori"",""momoe_nagisa"",""nanami_yachiyo"",""natsume_kako"",""oktavia_von_seckendorff"",""ooba_juri"",""saitou_chiwa"",""sakura_kyoko's_father"",""sakura_momo"",""saotome_kazuko"",""satomi_touka"",""shizuki_hitomi"",""shizumi_konoha"",""tamaki_iroha"",""tamaki_ui"",""tokiwa_nanaka"",""ultimate_madoka"",""urobuchi_gen"",""walpurgisnacht's_familiars"",""yakumo_mitama"",""yui_tsuruno"",""yusa_hazuki"",""yuuki_aoi""]","[{""unit_id"":""ru3-c2ce470b6543e392f97a"",""member_ids_sha256"":""95e29e83b872a8ab490761821d7cf1bcdfcb8824b3167e83a7cc38bc52895d56""}]",P1,[],[]
q2-4d369d689e0b14590eab,pc2-6312a2f8d52eb4574e0b0749,3,research/issue180-forward-3,authority:toaru_majutsu_no_index,0d35c5686b29e125b5434c7339fbb86cce347e967ab0e3e746d639f833951d04,OPEN,"[""DIRECT_AUTHORITY_RESEARCH""]",52,"[""agnese_sanctis"",""angelene"",""aogami_pierce"",""awatsuki_maaya"",""etzali"",""fiamma_of_the_right"",""fremea_seivelun"",""frenda_seivelun"",""fukiyose_seiri"",""gekota"",""gokusai_kaibi"",""hamazura_shiage"",""himegami_aisa"",""hokaze_junko"",""itsuwa"",""kakine_teitoku"",""kamijou_touma"",""kanzaki_kaori"",""kazakiri_hyouka"",""kihara_amata"",""kinuhata_saiai"",""kongou_mitsuko"",""konori_mii"",""kuroyoru_umidori"",""laura_stuart"",""leivinia_birdway"",""lessar"",""meigo_arisa"",""misaka_imouto"",""misaka_imouto_10032"",""misaka_imouto_10032's_cat"",""misaka_imouto_9982"",""misaka_misuzu"",""misaka_worst"",""mugino_shizuri"",""musujime_awaki"",""oriana_thomason"",""orsola_aquinas"",""othinus"",""satou_rina"",""sogiita_gunha"",""stiyl_magnus"",""suzushina_yuriko"",""takitsubo_rikou"",""tsuchimikado_maika"",""tsuchimikado_motoharu"",""tsukuyomi_komoe"",""unabara_mitsuki"",""wannai_kinuho"",""yomikawa_aiho"",""yoshikawa_kikyou"",""yumiya_rakko""]","[{""unit_id"":""ru3-7262ffb5a70d9fe99c04"",""member_ids_sha256"":""93f2bb0c00b9b1f1e9d29340e96efb97ebc8b05da6c803578e6647130dd478ac""}]",P1,[],[]
q2-4d369d689e0b14590eab,pc2-a6760e80f2606ca3271f8ddb,3,research/issue180-forward-3,authority:bang_dream!,c37980aa2dae9c44074e5ef665d454e98ec1d0b04ee0fa99866eb82ad2b1d63c,OPEN,"[""DIRECT_AUTHORITY_RESEARCH""]",47,"[""aoba_moca"",""aoki_hina"",""asahi_rokka"",""fuji_miyako"",""hayashi_coco"",""hazawa_tsugumi"",""hikawa_hina"",""izumi_houka"",""kitazawa_hagumi"",""kotohira_nagi"",""mahashi_miku"",""maruyama_aya"",""matsubara_kanon"",""minetsuki_ritsu"",""misumi_uika"",""mitake_ran"",""miyanaga_nonoka"",""nakamachi_arale"",""nyubara_reona"",""okada_mei"",""okusawa_misaki"",""sato_masuki"",""sengoku_yuno"",""seta_kaoru"",""shiina_mirei"",""shinomiya_shizuku"",""shiomi_hotaru"",""shirasagi_chisato"",""suga_raika"",""sumita_mana"",""takao_kanon"",""tamade_chiyu"",""togawa_hazuki"",""togawa_sakiko's_doll"",""tsurumaki_kokoro"",""udagawa_tomoe"",""uehara_himari"",""wakaba_muna"",""wakaba_mutsumi"",""wakamiya_eve"",""wakana_rei"",""yahata_riko"",""yahata_umiri"",""yakura_yomogi"",""yamato_maya"",""youmiya_hina"",""yuutenji_nyamu""]","[{""unit_id"":""ru3-acf61499888653edf588"",""member_ids_sha256"":""4fc33722dc53ba3a311d077c98f7ec2c97467cd3c782e52a3a37313af38d1c2e""}]",P2,[],[]
q2-4d369d689e0b14590eab,pc2-0b4d895ec705108f12bd9c15,3,research/issue180-forward-3,authority:heaven_burns_red,acc7a62c0cac11b6f587991eec8fdd8e0d90b037dd5989b014460f3c63599831,OPEN,"[""DIRECT_AUTHORITY_RESEARCH""]",47,"[""aikawa_megumi"",""aoi_erika"",""bungo_yayoi"",""carole_reaper"",""charlotta_skopovskaya"",""date_akari"",""hanamura_shiki"",""higuchi_seika"",""hiiragi_kozue"",""irene_redmayne"",""ishii_iroha"",""izumi_yuki"",""kanzaki_adelheid"",""kayamori_ruka"",""kiryuu_miya"",""kunimi_tama"",""kura_satomi"",""kurosawa_maki"",""li_yingxia"",""maria_de_angelis"",""maruyama_kanata"",""matsuoka_chiroru"",""mikoto_fubuki"",""minase_ichigo"",""minase_sumomo"",""mizuhara_aina"",""murofushi_risa"",""natsume_inori"",""nikaidou_misato"",""ogasahara_hisame"",""ooshima_ichiko"",""ooshima_isuzu"",""ooshima_minori"",""ooshima_muua"",""ooshima_niina"",""ooshima_yotsuha"",""sakuraba_seira"",""satsuki_mari"",""shirakawa_yuina"",""sugawara_chie"",""tenne_miko"",""tezuka_saki"",""tojo_tsukasa"",""tsukishiro_monaka"",""vritika_balakrishnan"",""yamawaki_bon_ivar"",""yanagi_mion""]","[{""unit_id"":""ru3-232df414fb8ee68b9ac4"",""member_ids_sha256"":""87a9b14dcc70c6774c2cd573fbe65bf2af1395e2b80bcba7b769d5f878343879""}]",P2,[],[]
q2-4d369d689e0b14590eab,pc2-585b723b0f770d4f3b8a2fc4,3,research/issue180-forward-3,authority:atelier_(series),bec63fe65076d6b13c81e2d6acdd88b05a30b8f9e06aee31c40ba3c6038f6091,OPEN,"[""DIRECT_AUTHORITY_RESEARCH""]",39,"[""ayesha_altugle"",""bos_brunnen"",""cecilia_helmold"",""christoph_aurel_arland"",""cuderia_von_feuerbach"",""elfir_traum"",""elmerulia_frixell"",""escha_malier"",""ficus_finis"",""firis_mistlud"",""ilmeria_von_leinweber"",""isla_von_duerer"",""izana_kokoschka"",""klaudia_valentz"",""lenja"",""lent_marslink"",""liane_mistlud"",""lila_decyrus"",""logix_ficsario"",""lydie_malen"",""marlone"",""merurulince_rede_arls"",""mimi_houllier_von_schwarzlang"",""nelke_von_lestamm"",""pamela_ibis"",""patricia_abelheim"",""plachta"",""reisalin_stout"",""resna_sternenlicht"",""rorolina_frixell"",""serri_glaus"",""shallotte_elminus"",""sophie_neuenmuller"",""sterkenburg_cranach"",""suelle_malen"",""tao_mongarten"",""totooria_helmold"",""wilbell_voll-ersleid"",""yumia_liessfeldt""]","[{""unit_id"":""ru3-c2de8bffccbca6cb4045"",""member_ids_sha256"":""03d3154e1ed41411242c88c76a0273b058a24dbd902f648cfc4ea0c93819ce9c""}]",P2,[],[]
q2-4d369d689e0b14590eab,pc2-82789b70d9b5085b4806538f,3,research/issue180-forward-3,authority:jujutsu_kaisen,26324ea0de49861c0788d607f017ca7e7af36a7fb612e5ea0cda03ec4fef5259,OPEN,"[""DIRECT_AUTHORITY_RESEARCH""]",37,"[""amanai_riko"",""fushiguro_megumi"",""fushiguro_toji"",""geto_suguru"",""gojo_satoru"",""gyokuken"",""haibara_yu"",""hakari_kinji"",""higuruma_hiromi"",""hoshi_kirara"",""ieiri_shoko"",""ijichi_kiyotaka"",""inumaki_toge"",""iori_utahime"",""ishigori_ryu"",""itadori_kaori"",""itadori_yuji"",""kamo_noritoshi"",""kashimo_hajime"",""kenjaku"",""kugisaki_nobara"",""kusakabe_atsuya"",""miwa_kasumi"",""muta_kokichi"",""nanami_kento"",""nishimiya_momo"",""okkotsu_yuta"",""orimoto_rika"",""shiu_kong"",""takaba_fumihiko"",""uro_takako"",""yaga_masamichi"",""yoshino_junpei"",""zen'in_jinichi"",""zen'in_mai"",""zen'in_maki"",""zen'in_naoya""]","[{""unit_id"":""ru3-06f9fd4e8675481f4590"",""member_ids_sha256"":""4785150cc5e3bba2b1c1c18aa3028f7e1d35c47f3122b4aa105e31aa4d49bf55""}]",P2,[],[]
q2-4d369d689e0b14590eab,pc2-07896d5de2b2583baa3082d2,3,research/issue180-forward-3,authority:monster_hunter_(series),428bcb60fe9b604c6813ee6157eb4285810507aadedaf4b16227dc7d94616c24,OPEN,"[""DIRECT_AUTHORITY_RESEARCH""]",36,"[""alatreon"",""arzuros"",""barioth"",""bazelgeuse"",""brachydios"",""canyne"",""deviljho"",""diablos"",""fatalis"",""glavenus"",""gore_magala"",""guild_sweetheart"",""hinoa"",""khezu"",""kulve_taroth"",""kushala_daora"",""lagiacrus"",""magnamalo"",""master_utsushi"",""melynx"",""meowstress"",""minoto"",""mizutsune"",""nargacuga"",""nergigante"",""player_palico"",""poogie"",""rajang"",""rathalos"",""rathian"",""teostra"",""tigrex"",""vaal_hazak"",""valstrax"",""yian_kut-ku"",""zinogre""]","[{""unit_id"":""ru3-762b2c83d8e3b938e097"",""member_ids_sha256"":""aa2a13d08a6499b0d059033134a8ba8ac5939c788217d5f9380a443f1901a0cc""}]",P2,[],[]
q2-4d369d689e0b14590eab,pc2-5e4a14b11d04b57b0a33d08d,3,research/issue180-forward-3,authority:phase_connect,b53da60c6b21ba7ecce8558ad5c4dc42fdfd2ea562651b4722790243fb138a86,OPEN,"[""DIRECT_AUTHORITY_RESEARCH""]",34,"[""amanogawa_shiina"",""ayase_yuu"",""bibi_biscuit"",""chisaka_airi"",""clio_aite"",""dizzy_dokuro"",""eepy_sleepy"",""eimi_isami"",""ember_amane"",""erina_makina"",""fujikura_uruka"",""gram_pico"",""h2osakana"",""hakushika_iori"",""hikanari_hina"",""himemiya_rie"",""jelly_hoshiumi"",""kaminari_clara"",""kaneko_lumi"",""kannagi_loki"",""komachi_panko"",""malice_evermore"",""muu_muyu"",""nitya_nil"",""pipkin_pippa"",""remilia_nephys"",""rinkou_ashelia"",""runie_ruse"",""saya_sairroxs"",""shisui_michiru"",""sinon_sinfonia"",""tenma_maemi"",""utatane_nasa"",""wilhelmina_frost""]","[{""unit_id"":""ru3-ca2fc85fd004de711c1a"",""member_ids_sha256"":""a5ec4958e78bbd0cd05fffb4f953d5e7e3098724bcf70ba660f656efeb67fde7""}]",P2,[],[]
q2-4d369d689e0b14590eab,pc2-5c389c8c8315d53b667b1b51,3,research/issue180-forward-3,authority:tengen_toppa_gurren_lagann,38d91b19386f8d2ff73788b66fdfa770b6489029a922816be38347335a5bd73c,OPEN,"[""DIRECT_AUTHORITY_RESEARCH""]",34,"[""adiane"",""ailac_coega"",""antispiral"",""antispiral_nia"",""attenborough_cortitch"",""barinbo"",""darry_adai"",""dayakka"",""garlock_simon"",""gimmy_adai"",""guame"",""gurren"",""gurren-lagann"",""jogan"",""kidd_coega"",""king_kittan"",""kinon_bachika"",""kittan_bachika"",""kiyal_bachika"",""kiyoh_bachika"",""lagann"",""lazengann"",""leeron_littner"",""leite_jokin"",""lordgenome"",""makken"",""nia_teppelin"",""old_coco"",""rossiu_adai"",""space_yoko"",""thymilph"",""yoko_littner"",""yomako"",""zoushi_kanai""]","[{""unit_id"":""ru3-f4639bca2c1f2edf0610"",""member_ids_sha256"":""2d1487b3e666fb8e4dccfbf257e517f26cb04b9270d6a28cc1a4baf219c2977f""}]",P2,[],[]
