canonical_tag,v2_home,v3_state,v3_home,migration_state,difference_class,difference_detail,evidence_path
000_(path_to_nowhere),path_to_nowhere,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
001_(darling_in_the_franxx),darling_in_the_franxx,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
10h_(nier_reincarnation),nier_reincarnation,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
12f_(arknights),arknights,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
210_(reverse:1999),reverse:1999,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv; no validated v3 path to old HOME.,
2b_(nier:automata),nier:automata,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
2p_(nier:automata),nier:automata,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
37_(reverse:1999),reverse:1999,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv; no validated v3 path to old HOME.,
6_(reverse:1999),reverse:1999,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=FIRST_PARTY_REVIEWED; v2_provenance=BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv; no validated v3 path to old HOME.,
6p62_(girls'_frontline),girls'_frontline,HOME_UNRESOLVED,,V3_UNRESOLVED,EVIDENCE_MIGRATION_ERROR,FAMILY_HOME_MISSING; v2_scope=FAMILY_QUALIFIER; v2_authority=EXACT_COPYRIGHT_REVIEWED; v2_provenance=GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv; no validated v3 path to old HOME.,
