unit_id,member_ids_sha256,classification,examined_paths,candidate_roots,rejection_reason,terminal_reason
ru3-9cf35f7fec429a32d2d0,1d6fca8e19da5fa9fce079987265ab19dad9e55dd73212f1fb79120cb0e224f5,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""\""rouhou\""_ore_no_iinazuke_ni_natta_jimiko_ie_dewa_kawaii_shikanai.""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-d82e843c36fdf11154b7,65d7bf390506aa760238b1b8d98859fba0d488c201b50cca8f861fdca329a80c,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"["".flow""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-7611cca09660180b181d,df68ff036dfcf9a56d085715704f74f53383ea872cb0b95818cc6646b73b6862,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"["".hack//""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-76f084d96c3e754a1cf2,dcf26ac587c443b63f4de75fb3d40ace3f4487c67d9a0f3a1739405637588d2a,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"["".live""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-56e9eafee82f4a19a929,d703533432a6ffed7bfa188ea06c82d12b884b39a3a9a94440282ce8d7872519,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""1000-nen_ikiteru_(vocaloid)""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-683ba741b5c8dab775d3,af562b7d18618eeb4da9266ae242edd54050dd53adea2f3c48e1d2e58d4386d7,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""11eyes""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-ac0c006cfa63e6980e4d,594a26a601de607278cafb6c975cb551db89acff4896d05b4ee579c45d487db6,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""143_ocean_boulevard""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-aa4852d6fbee6db5433c,16ea057cf8e0eca73e05281e28b826c3f29094ee3f73ef7b020f129e4164dcc0,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""16bit_sensation""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-225ae541ff872acd9aaa,3fc4714fc136fb286357d430de68b023cc88b5d94cf544c2a2a37936ded36136,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""18trip""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
ru3-d1624d954af7f7f29040,3b6f4449ee7f8fa987b8fafb4bfdad95e55c0f4f99514f96b90896be9473a461,BATCH_AUTHORITY_RESEARCH,validated DIRECT_HOME; validated FAMILY_HOME+MEMBER_OF; validated VARIANT_OF+confirmed base HOME; approved evidence ledger; candidate MEMBER_OF/DISCOVERY_HINT/VARIANT_OF; exact #179 origin rows,"[""19_tian""]",candidate family/base/discovery structure exists but is candidate-only or lacks validated authority,
