special_id,primary_genre_id,primary_subgenre_id,secondary_paths,classification_status,ambiguity_note
2359,BODY_ANATOMY,BUTTOCK_ANUS,,HUMAN_REVIEWED,
2360,POSE_POSITION_COMPOSITION,,,HUMAN_REVIEWED,
725,NUDITY_CLOTHING_EXPOSURE,COVERED_CONCEALED,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
2745,BODY_ANATOMY,PUBIC_HAIR,,HUMAN_REVIEWED,
2758,BODY_ANATOMY,PUBIC_HAIR,,HUMAN_REVIEWED,
726,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,
2754,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,
727,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
728,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,BODY_ANATOMY>FEMALE_GENITAL,HUMAN_REVIEWED,
729,SEXUAL_ACTIVITY_STIMULATION,ORGASM_RESPONSE,,HUMAN_REVIEWED,
730,POSE_POSITION_COMPOSITION,,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,
731,BODY_ANATOMY,BODY_ADORNMENT_MARK,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
2505,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,
732,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,
2381,BODY_ANATOMY,BODY_FORM_STATE,,HUMAN_REVIEWED,
2766,BODY_ANATOMY,BODY_ADORNMENT_MARK,,HUMAN_REVIEWED,
1727,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
733,PERSON_RELATION_ROLE,,,HUMAN_REVIEWED,年齢制限参照。Prompt利用可否はUIジャンルとは別レイヤーで管理。
2519,META_RATING,,,HUMAN_REVIEWED,内容分類・示唆性のメタ表現として暫定配置。
734,SEXUAL_ACTIVITY_STIMULATION,ORGASM_RESPONSE,,HUMAN_REVIEWED,
2382,CONTACT_INSERTION_BODY_SITE,EXTERNAL_CONTACT,,HUMAN_REVIEWED,
2383,CONTACT_INSERTION_BODY_SITE,EXTERNAL_CONTACT,,HUMAN_REVIEWED,
2384,NUDITY_CLOTHING_EXPOSURE,THROUGH_CLOTHING_VISIBILITY,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
2385,NUDITY_CLOTHING_EXPOSURE,COVERED_CONCEALED,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
735,POSE_POSITION_COMPOSITION,,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,
2386,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,PERSON_RELATION_ROLE,HUMAN_REVIEWED,
2387,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,
2521,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,NUDITY_CLOTHING_EXPOSURE>UNDERWEAR_LINGERIE,HUMAN_REVIEWED,
736,PERSON_RELATION_ROLE,,,HUMAN_REVIEWED,年齢制限参照。Prompt利用可否はUIジャンルとは別レイヤーで管理。
2511,BONDAGE_BDSM_DOMINATION,GAG_MOUTH_RESTRAINT,,HUMAN_REVIEWED,
737,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,
