special_id,primary_genre_id,primary_subgenre_id,secondary_paths,classification_status,classification_reason,ambiguity_note
635,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
636,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
637,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
638,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
639,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
640,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
641,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
642,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
643,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
644,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,BODY_ANATOMY>BUTTOCK_ANUS,HUMAN_REVIEWED,,
706,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,
710,NUDITY_CLOTHING_EXPOSURE,COVERED_CONCEALED,BODY_ANATOMY>BUTTOCK_ANUS,HUMAN_REVIEWED,,
2044,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2045,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2046,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2047,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2048,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2049,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2050,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2051,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2052,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2054,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2055,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2056,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2057,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2058,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2059,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2060,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2061,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2062,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2064,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2065,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
2066,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
2067,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
2068,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2069,TOOLS_TOYS_MACHINES,,BODY_ANATOMY>BUTTOCK_ANUS,HUMAN_REVIEWED,,
2070,BONDAGE_BDSM_DOMINATION,RESTRAINT_DEVICE,,HUMAN_REVIEWED,,
2071,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,BODY_ANATOMY>BUTTOCK_ANUS,HUMAN_REVIEWED,,
2073,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2074,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,NUDITY_CLOTHING_EXPOSURE>CUTOUT_OPENING,HUMAN_REVIEWED,,
2075,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2076,BONDAGE_BDSM_DOMINATION,BONDAGE_STATE,POSE_POSITION_COMPOSITION,HUMAN_REVIEWED,,
2077,NUDITY_CLOTHING_EXPOSURE,,,HUMAN_REVIEWED,,
2078,NUDITY_CLOTHING_EXPOSURE,,,HUMAN_REVIEWED,,
2079,BONDAGE_BDSM_DOMINATION,RESTRAINT_DEVICE,,HUMAN_REVIEWED,,
2080,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2081,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2082,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2083,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2084,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2085,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2086,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2087,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2088,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2089,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2090,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2091,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2092,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2093,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2094,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2095,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2096,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2097,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2098,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2099,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2100,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2101,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2102,BONDAGE_BDSM_DOMINATION,,,HUMAN_REVIEWED,,
2103,NUDITY_CLOTHING_EXPOSURE,,,HUMAN_REVIEWED,,
2104,NUDITY_CLOTHING_EXPOSURE,,,HUMAN_REVIEWED,,
2105,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2106,NUDITY_CLOTHING_EXPOSURE,COVERED_CONCEALED,BODY_ANATOMY>FEMALE_GENITAL,HUMAN_REVIEWED,,
2107,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
2108,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
2109,NUDITY_CLOTHING_EXPOSURE,,,HUMAN_REVIEWED,,
