special_id,primary_genre_id,primary_subgenre_id,secondary_paths,classification_status,classification_reason,ambiguity_note
530,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,
531,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,
532,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,
533,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,
534,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,
535,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,
536,SEXUAL_ACTIVITY_STIMULATION,RUBBING_GRINDING,,HUMAN_REVIEWED,,
537,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,
538,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,
539,SEXUAL_ACTIVITY_STIMULATION,BEFORE_AFTER_ACT,CONTACT_INSERTION_BODY_SITE>FEMALE_GENITAL_SITE,HUMAN_REVIEWED,,
540,SEXUAL_ACTIVITY_STIMULATION,BEFORE_AFTER_ACT,CONTACT_INSERTION_BODY_SITE>FEMALE_GENITAL_SITE,HUMAN_REVIEWED,,
542,SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,CONTACT_INSERTION_BODY_SITE>FEMALE_GENITAL_SITE,HUMAN_REVIEWED,,
543,SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,CONTACT_INSERTION_BODY_SITE>FEMALE_GENITAL_SITE,HUMAN_REVIEWED,,
544,SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,CONTACT_INSERTION_BODY_SITE>FEMALE_GENITAL_SITE,HUMAN_REVIEWED,,
646,SEXUAL_ACTIVITY_STIMULATION,BEFORE_AFTER_ACT,,HUMAN_REVIEWED,,
647,SEXUAL_ACTIVITY_STIMULATION,ORGASM_RESPONSE,,HUMAN_REVIEWED,,
648,SEXUAL_ACTIVITY_STIMULATION,ORGASM_RESPONSE,,HUMAN_REVIEWED,,
649,SEXUAL_ACTIVITY_STIMULATION,IMPLIED_GESTURE,,HUMAN_REVIEWED,,
650,SEXUAL_ACTIVITY_STIMULATION,ORGASM_RESPONSE,,HUMAN_REVIEWED,,
651,SEXUAL_ACTIVITY_STIMULATION,ORGASM_RESPONSE,,HUMAN_REVIEWED,,
652,SEXUAL_ACTIVITY_STIMULATION,ORGASM_RESPONSE,,HUMAN_REVIEWED,,
653,SEXUAL_ACTIVITY_STIMULATION,ORGASM_RESPONSE,,HUMAN_REVIEWED,,
654,SEXUAL_ACTIVITY_STIMULATION,ORGASM_RESPONSE,,HUMAN_REVIEWED,,
655,SEXUAL_ACTIVITY_STIMULATION,ORGASM_RESPONSE,,HUMAN_REVIEWED,,
656,SEXUAL_ACTIVITY_STIMULATION,ORGASM_RESPONSE,,HUMAN_REVIEWED,,
679,SEXUAL_ACTIVITY_STIMULATION,MASTURBATION,,HUMAN_REVIEWED,,
680,SEXUAL_ACTIVITY_STIMULATION,ORAL_ACTIVITY,SEXUAL_ACTIVITY_STIMULATION>MASTURBATION,HUMAN_REVIEWED,,
681,SEXUAL_ACTIVITY_STIMULATION,ORAL_ACTIVITY,,HUMAN_REVIEWED,,
682,SEXUAL_ACTIVITY_STIMULATION,IMPLIED_GESTURE,SEXUAL_ACTIVITY_STIMULATION>ORAL_ACTIVITY,HUMAN_REVIEWED,,
696,SEXUAL_ACTIVITY_STIMULATION,ORAL_ACTIVITY,,HUMAN_REVIEWED,,
697,SEXUAL_ACTIVITY_STIMULATION,ORAL_ACTIVITY,SEXUAL_ACTIVITY_STIMULATION>COOPERATIVE_MULTI_ACT,HUMAN_REVIEWED,,
698,SEXUAL_ACTIVITY_STIMULATION,ORAL_ACTIVITY,,HUMAN_REVIEWED,,
699,CONTACT_INSERTION_BODY_SITE,GENERAL_INSERTION,,HUMAN_REVIEWED,,
700,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,,HUMAN_REVIEWED,,
701,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,
702,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,,HUMAN_REVIEWED,,
703,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,,HUMAN_REVIEWED,,
704,SEXUAL_ACTIVITY_STIMULATION,ORAL_ACTIVITY,SEXUAL_ACTIVITY_STIMULATION>MASTURBATION,HUMAN_REVIEWED,,
705,SEXUAL_ACTIVITY_STIMULATION,MASTURBATION,,HUMAN_REVIEWED,,
707,SEXUAL_ACTIVITY_STIMULATION,RUBBING_GRINDING,,HUMAN_REVIEWED,,
708,SEXUAL_ACTIVITY_STIMULATION,RUBBING_GRINDING,,HUMAN_REVIEWED,,
709,SEXUAL_ACTIVITY_STIMULATION,RUBBING_GRINDING,,HUMAN_REVIEWED,,
1739,SITUATION_SCENE,,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,HUMAN_REVIEWED,,
1741,,,,REVIEW_REQUIRED,Context-dependent bodily reaction,gagging can be sexual or non-sexual; source itself recommends sexual-tag context
1742,SEXUAL_ACTIVITY_STIMULATION,ORAL_ACTIVITY,,HUMAN_REVIEWED,,
1743,,,,REVIEW_REQUIRED,Abbreviation ambiguity,bj is an abbreviation with known false-positive risk outside sexual context
1758,,,,REVIEW_REQUIRED,Context-dependent standalone term,gaping does not identify a stable body site or act without context
1761,SEXUAL_ACTIVITY_STIMULATION,COOPERATIVE_MULTI_ACT,SEXUAL_ACTIVITY_STIMULATION>ORAL_ACTIVITY,HUMAN_REVIEWED,,
1808,,,,REVIEW_REQUIRED,Lexical ambiguity,coming is a general word as well as orgasm slang
2023,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,SEXUAL_ACTIVITY_STIMULATION>MASTURBATION,HUMAN_REVIEWED,,
2024,NONHUMAN_TENTACLE_TRANSFORMATION,,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2025,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2026,SEXUAL_ACTIVITY_STIMULATION,ORAL_ACTIVITY,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2027,SITUATION_SCENE,,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2029,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2030,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2031,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2032,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2142,TOOLS_TOYS_MACHINES,,,HUMAN_REVIEWED,,
2143,TOOLS_TOYS_MACHINES,,,HUMAN_REVIEWED,,
2144,TOOLS_TOYS_MACHINES,,CONTACT_INSERTION_BODY_SITE>GENERAL_INSERTION,HUMAN_REVIEWED,,
2145,TOOLS_TOYS_MACHINES,,,HUMAN_REVIEWED,,
2146,TOOLS_TOYS_MACHINES,,,HUMAN_REVIEWED,,
2147,TOOLS_TOYS_MACHINES,,,HUMAN_REVIEWED,,
2148,TOOLS_TOYS_MACHINES,,,HUMAN_REVIEWED,,
2329,SITUATION_SCENE,,,HUMAN_REVIEWED,,
2330,SITUATION_SCENE,,,HUMAN_REVIEWED,,
2331,SITUATION_SCENE,,,HUMAN_REVIEWED,,
2332,SEXUAL_ACTIVITY_STIMULATION,,,HUMAN_REVIEWED,,
2333,SEXUAL_ACTIVITY_STIMULATION,,,HUMAN_REVIEWED,,
2334,SEXUAL_ACTIVITY_STIMULATION,,,HUMAN_REVIEWED,,
2335,SEXUAL_ACTIVITY_STIMULATION,,,HUMAN_REVIEWED,,
2336,SEXUAL_ACTIVITY_STIMULATION,,,HUMAN_REVIEWED,,
2337,SITUATION_SCENE,,BODY_ANATOMY>FEMALE_GENITAL,HUMAN_REVIEWED,,
