special_id,primary_genre_id,primary_subgenre_id,secondary_paths,classification_status,classification_reason,ambiguity_note
419,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,,HUMAN_REVIEWED,,
420,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
421,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,,HUMAN_REVIEWED,,
422,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,TOOLS_TOYS_MACHINES,HUMAN_REVIEWED,,
423,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,,HUMAN_REVIEWED,,
424,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,,HUMAN_REVIEWED,,
425,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,BODY_ANATOMY,HUMAN_REVIEWED,,
470,INJURY_R18G,,,HUMAN_REVIEWED,,
471,INJURY_R18G,,,HUMAN_REVIEWED,,
472,INJURY_R18G,,,HUMAN_REVIEWED,,
473,INJURY_R18G,,,HUMAN_REVIEWED,,
474,INJURY_R18G,,,HUMAN_REVIEWED,,
475,INJURY_R18G,,,HUMAN_REVIEWED,,
477,INJURY_R18G,,,HUMAN_REVIEWED,,
478,INJURY_R18G,,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,HUMAN_REVIEWED,,
479,INJURY_R18G,,CONTACT_INSERTION_BODY_SITE>GENERAL_INSERTION,HUMAN_REVIEWED,,
480,INJURY_R18G,,,HUMAN_REVIEWED,,
481,INJURY_R18G,,,HUMAN_REVIEWED,,
482,INJURY_R18G,,CONTACT_INSERTION_BODY_SITE>GENERAL_INSERTION,HUMAN_REVIEWED,,
483,INJURY_R18G,,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,HUMAN_REVIEWED,,
484,INJURY_R18G,,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,HUMAN_REVIEWED,,
485,INJURY_R18G,,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,HUMAN_REVIEWED,,
486,INJURY_R18G,,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,HUMAN_REVIEWED,,
