special_id,primary_genre_id,primary_subgenre_id,secondary_paths,classification_status,classification_reason,ambiguity_note
2683,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
2684,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2685,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2686,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,TOOLS_TOYS_MACHINES,HUMAN_REVIEWED,,
2687,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2688,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,,HUMAN_REVIEWED,,
2689,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,BODY_ANATOMY>BUTTOCK_ANUS,HUMAN_REVIEWED,,
2690,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,BODY_ANATOMY>BUTTOCK_ANUS,HUMAN_REVIEWED,,
2691,BONDAGE_BDSM_DOMINATION,BONDAGE_STATE,,HUMAN_REVIEWED,,
2692,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2693,BONDAGE_BDSM_DOMINATION,GAG_MOUTH_RESTRAINT,,HUMAN_REVIEWED,,
2694,BONDAGE_BDSM_DOMINATION,GAG_MOUTH_RESTRAINT,,HUMAN_REVIEWED,,
2695,PERSON_RELATION_ROLE,,,HUMAN_REVIEWED,Browse placement only; Prompt eligibility remains separate,
2696,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2697,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2698,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,NUDITY_CLOTHING_EXPOSURE>UNDERWEAR_LINGERIE | BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2699,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,NUDITY_CLOTHING_EXPOSURE>UNDERWEAR_LINGERIE | BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2700,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,,
2701,BONDAGE_BDSM_DOMINATION,GAG_MOUTH_RESTRAINT,,HUMAN_REVIEWED,,
2702,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,BODY_ANATOMY>BUTTOCK_ANUS,HUMAN_REVIEWED,,
2703,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2704,REPRODUCTION_PREGNANCY_LACTATION,,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2705,REPRODUCTION_PREGNANCY_LACTATION,,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2706,PERSON_RELATION_ROLE,,BONDAGE_BDSM_DOMINATION>DOMINATION_SUBMISSION,HUMAN_REVIEWED,,
2707,PERSON_RELATION_ROLE,,BONDAGE_BDSM_DOMINATION>DOMINATION_SUBMISSION,HUMAN_REVIEWED,,
2708,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,NUDITY_CLOTHING_EXPOSURE>UNDERWEAR_LINGERIE,HUMAN_REVIEWED,,
2709,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2710,CONTACT_INSERTION_BODY_SITE,EXTERNAL_CONTACT,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2711,CONTACT_INSERTION_BODY_SITE,EXTERNAL_CONTACT,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2712,CONTACT_INSERTION_BODY_SITE,EXTERNAL_CONTACT,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2713,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,NUDITY_CLOTHING_EXPOSURE>UNDERWEAR_LINGERIE,HUMAN_REVIEWED,,
2714,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2715,PERSON_RELATION_ROLE,,,HUMAN_REVIEWED,,
2716,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2717,PERSON_RELATION_ROLE,,,HUMAN_REVIEWED,Browse placement only; Prompt eligibility remains separate,
2718,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,,HUMAN_REVIEWED,,
2719,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,,
2720,SEXUAL_ACTIVITY_STIMULATION,,NUDITY_CLOTHING_EXPOSURE>UNDERWEAR_LINGERIE,HUMAN_REVIEWED,,
2721,SEXUAL_ACTIVITY_STIMULATION,,NUDITY_CLOTHING_EXPOSURE>UNDERWEAR_LINGERIE,HUMAN_REVIEWED,,
2722,BONDAGE_BDSM_DOMINATION,GAG_MOUTH_RESTRAINT,,HUMAN_REVIEWED,,
2723,BONDAGE_BDSM_DOMINATION,GAG_MOUTH_RESTRAINT,,HUMAN_REVIEWED,,
2724,BONDAGE_BDSM_DOMINATION,GAG_MOUTH_RESTRAINT,,HUMAN_REVIEWED,,
2725,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,SEXUAL_ACTIVITY_STIMULATION>MASTURBATION,HUMAN_REVIEWED,,
2726,SEXUAL_ACTIVITY_STIMULATION,,NUDITY_CLOTHING_EXPOSURE>UNDERWEAR_LINGERIE,HUMAN_REVIEWED,,
2727,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2728,SEXUAL_ACTIVITY_STIMULATION,IMPLIED_GESTURE,,HUMAN_REVIEWED,,
2729,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2730,BONDAGE_BDSM_DOMINATION,GAG_MOUTH_RESTRAINT,,HUMAN_REVIEWED,,
2731,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,PERSON_RELATION_ROLE,HUMAN_REVIEWED,,
2732,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,PERSON_RELATION_ROLE,HUMAN_REVIEWED,,
2733,BONDAGE_BDSM_DOMINATION,GAG_MOUTH_RESTRAINT,,HUMAN_REVIEWED,,
2734,BODY_ANATOMY,BODY_ADORNMENT_MARK,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2735,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,NUDITY_CLOTHING_EXPOSURE>UNDERWEAR_LINGERIE,HUMAN_REVIEWED,,
2736,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,,HUMAN_REVIEWED,,
2737,BONDAGE_BDSM_DOMINATION,CHASTITY_CONTROL,TOOLS_TOYS_MACHINES,HUMAN_REVIEWED,,
2738,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,,
2739,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2741,NUDITY_CLOTHING_EXPOSURE,PARTIAL_EXPOSURE,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
2742,NUDITY_CLOTHING_EXPOSURE,COVERED_CONCEALED,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,
2743,NUDITY_CLOTHING_EXPOSURE,COVERED_CONCEALED,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,
2744,POSE_POSITION_COMPOSITION,,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,HUMAN_REVIEWED,,
2746,POSE_POSITION_COMPOSITION,,PERSON_RELATION_ROLE,HUMAN_REVIEWED,,
2747,BODY_ANATOMY,MALE_GENITAL,,HUMAN_REVIEWED,,
2748,POSE_POSITION_COMPOSITION,,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,HUMAN_REVIEWED,,
2749,BODY_ANATOMY,FEMALE_GENITAL,,HUMAN_REVIEWED,,
2750,SEXUAL_ACTIVITY_STIMULATION,BEFORE_AFTER_ACT,POSE_POSITION_COMPOSITION,HUMAN_REVIEWED,,
2751,BODY_ANATOMY,MALE_GENITAL,SEXUAL_ACTIVITY_STIMULATION>IMPLIED_GESTURE,HUMAN_REVIEWED,,
2752,INJURY_R18G,,,HUMAN_REVIEWED,,
2753,BONDAGE_BDSM_DOMINATION,BONDAGE_STATE,,HUMAN_REVIEWED,,
2755,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2756,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2757,POSE_POSITION_COMPOSITION,,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,HUMAN_REVIEWED,,
2759,BONDAGE_BDSM_DOMINATION,,,HUMAN_REVIEWED,,
2760,POSE_POSITION_COMPOSITION,,,HUMAN_REVIEWED,,
2761,NUDITY_CLOTHING_EXPOSURE,UNDERWEAR_LINGERIE,,HUMAN_REVIEWED,,
2762,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,,
2763,NUDITY_CLOTHING_EXPOSURE,CUTOUT_OPENING,,HUMAN_REVIEWED,,
2764,BONDAGE_BDSM_DOMINATION,PAIN_TORTURE,BODY_ANATOMY>PUBIC_HAIR,HUMAN_REVIEWED,,
2765,BODY_ANATOMY,PUBIC_HAIR,,HUMAN_REVIEWED,,
2767,BODY_ANATOMY,BUTTOCK_ANUS,,HUMAN_REVIEWED,,
2769,INJURY_R18G,,,HUMAN_REVIEWED,,
2770,,,,REVIEW_REQUIRED,Ambiguous BDSM object/role browse intent,serving tray (bdsm) lacks enough evidence for a stable primary browse path
2771,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2772,NUDITY_CLOTHING_EXPOSURE,NUDITY_LEVEL,PERSON_RELATION_ROLE,HUMAN_REVIEWED,,
2773,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2774,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2775,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2776,NUDITY_CLOTHING_EXPOSURE,,,HUMAN_REVIEWED,,
2778,INJURY_R18G,,BONDAGE_BDSM_DOMINATION>PAIN_TORTURE,HUMAN_REVIEWED,,
2779,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2780,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2781,INJURY_R18G,,,HUMAN_REVIEWED,,
2782,NUDITY_CLOTHING_EXPOSURE,UNDRESSING_ADJUSTMENT,,HUMAN_REVIEWED,,
2783,BONDAGE_BDSM_DOMINATION,BONDAGE_STATE,SEXUAL_ACTIVITY_STIMULATION>COOPERATIVE_MULTI_ACT,HUMAN_REVIEWED,,
