special_id,primary_genre_id,primary_subgenre_id,secondary_paths,classification_status,classification_reason,ambiguity_note
914,META_RATING,,SEXUAL_ACTIVITY_STIMULATION>BEFORE_AFTER_ACT,HUMAN_REVIEWED,,
915,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
916,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,,HUMAN_REVIEWED,,
917,BODY_ANATOMY,BODY_ADORNMENT_MARK,BODY_ANATOMY>FEMALE_GENITAL,HUMAN_REVIEWED,,
918,PERSON_RELATION_ROLE,,SEXUAL_ACTIVITY_STIMULATION>COOPERATIVE_MULTI_ACT,HUMAN_REVIEWED,,
919,BODY_ANATOMY,MALE_GENITAL,,HUMAN_REVIEWED,,
920,POSE_POSITION_COMPOSITION,,SEXUAL_ACTIVITY_STIMULATION>COOPERATIVE_MULTI_ACT,HUMAN_REVIEWED,,
921,BONDAGE_BDSM_DOMINATION,CHASTITY_CONTROL,TOOLS_TOYS_MACHINES,HUMAN_REVIEWED,,
922,NUDITY_CLOTHING_EXPOSURE,THROUGH_CLOTHING_VISIBILITY,BODY_ANATOMY>BUTTOCK_ANUS,HUMAN_REVIEWED,,
923,CONTACT_INSERTION_BODY_SITE,GENERAL_INSERTION,,HUMAN_REVIEWED,,
924,BODY_ANATOMY,MALE_GENITAL,,HUMAN_REVIEWED,,
925,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,,
926,SEXUAL_ACTIVITY_STIMULATION,ORAL_ACTIVITY,SEXUAL_ACTIVITY_STIMULATION>COOPERATIVE_MULTI_ACT,HUMAN_REVIEWED,,
927,SEXUAL_ACTIVITY_STIMULATION,ORAL_ACTIVITY,NUDITY_CLOTHING_EXPOSURE>COVERED_CONCEALED,HUMAN_REVIEWED,,
928,CONTACT_INSERTION_BODY_SITE,EXTERNAL_CONTACT,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,
929,BONDAGE_BDSM_DOMINATION,CHASTITY_CONTROL,,HUMAN_REVIEWED,,
930,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,,HUMAN_REVIEWED,,
931,SEXUAL_ACTIVITY_STIMULATION,MASTURBATION,,HUMAN_REVIEWED,,
932,TOOLS_TOYS_MACHINES,,,HUMAN_REVIEWED,,
933,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,,
934,SEXUAL_ACTIVITY_STIMULATION,COOPERATIVE_MULTI_ACT,CONTACT_INSERTION_BODY_SITE>MULTIPLE_DEEP_INSERTION,HUMAN_REVIEWED,,
935,BODY_ANATOMY,BUTTOCK_ANUS,,HUMAN_REVIEWED,,
936,CONTACT_INSERTION_BODY_SITE,GENERAL_INSERTION,,HUMAN_REVIEWED,,
938,SEXUAL_ACTIVITY_STIMULATION,MASTURBATION,SITUATION_SCENE,HUMAN_REVIEWED,,
939,BODY_ANATOMY,FEMALE_GENITAL,,HUMAN_REVIEWED,,
940,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,SEXUAL_ACTIVITY_STIMULATION>COOPERATIVE_MULTI_ACT,HUMAN_REVIEWED,,
941,SEXUAL_ACTIVITY_STIMULATION,BEFORE_AFTER_ACT,SEXUAL_ACTIVITY_STIMULATION>ORAL_ACTIVITY,HUMAN_REVIEWED,,
942,NUDITY_CLOTHING_EXPOSURE,COVERED_CONCEALED,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,
943,NONHUMAN_TENTACLE_TRANSFORMATION,,,HUMAN_REVIEWED,,
944,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,,
945,PERSON_RELATION_ROLE,,,HUMAN_REVIEWED,,
946,FLUID_EXCRETION_SOILING,,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,
947,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,,
948,BODY_ANATOMY,BUTTOCK_ANUS,,HUMAN_REVIEWED,,
949,BONDAGE_BDSM_DOMINATION,CHASTITY_CONTROL,,HUMAN_REVIEWED,,
950,BODY_ANATOMY,BODY_ADORNMENT_MARK,BONDAGE_BDSM_DOMINATION>DOMINATION_SUBMISSION,HUMAN_REVIEWED,,
951,BONDAGE_BDSM_DOMINATION,CHASTITY_CONTROL,,HUMAN_REVIEWED,,
952,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>FEMALE_GENITAL,HUMAN_REVIEWED,,
953,SITUATION_SCENE,,SEXUAL_ACTIVITY_STIMULATION>HAND_FOOT_BODY_STIMULATION,HUMAN_REVIEWED,,
954,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,,
955,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>FEMALE_GENITAL,HUMAN_REVIEWED,,
956,SEXUAL_ACTIVITY_STIMULATION,IMPLIED_GESTURE,CONTACT_INSERTION_BODY_SITE>GENERAL_INSERTION,HUMAN_REVIEWED,,
957,CONTACT_INSERTION_BODY_SITE,EXTERNAL_CONTACT,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,
958,CONTACT_INSERTION_BODY_SITE,GENERAL_INSERTION,,HUMAN_REVIEWED,,
959,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,,
960,CONTACT_INSERTION_BODY_SITE,EXTERNAL_CONTACT,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,
961,POSE_POSITION_COMPOSITION,,,HUMAN_REVIEWED,,
962,BODY_ANATOMY,BUTTOCK_ANUS,,HUMAN_REVIEWED,,
963,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,,
964,FLUID_EXCRETION_SOILING,,,HUMAN_REVIEWED,,
965,BODY_ANATOMY,PUBIC_HAIR,BODY_ANATOMY>MALE_GENITAL,HUMAN_REVIEWED,,
966,POSE_POSITION_COMPOSITION,,,HUMAN_REVIEWED,,
967,SITUATION_SCENE,,,HUMAN_REVIEWED,,
968,SITUATION_SCENE,,,HUMAN_REVIEWED,,
969,SEXUAL_ACTIVITY_STIMULATION,HAND_FOOT_BODY_STIMULATION,NUDITY_CLOTHING_EXPOSURE>PARTIAL_EXPOSURE,HUMAN_REVIEWED,,
970,SEXUAL_ACTIVITY_STIMULATION,BEFORE_AFTER_ACT,SEXUAL_ACTIVITY_STIMULATION>LOCAL_STIMULATION,HUMAN_REVIEWED,,
971,NUDITY_CLOTHING_EXPOSURE,COVERED_CONCEALED,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
972,BODY_ANATOMY,BODY_ADORNMENT_MARK,BODY_ANATOMY>FEMALE_GENITAL,HUMAN_REVIEWED,,
973,SEXUAL_ACTIVITY_STIMULATION,IMPLIED_GESTURE,FLUID_EXCRETION_SOILING,HUMAN_REVIEWED,,
974,BONDAGE_BDSM_DOMINATION,CHASTITY_CONTROL,,HUMAN_REVIEWED,,
975,BODY_ANATOMY,BODY_ADORNMENT_MARK,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
976,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
977,BONDAGE_BDSM_DOMINATION,DOMINATION_SUBMISSION,SEXUAL_ACTIVITY_STIMULATION>GENERAL_SEX_ACT,HUMAN_REVIEWED,,
978,NUDITY_CLOTHING_EXPOSURE,,,HUMAN_REVIEWED,,
979,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,POSE_POSITION_COMPOSITION,HUMAN_REVIEWED,,
980,SEXUAL_ACTIVITY_STIMULATION,LOCAL_STIMULATION,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,
981,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,,
982,SEXUAL_ACTIVITY_STIMULATION,GENERAL_SEX_ACT,SITUATION_SCENE,HUMAN_REVIEWED,,
