global_row,canonical,classification_status,primary_path,secondary_paths,confidence,classification_reason,source_batch,source_global_row,correction_ids
1,!,PROPOSED,TEXT_SYMBOL/SYMBOL,[],HIGH,画面内の記号として探す。,1,1,[]
2,!!,PROPOSED,TEXT_SYMBOL/SYMBOL,[],HIGH,画面内の記号として探す。,1,2,[]
3,!?,PROPOSED,TEXT_SYMBOL/SYMBOL,[],HIGH,画面内の記号として探す。,1,3,[]
4,#unicus_(idolmaster),PROPOSED,PERSON_COUNT,[],MEDIUM,人物・役柄・部隊/グループとして探す。,1,4,[]
5,+++,PROPOSED,TEXT_SYMBOL/SYMBOL,[],HIGH,画面内の記号として探す。,1,5,[]
6,+_+,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,6,[]
7,+_-,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,7,[]
8,...,PROPOSED,TEXT_SYMBOL/SYMBOL,[],HIGH,画面内の記号として探す。,1,8,[]
9,...!,PROPOSED,TEXT_SYMBOL/SYMBOL,[],HIGH,画面内の記号として探す。,1,9,[]
10,...?,PROPOSED,TEXT_SYMBOL/SYMBOL,[],HIGH,画面内の記号として探す。,1,10,[]
11,.52_gal_(splatoon),PROPOSED,OBJECT_PROP/WEAPON,[],HIGH,武器・戦闘装備として探す。,1,11,[]
12,.96_gal_(splatoon),PROPOSED,OBJECT_PROP/WEAPON,[],HIGH,武器・戦闘装備として探す。,1,12,[]
13,._.,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,13,[]
14,0_0,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,14,[]
15,0th_generation_(hololive),PROPOSED,PERSON_COUNT,[],MEDIUM,人物・役柄・部隊/グループとして探す。,1,15,[]
16,0w0,PROPOSED,EXPRESSION_EMOTION,[],HIGH,顔文字・目口の見え方として表情から探す。,1,16,[]
17,1-up_mushroom,PROPOSED,OBJECT_PROP,[],MEDIUM,ゲーム内アイテムで、日用品には押し込まず道具・小物の主分類のみ。,1,17,[]
18,100kg_(meme),PROPOSED,STYLE_QUALITY_META,[],HIGH,ミーム・定型画面表現として探す。,1,18,[]
19,10mm_pistol,PROPOSED,OBJECT_PROP/WEAPON,[],HIGH,武器・戦闘装備として探す。,1,19,[]
20,114514_(meme),PROPOSED,STYLE_QUALITY_META,[],HIGH,ミーム・定型画面表現として探す。,1,20,[]
21,12_billion_yen_incident,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,21,[]
22,15-nin_no_richiteki_na_megane-tachi,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,22,[]
23,1920s_fashion,PROPOSED,CLOTHING/COSTUME,[],HIGH,年代衣装・ファッションとして探す。,1,23,[]
24,1930s_(style),PROPOSED,STYLE_QUALITY_META,[],HIGH,画風・表現形式として探す。,1,24,[]
25,1950s_(style),PROPOSED,STYLE_QUALITY_META,[],HIGH,画風・表現形式として探す。,1,25,[]
26,1950s_fashion,PROPOSED,CLOTHING/COSTUME,[],HIGH,年代衣装・ファッションとして探す。,1,26,[]
27,1960s_(style),PROPOSED,STYLE_QUALITY_META,[],HIGH,画風・表現形式として探す。,1,27,[]
28,1960s_fashion,PROPOSED,CLOTHING/COSTUME,[],HIGH,年代衣装・ファッションとして探す。,1,28,[]
29,1970s_(style),PROPOSED,STYLE_QUALITY_META,[],HIGH,画風・表現形式として探す。,1,29,[]
30,1970s_fashion,PROPOSED,CLOTHING/COSTUME,[],HIGH,年代衣装・ファッションとして探す。,1,30,[]
31,1980s_(style),PROPOSED,STYLE_QUALITY_META,[],HIGH,画風・表現形式として探す。,1,31,[]
32,1980s_fashion,PROPOSED,CLOTHING/COSTUME,[],HIGH,年代衣装・ファッションとして探す。,1,32,[]
33,1985,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,33,[]
34,1990,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,34,[]
35,1990s_(style),PROPOSED,STYLE_QUALITY_META,[],HIGH,画風・表現形式として探す。,1,35,[]
36,1990s_fashion,PROPOSED,CLOTHING/COSTUME,[],HIGH,年代衣装・ファッションとして探す。,1,36,[]
37,1994,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,37,[]
38,1995,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,38,[]
39,1996,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,39,[]
40,1997,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,40,[]
41,1998,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,41,[]
42,1999,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,42,[]
43,1boy,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,43,[]
44,1girl,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,44,[]
45,1koma,PROPOSED,STYLE_QUALITY_META,[],HIGH,漫画・コマ構成という画面形式として探す。,1,45,[]
46,1other,PROPOSED,PERSON_COUNT,[],HIGH,人数指定として探す。,1,46,[]
47,1st_generation_(hololive),PROPOSED,PERSON_COUNT,[],MEDIUM,人物・役柄・部隊/グループとして探す。,1,47,[]
48,1up,PROPOSED,OBJECT_PROP,[],MEDIUM,ゲーム内アイテムで、日用品には押し込まず道具・小物の主分類のみ。,1,48,[]
49,2000,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,49,[]
50,2000s_(style),PROPOSED,STYLE_QUALITY_META,[],HIGH,画風・表現形式として探す。,1,50,[]
51,2001,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,51,[]
52,2002,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,52,[]
53,2003,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,53,[]
54,2004,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,54,[]
55,2005,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,55,[]
56,2006,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,56,[]
57,2007,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,57,[]
58,2008,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,58,[]
59,2009,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,59,[]
60,2010,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,60,[]
61,2011,UNRESOLVED,,[],LOW,年号タグだが、画像の時間設定と投稿時期メタデータのどちらを表すかを安全に決められない。時間ジャンルへ推測で割り当てず未解決にする。,1,61,"[""SEMANTIC_RESIDUAL_REVIEW""]"
62,2011_tohoku_earthquake_and_tsunami,UNRESOLVED,,[],LOW,固有イベント・事件・作品内概念などで、17分類への実用経路を名前だけでは安全に決めない。,1,62,[]
63,2012,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,63,[]
64,2013,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,64,[]
65,2014,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,65,[]
66,2015,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,66,[]
67,2016,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,67,[]
68,2017,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,68,[]
69,2018,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,69,[]
70,2019,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,70,[]
71,2020,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,71,[]
72,2021,PROPOSED,LIGHT_TIME_WEATHER,[],MEDIUM,年代・年という時間指定として探す。,1,72,[]
