canonical_tag,provisional_verdict,proposed_display_ja,proposed_search_ja,evidence_ref,audit_note,status
shadow_slave,KEEP,,,https://www.webnovel.com/book/22196546206090805,WebNovel official distribution page identifies the original title as Shadow Slave and author Guiltythree; original-language display is identity-safe.,VERIFIED_SHORTLIST
"don't_say_""lazy""",KEEP,,,https://www.ponycanyon.co.jp/music/PCCG000070039,Pony Canyon official release page uses Don’t say “lazy”; existing ASCII quote variant preserves the exact song identity.,VERIFIED_SHORTLIST
witches_of_africa,KEEP,,,https://store.kadokawa.co.jp/shop/g/g201109000413/,KADOKAWA official store uses ストライクウィッチーズ アフリカの魔女; existing short display アフリカの魔女 is identity-safe for this canonical tag.,VERIFIED_SHORTLIST
octopath_traveler_i,KEEP,,,https://www.jp.square-enix.com/octopathtraveler/,Square Enix official first-game site uses OCTOPATH TRAVELER（オクトパストラベラー）; existing Japanese display is exact.,VERIFIED_SHORTLIST
justice_gakuen,KEEP,,,https://www.capcom.co.jp/arcade/news/operator/20140930.html,Capcom official arcade archive lists 私立ジャスティス学園 exactly.,VERIFIED_SHORTLIST
naruto:_the_last,KEEP,,,https://j-books.shueisha.co.jp/books/naruto_movie_thelast.html,Shueisha official J BOOKS page uses THE LAST -NARUTO THE MOVIE- exactly.,VERIFIED_SHORTLIST
deadlock_(game),KEEP,,,https://store.steampowered.com/app/1422450/Deadlock?l=japanese,Valve official distribution surface identifies the game as Deadlock; original title is identity-safe.,VERIFIED_SHORTLIST
force_of_will,KEEP,,,https://www.youtube.com/channel/UCxO_-cYMerfO0bsuDmYwfrA,Force of Will TCG official channel uses Force of Will; existing display is exact.,VERIFIED_SHORTLIST
tera_online,KEEP,,,https://blog.krafton.com/tag/%ED%85%8C%EB%9D%BC/,KRAFTON official corporate blog preserves TERA as the game identity; existing display is exact.,VERIFIED_SHORTLIST
isegye_idol,FIX_DISPLAY,ISEGYE IDOL,,https://www.youtube.com/watch?v=51gIcXw8aVA,Official Artist Channel description explicitly says ISEGYE IDOL Official Channel; normalize current lowercase display to official capitalization.,VERIFIED_SHORTLIST
forever_7th_capital,FIX_BOTH,永遠の７日-終わりなき始まり,永遠の7日,https://www.neteasegames.com/jp/news/20240125/37024_1134446.html,NetEase Games official Japanese notice uses 永遠の７日-終わりなき始まり; retain the existing short form as a search alias.,VERIFIED_SHORTLIST
dragon_village_collection,FIX_DISPLAY,ドラゴンビレッジ コレクション,,https://apps.apple.com/jp/app/dragon-village-collection/id6444795301,Official Japanese App Store distribution for Highbrow uses ドラゴンビレッジ コレクション with a space; normalize display spacing.,VERIFIED_SHORTLIST
fossilized_wonders,FIX_BOTH,東方錦上京 〜 Fossilized Wonders.,東方錦上京,https://store.steampowered.com/app/3671710/__Fossilized_Wonders/?l=japanese,Official distribution identifies developer 上海アリス幻樂団 and full title 東方錦上京 〜 Fossilized Wonders.; retain short Japanese title for search.,VERIFIED_SHORTLIST
gyee,FIX_BOTH,サンクタス戦記-GYEE-,サンクタス戦記,https://sanctus-senki.com/,Official Japanese site uses サンクタス戦記-GYEE-; retain short Japanese title for search.,VERIFIED_SHORTLIST
black_souls_2,KEEP,,,https://store.steampowered.com/app/3855540/?l=japanese,Official distribution identifies developer Eeny meeny miny moe and title BLACK SOULS II exactly.,VERIFIED_SHORTLIST
black_souls,FIX_DISPLAY,BLACK SOULS,,https://store.steampowered.com/app/3755860/gg?l=japanese,Official distribution identifies developer Eeny meeny miny moe and title BLACK SOULS with a space; current BLACKSOULS display is normalized.,VERIFIED_SHORTLIST
mazinger_(series),KEEP,,,https://shop.toei-video.co.jp/collections/%E3%83%9E%E3%82%B8%E3%83%B3%E3%82%AC%E3%83%BC%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA,Toei Video official shop explicitly names its collection マジンガーシリーズ; existing series-level display is exact.,VERIFIED_SHORTLIST
funamusea,KEEP,,,https://funamusea.gumroad.com/,Creator-owned profile self-identifies as funamusea / Deep-sea prisoner / 海底囚人; existing Japanese identity is confirmed.,VERIFIED_SHORTLIST
alien_stage,FIX_DISPLAY,ALIEN STAGE,,https://www.youtube.com/watch?v=vYikmsPVq_c,VIVINOS verified official upload uses ALIEN STAGE; no verified Japanese localized title was found so preserve official original identity.,VERIFIED_SHORTLIST
ambience_synesthesia,FIX_DISPLAY,Ambience Synesthesia,,https://www.youtube.com/watch?v=VV7IxS6hZ7M,Official Arknights Ambience Synesthesia channel uses Ambience Synesthesia; replace unsupported Chinese surface with identity-safe official original.,VERIFIED_SHORTLIST
teen_titans,FIX_DISPLAY,ティーン・タイタンズ,,https://www.discoveryjapan.jp/cartoonnetwork/ttg/,Warner Bros. Discovery Japan official Cartoon Network page explicitly refers to ティーン・タイタンズ; normalize punctuation.,VERIFIED_SHORTLIST
m.u.g.e.n,KEEP,,,https://github.com/fanyer/mugen,Elecbyte-distributed M.U.G.E.N 1.0 documentation reproduced with copyright and original elecbyte.com reference uses M.U.G.E.N exactly; existing identity is preserved.,VERIFIED_SHORTLIST
