row_id,canonical_tag,post_count,display_ja,base_row_id,base_canonical_tag,base_effective_display_ja,base_trust_basis,canonical_variant_qualifier,existing_candidate_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-011023,passionlip_(swimsuit_saber)_(first_ascension)_(fate),248,パッションリップ(水着),I70-001918,passionlip_(fate),パッションリップ,DIRECT_SOURCE_SUPPORT,swimsuit saber / first ascension,パッションリップ(水着),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,パッションリップ（swimsuit saber / first ascension）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-012017,agnes_digital_(fanatic_jiangshi)_(umamusume),221,愛麗♡キョンシー,I70-000918,agnes_digital_(umamusume),アグネスデジタル（ウマ娘）,DIRECT_SOURCE_SUPPORT,fanatic jiangshi,愛麗♡キョンシー,variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE | CHARACTER_NO_COPYRIGHT_CONTEXT,FIX_DISPLAY,アグネスデジタル（ウマ娘）（fanatic jiangshi）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-012545,ange_katrina_(qipao),209,アンジュ・カトリーナ(チャイナ服),I70-000510,ange_katrina,アンジュ・カトリーナ,DIRECT_SOURCE_SUPPORT,qipao,アンジュ・カトリーナ(チャイナ服),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED | CHARACTER_NO_COPYRIGHT_CONTEXT,FIX_DISPLAY,アンジュ・カトリーナ（qipao）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-012944,abigail_williams_(santa)_(fate),201,アビゲイル・ウィリアムズ〔サンタ〕,I70-000115,abigail_williams_(fate),アビゲイル・ウィリアムズ,AUDIT_KEEP,santa,アビゲイル・ウィリアムズ〔サンタ〕,variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,FIX_DISPLAY,アビゲイル・ウィリアムズ（santa）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-013049,akebono_(swimsuit)_(kancolle),199,曙(水着),I70-000340,akebono_(kancolle),曙（艦これ）,AUDIT_FIX_SEARCH,swimsuit,曙(水着),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,曙（艦これ）（swimsuit）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-013135,sazanami_(swimsuit)_(kancolle),198,漣(水着),I70-000495,sazanami_(kancolle),漣（艦これ）,DIRECT_SOURCE_SUPPORT,swimsuit,漣(水着),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,漣（艦これ）（swimsuit）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-013686,oberon_(refreshing_summer_prince)_(fate),188,爽やかサマー・プリンス,I70-000850,oberon_(fate),オベロン（Fate）,DIRECT_SOURCE_SUPPORT,refreshing summer prince,爽やかサマー・プリンス,variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,FIX_DISPLAY,オベロン（Fate）（refreshing summer prince）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-014237,atsuko_(leotard)_(blue_archive),178,秤アツコ(インナー),I70-001233,atsuko_(blue_archive),秤アツコ,DIRECT_SOURCE_SUPPORT,leotard,秤アツコ(インナー),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED | CHARACTER_NO_COPYRIGHT_CONTEXT,FIX_DISPLAY,秤アツコ（leotard）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-014298,charlotte_corday_(third_ascension)_(fate),177,シャーロットコーデイ（3回目の昇天）（運命）,I70-006170,charlotte_corday_(fate),シャルロット・コルデー,DIRECT_SOURCE_SUPPORT,third ascension,シャーロットコーデイ（3回目の昇天）（運命）,parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,シャルロット・コルデー（third ascension）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-014688,morgan_le_fay_(chaldea_satellite_station)_(fate),171,カルデア・サテライトステーション,I70-000408,morgan_le_fay_(fate),モルガン（Fate）,DIRECT_SOURCE_SUPPORT,chaldea satellite station,カルデア・サテライトステーション,variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,FIX_DISPLAY,モルガン（Fate）（chaldea satellite station）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-014861,hatsune_miku_(lollipop),168,ロリポップ(モジュール),I70-000001,hatsune_miku,初音ミク（ボーカロイド）,AUDIT_FIX_DISPLAY,lollipop,ロリポップ(モジュール),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,FIX_DISPLAY,初音ミク（ボーカロイド）（lollipop）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-015145,kishinami_hakuno_(female)_(mooncancer),164,岸波白野(ムーンキャンサー),I70-001929,kishinami_hakuno_(female),岸波白野（女性）,AUDIT_KEEP,mooncancer,岸波白野(ムーンキャンサー),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED | DUPLICATE_DISPLAY_WITHIN_CATEGORY,FIX_DISPLAY,岸波白野（女性）（mooncancer）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
I70-015152,mash_kyrielight_(formal_dress),164,英霊正装,I70-000040,mash_kyrielight,マシュ・キリエライト,AUDIT_KEEP,formal dress,英霊正装,variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,FIX_DISPLAY,マシュ・キリエライト（formal dress）,,DERIVED_TRUSTED_BASE_PLUS_CANONICAL_VARIANT_FALLBACK,HIGH,exact shorter Character canonical + trusted base Japanese identity + canonical qualifier diff; current row raw candidate only,family_base欠落をexact canonical逆引きで復元。親日本語名をaudit/sourceで再検証し、未検証variant訳は親名＋Danbooru canonical識別子へ戻す。,PROPOSED
