row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,audit_bucket,impact_tier,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_coverage,family_base_canonical,family_base_display_ja
I70-001226,jessie_(pokemon),2558,ムサシ,ムサシ | ムサシ(ポケモン),公式日本語名を採用,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,musashi_(pokemon),musashi (pokemon),,ムサシ | ムサシ(アニポケ) | ムサシ(トレーナー),,,pokemon,1.0,,
I70-001234,diarmuid_ua_duibhne_(fate),2532,ディルムッド・オディナ,ディルムッド・オディナ | ディルムッド,公式日本語名を採用,DISAMBIGUATOR_NOT_VISIBLE | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,,,,fate_(series),1.0,,
I70-001360,scorbunny,2367,ヒバニー,ヒバニー,公式日本語名を採用,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,ヒバニー,,,pokemon,1.0,,
I70-001388,tiki_(fire_emblem),2327,チキ,チキ | チキ(ファイアーエムブレム),公式日本語名を採用,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,chiki,chiki,,チキ | チキ(ファイアーエムブレム),,,fire_emblem,1.0,,
I70-001405,mari_(faraway)_(omori),2306,マリ（FARAWAY）,マリ | マリ(FARAWAY),同名形態を区別,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,,マリ,,omori,0.999514,mari_(omori),マリ（OMORI）
I70-002565,fudo_yusei,1315,不動遊星,不動遊星,AI監修：verified Alias・既存候補・作品関係を確認して採用,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,"fudou_yuusei,yusei_fudo",fudou yuusei | yusei fudo,,,不動遊星,,yu-gi-oh!,1.0,,
I70-002628,kasuga_ayumu,1278,春日歩,春日歩 | 大阪さん | 大阪,AI監修：verified Alias・既存候補・作品関係を確認し本名を採用,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,"osaka_(azumanga_daioh),osaka",osaka | osaka (azumanga daioh),,大阪さん,春日歩,,azumanga_daioh,1.0,,
I70-002642,makoto_(blue_archive),1271,羽沼マコト,羽沼マコト | マコト,AI監修：verified Alias・既存日本語候補・作品関係を確認して採用,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,hanuma_makoto,hanuma makoto,,マコト | 羽沼マコト,,하누마마코토,blue_archive,1.0,,
I70-002709,uzuki_kou,1238,卯月コウ,卯月コウ,AI監修：既存日本語候補・所属関係を確認して採用,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,卯月コウ | 春画コウ | 絵画コウ,,,nijisanji,0.998332,,
I70-003074,saya_(saya_no_uta),1095,沙耶,沙耶 | 沙耶の唄,,DISAMBIGUATOR_NOT_VISIBLE,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,,沙耶,,saya_no_uta,0.998037,,
