row_id,canonical_tag,post_count,display_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-003062,doro_(nikke),1101,ドロ,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-003087,bomb_hybrid_(chainsaw_man),1091,爆弾の悪魔,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-003170,mem_(honkai:_star_rail),1065,ミュリオン,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-003328,pebble_(koseki_bijou),1007,ペブル,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-003371,rieszverne_suzette_paladill,995,リース,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-003442,little_ica_(honkai:_star_rail),977,イカルン,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-003468,jingwei_(bird),971,精衛鳥,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-003487,lida_(pokemon),966,デウロ,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-004504,aokumo_rin,726,青雲凛,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-004507,mars_(cookie),726,MZ姉貴,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-004519,phainon_(flame_reaver)_(honkai:_star_rail),724,フレイムスティーラー,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-004660,suzu_(cookie),698,SZ姉貴,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-004691,mo_chengwei,693,莫承威,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
I70-004752,puru-see_(hoshizuki_(seigetsu)),682,ぷるスィ,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_RAW_ONLY_NO_BASE_EXTERNAL_CHECK,MEDIUM,raw Japanese candidate only; no trusted family base; post_count >= 500,高影響かつ日本語根拠がraw候補のみ。canonical fallbackで日本語名を捨てる前に外部確認する。,PROPOSED
