row_id,canonical_tag,category,category_name,post_count,display_ja,search_ja,translation_status,translation_note,risk_score,risk_flags,impact_tier,audit_bucket,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_posts,related_copyright_top1_coverage,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,pattern_id,audit_round,approval_status
I70-035980,omori,3,Copyright,23416,OMORI,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,OMORI1000users入り | おもり,,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-035993,kimetsu_no_yaiba,3,Copyright,20669,鬼滅の刃,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,キメツ学園 | 腐滅の刃 | 鬼滅の刃,鬼滅 | 鬼滅之刃 | 鬼灭之刃,,,,,,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-035994,dragon_quest,3,Copyright,20359,ドラクエ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ドラクエ | ドラゴンクエスト,,,,,,,FIX_BOTH,ドラゴンクエスト,ドラクエ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-035996,senran_kagura,3,Copyright,20154,閃乱カグ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,閃乱カグ | 閃乱カグラ,閃亂神樂 | 闪乱神乐,,,,,,FIX_BOTH,閃乱カグラ,閃乱カグ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-035999,bishoujo_senshi_sailor_moon,3,Copyright,19470,セーラームーン,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,セラムンイラスト部 | セーラームーン | 美少女戦士セーラームーン,,,,,,,FIX_BOTH,美少女戦士セーラームーン,セーラームーン,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036000,sword_art_online,3,Copyright,19199,ソードアートオンライン,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ソードアートオンライン | ソードアート・オンライン,刀剑神域 | 刀劍神域,,,,,,FIX_BOTH,ソードアート・オンライン,ソードアートオンライン,COPYRIGHT_OFFICIAL_ORTHOGRAPHY,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036001,sonic_(series),3,Copyright,18364,オリソニ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,オリソニ | ソニック | ソニック(ゲーム) | ソニック(セガ) | ソニック100users入り | ソニック・ザ・ヘッジホッグ,索尼克,,,,,,FIX_BOTH,ソニック,ソニック・ザ・ヘッジホッグ,REMOVE_FAN_SUBTAG_AS_DISPLAY,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036004,toaru_kagaku_no_railgun,3,Copyright,17515,toaru kagaku no railgun,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,とある科学の携帯怪獣 | とある科学の超電磁砲,,,,,,,FIX_DISPLAY,とある科学の超電磁砲,,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036005,touken_ranbu,3,Copyright,17450,とうらぶ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,とうらぶ | 刀剣ヘタ,刀剑乱舞 | 刀剣乱夢 | 刀剣乱腐 | 刀剣乱舞 | 刀剣乱舞-ONLINE- | 刀剣男士 | 刀劍亂舞 | 聖杯乱舞,,,,,,FIX_BOTH,刀剣乱舞,とうらぶ | 刀剣乱舞-ONLINE-,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036006,final_fantasy_vii_remake,3,Copyright,17304,FF7リメイク,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,FF7リメイク | FFVIIリメイク | ファイナルファンタジー7リメイク | ファイナルファンタジーVIIリメイク,,,,,,,FIX_BOTH,ファイナルファンタジーVII リメイク,FF7リメイク | FFVIIリメイク,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036010,nier_(series),3,Copyright,16936,ニーア,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ニーア,,,,,,,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_SERIES_NAME,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036011,science_adventure,3,Copyright,16914,science adventure,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,,科学アドベンチャー,,,,,,FIX_DISPLAY,科学アドベンチャー,,COPYRIGHT_JA_ESTABLISHED_NAME,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
I70-036013,gochuumon_wa_usagi_desu_ka?,3,Copyright,16825,ごちうさ,,REVIEW_REQUIRED,copyright title not uniquely resolved; manual verification required,0,STATUS_REVIEW_REQUIRED,TOP_1_PERCENT,REVIEW_REQUIRED,,,,ごちうさ | ご注文はうさぎですか | ご注文はうさぎですか? | ご注文はココアパイですか?,請問您今天要來點兔子嗎? | 请问您今天要来点兔子吗?,,,,,,FIX_BOTH,ご注文はうさぎですか？,ごちうさ,COPYRIGHT_FULL_TITLE,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,COPYRIGHT_HIGH_IMPACT_001,,PROPOSED
