row_id,canonical_tag,post_count,display_ja,search_ja,prior_audit_verdict,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-039315,doom_(2016),227,DOOM（2016）,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE_CONFIRMED,HIGH,https://bethesda.net/ja-JP/news/doom-2016-arrives-on-google-stadia,Official Bethesda Japan explicitly uses 『DOOM (2016)』; current Japanese display is semantically equivalent and safe.,PROPOSED
I70-055856,ishida_sui,193,石田スイ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT_CONFIRMED,HIGH,https://prtimes.jp/main/html/rd/p/000000357.000002610.html,ShoPro exhibition material identifies the manga creator as 石田スイ; current display is safe.,PROPOSED
I70-055860,kazama_raita,193,風間雷太,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_PROFILE_CONFIRMED,HIGH,https://www.kazamaraita.com/,Artist official website identifies 風間雷太 / Raita Kazama; current display is safe.,PROPOSED
I70-056051,ukami,191,うかみ,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT_CONFIRMED,HIGH,https://www.kadokawa.co.jp/product/302509002444/,KADOKAWA publisher page credits 著者 うかみ; current display is safe.,PROPOSED
I70-004447,ashveil_(honkai:_star_rail),737,不死途,不死途 | Ashveil,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_NAME_VERIFIED,HIGH,https://prtimes.jp/main/html/rd/p/000000398.000096124.html,HoYoverse/COGNOSPHERE release confirms official Japanese character name 不死途; existing display is correct,PROPOSED
I70-004485,pombon,730,ポムケン,ポムケン,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_NAME_VERIFIED,HIGH,https://game.watch.impress.co.jp/docs/news/2089418.html,Pokemon announcement coverage reproducing official reveal confirms Japanese name ポムケン,PROPOSED
I70-004501,jade_(honkai:_star_rail),727,ジェイド,ジェイド,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_NAME_VERIFIED,HIGH,https://www.gamer.ne.jp/news/202404240035/,HoYoverse announcement confirms official Japanese character name ジェイド,PROPOSED
I70-056230,yumenouchi_chiharu,189,夢ノ内千春,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT_VERIFIED,HIGH,https://team-ec.jp/product/16826/DREAMING-yumenouchi-artworks,Publisher/store credit explicitly identifies illustrator 夢ノ内千春; existing display is correct,PROPOSED
I70-039385,tetsuwan_birdy,221,鉄腕バーディー,,NEEDS_EXTERNAL_CHECK,KEEP,,,FORMAL_TITLE_VERIFIED,HIGH,https://ebookstore.sony.jp/title/11152351/id/LT000222183003239709/,Published comic listing confirms title 鉄腕バーディー,PROPOSED
I70-039397,huniepop,220,ハニーポップ,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,HuniePop,,FORMAL_TITLE_CORRECTION,HIGH,https://www.gog.com/en/game/huniepop,Publisher/store listing uses formal title HuniePop; current Japanese phonetic rendering is not the official title,PROPOSED
I70-039401,shinsougumi,220,深層組,,NEEDS_EXTERNAL_CHECK,KEEP,,,IDENTITY_TITLE_VERIFIED,HIGH,https://prtimes.jp/main/html/rd/p/000001063.000056982.html,Dwango release identifies the VTuber group as 深層組; fictional/VTuber scope remains in scope and current display is correct,PROPOSED
I70-039404,devilman_crybaby,219,恶魔人,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,DEVILMAN crybaby,,FORMAL_TITLE_CORRECTION,HIGH,https://www.netflix.com/jp/title/80174974,Netflix official Japanese service confirms formal title DEVILMAN crybaby; current Chinese generic title is incorrect,PROPOSED
I70-039407,idolmaster_side-m_live_on_stage!,219,Idolmaster Side-M Live on Stage！,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,アイドルマスター SideM LIVE ON ST@GE！,,FORMAL_TITLE_CORRECTION,HIGH,https://gamebiz.jp/news/190478,Bandai Namco release identifies formal Japanese product title アイドルマスター SideM LIVE ON ST@GE！,PROPOSED
I70-039458,indivisible,214,不可分,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,Indivisible,,FORMAL_TITLE_CORRECTION,HIGH,https://www.xbox.com/en-US/games/store/indivisible/9NBFQMP69N1S,Xbox official listing confirms title Indivisible; current display is a literal translation rather than product title,PROPOSED
I70-039473,rail_wars!,213,鉄道戦争！,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,RAIL WARS!,,FORMAL_TITLE_CORRECTION,HIGH,https://rail-wars.com/,Official site confirms formal title RAIL WARS!; current display is a literal Japanese translation,PROPOSED
I70-056774,kakifly,182,かきふらい,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT,HIGH,https://www.kyotoanimation.co.jp/works/k-on/,京都アニメーション作品情報で原作かきふらい表記を確認,PROPOSED
I70-057221,hiwatari_rin,177,樋渡りん,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.kadokawa.co.jp/product/322310000773/,KADOKAWA刊行作品の著者名表記と整合,PROPOSED
I70-057373,barasui,175,ばらスィー,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT,HIGH,https://www.tbs.co.jp/ichigomashimaro/,苺ましまろ公式系作品情報の原作ばらスィー表記と整合,PROPOSED
I70-057398,katoki_hajime,175,カトキハジメ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT,HIGH,https://p-bandai.jp/,バンダイ公式商品群でカトキハジメ監修表記が継続使用されるため現表示を維持,PROPOSED
I70-057401,kobayashi_ritz,175,小林立,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://store.jp.square-enix.com/estore/g/g4988601539395/,スクウェア・エニックス公式商品で小林立先生表記を確認,PROPOSED
I70-057649,takeuchi_naoko,173,武内直子,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.kodansha.co.jp/comic/products/0000027190,講談社書誌で著者 武内直子を確認,PROPOSED
I70-039476,donpachi_(series),212,怒首領蜂,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE,HIGH,https://www.cave.co.jp/news/%E6%80%92%E9%A6%96%E9%A0%98%E8%9C%82%E5%A4%A7%E5%BE%A9%E6%B4%BB%E3%81%8C%E3%83%AA%E3%83%95%E3%82%A1%E3%82%A4%E3%83%B3%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA%E3%81%A7%E5%86%8D%E5%A7%8B%E5%8B%95%EF%BC%81/,ケイブ公式で怒首領蜂シリーズ表記を確認,PROPOSED
I70-039486,tejina_senpai_(series),212,手品先輩,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_TITLE,HIGH,https://www.kodansha.co.jp/comic/products/0000016640,講談社公式書誌の作品名 手品先輩を確認,PROPOSED
I70-039488,daiteikoku,211,大帝国,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE,HIGH,https://www.alicesoft.com/daiteikoku/system.html,アリスソフト公式で大帝国表記を確認,PROPOSED
I70-039490,hito_mania_(utau),211,人マニア,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE,HIGH,https://www.youtube.com/watch?v=L_5XcE4LrYs,原口沙輔Official Artist Channel配信タイトル 人マニアを確認,PROPOSED
I70-039499,tate_no_yuusha_no_nariagari_rerise,211,盾の勇者の成り上がり RERISE,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE,HIGH,https://www.youtube.com/@TV-zg4wu,公式ゲームプロジェクトチャンネル記載タイトルと一致,PROPOSED
