row_id,canonical_tag,category_name,post_count,display_ja,search_ja,existing_search_ja,audit_verdict,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-037026,doom_(series),Copyright,1128,DOOM,,ドゥーム,FIX_SEARCH,ドゥーム,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037036,aika_(series),Copyright,1111,AIKa,,アイカ,FIX_SEARCH,アイカ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037326,mass_effect_(series),Copyright,805,Mass Effect,,マスエフェクト,FIX_SEARCH,マスエフェクト,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036776,serial_experiments_lain,Copyright,1620,serial experiments lain,,シリアルエクスペリメンツレイン,FIX_SEARCH,シリアルエクスペリメンツレイン,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036867,five_nights_at_freddy's,Copyright,1425,Five Nights at Freddy's,,ファイブナイツアットフレディーズ | フレディーズで5泊 | フレディーズでの5泊,FIX_SEARCH,ファイブナイツアットフレディーズ | フレディーズで5泊 | フレディーズでの5泊,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036998,dream_c_club,Copyright,1171,DREAM C CLUB,,ドリームクラブ,FIX_SEARCH,ドリームクラブ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-037141,agent_aika,Copyright,976,AIKa,,アイカ,FIX_SEARCH,アイカ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036628,ib_(kouri),Copyright,2014,Ib,,イヴ,FIX_SEARCH,イヴ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036952,shy_(series),Copyright,1259,SHY,,SHY-シャイ- | シャイ,FIX_SEARCH,SHY-シャイ- | シャイ,RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
I70-036955,key_(company),Copyright,1253,Key,,Key(ゲームブランド),FIX_SEARCH,Key(ゲームブランド),RESTORE_TRUSTED_JA_SEARCH,HIGH,existing_search_ja + RuntimeCatalogIndex search contract,表示名は変更せず、保存済みexisting_search_jaの日本語検索語のみ復元。英字公式名は保持。,PROPOSED
