row_id,canonical_tag,category,post_count,current_display_ja,current_search_ja,current_status,audit_verdict,proposed_display_ja,proposed_search_ja,reason,confidence,evidence_url,audit_method
I70-036051,magia_record:_mahou_shoujo_madoka_magica_gaiden,Copyright,13089,マギアレコード,,REVIEW_REQUIRED,FIX_BOTH,マギアレコード 魔法少女まどか☆マギカ外伝,マギアレコード 魔法少女まどか☆マギカ外伝 | マギアレコード | マギレコ,Current display is an abbreviation of the official full title; retain abbreviation as search alias.,HIGH,https://magireco.com/,official_web+source_evidence
I70-036053,fire_emblem_engage,Copyright,12949,FEエンゲージ,,REVIEW_REQUIRED,FIX_BOTH,ファイアーエムブレム エンゲージ,ファイアーエムブレム エンゲージ | FEエンゲージ,Nintendo uses the full Japanese product title; current display is abbreviated.,HIGH,https://www.nintendo.com/jp/hardware/amiibo/game/ayfna/index.html,official_web+source_evidence
I70-036056,girls_band_cry,Copyright,12875,ガルクラ,,REVIEW_REQUIRED,FIX_BOTH,ガールズバンドクライ,ガールズバンドクライ | ガルクラ,Official site consistently uses the full title; current display is a common abbreviation.,HIGH,https://girls-band-cry.com/tv/,official_web+source_evidence
I70-036057,kamen_rider,Copyright,12867,オリジナルライダー,,REVIEW_REQUIRED,FIX_BOTH,仮面ライダー,仮面ライダー,Current display is a fan/category phrase and does not identify the canonical copyright; official title is 仮面ライダー.,HIGH,https://www.kamen-rider-official.com/series/maskedrider/,official_web+source_evidence
I70-036066,fate/kaleid_liner_prisma_illya,Copyright,12143,Fate/kaleidlinerプリズマ☆イリヤ,,REVIEW_REQUIRED,FIX_BOTH,Fate/kaleid liner プリズマ☆イリヤ,Fate/kaleid liner プリズマ☆イリヤ | プリズマ☆イリヤ,Official site uses spacing in Fate/kaleid liner; preserve common short Japanese title for search.,HIGH,https://anime.prisma-illya.jp/1st/,official_web+source_evidence
I70-036070,gundam_suisei_no_majo,Copyright,11820,機動戦士ガンダム_水星の魔女,,REVIEW_REQUIRED,FIX_BOTH,機動戦士ガンダム 水星の魔女,機動戦士ガンダム 水星の魔女 | 水星の魔女,Current display leaks an underscore from tag-style text; official title uses a space.,HIGH,https://gundam-official.com/witch-from-mercury/,official_web+source_evidence
I70-036071,senki_zesshou_symphogear,Copyright,11745,シンフォギア,,REVIEW_REQUIRED,FIX_BOTH,戦姫絶唱シンフォギア,戦姫絶唱シンフォギア | シンフォギア,Current display is shortened; official title is the full Japanese series title.,HIGH,https://www.tv-tokyo.co.jp/anime/symphogear/,official_web+source_evidence
I70-036072,super_smash_bros.,Copyright,11691,スマッシュブラザーズ,,REVIEW_REQUIRED,FIX_BOTH,大乱闘スマッシュブラザーズ,大乱闘スマッシュブラザーズ | スマブラ,Nintendo names the franchise as 大乱闘スマッシュブラザーズシリーズ; use the franchise title without a game-specific suffix.,HIGH,https://www.nintendo.com/jp/hardware/amiibo/lineup/series.html,official_web+source_evidence
I70-036076,cardcaptor_sakura,Copyright,11055,CCさくら,,REVIEW_REQUIRED,FIX_BOTH,カードキャプターさくら,カードキャプターさくら | CCさくら,Current display is a common abbreviation; official Japanese title is full form.,HIGH,https://ccsakura-official.com/anime/index5.html,official_web+source_evidence
I70-036077,tengen_toppa_gurren_lagann,Copyright,11032,グレンラガン,,REVIEW_REQUIRED,FIX_BOTH,天元突破グレンラガン,天元突破グレンラガン | グレンラガン,Official portal uses the full title; current display is shortened.,HIGH,https://www.gurren-lagann.net/,official_web+source_evidence
I70-036078,onii-chan_wa_oshimai!,Copyright,11028,おにまい,,REVIEW_REQUIRED,FIX_BOTH,お兄ちゃんはおしまい！,お兄ちゃんはおしまい！ | おにまい,Current display is an abbreviation; official anime site uses the full Japanese title.,HIGH,https://onimai.jp/,official_web+source_evidence
I70-036079,the_legend_of_zelda:_breath_of_the_wild,Copyright,10984,ゼルダの伝説ブレスオブザワイルド,,REVIEW_REQUIRED,FIX_BOTH,ゼルダの伝説 ブレス オブ ザ ワイルド,ゼルダの伝説 ブレス オブ ザ ワイルド | ブレス オブ ザ ワイルド | ブレワイ,Nintendo title includes word spacing; current display collapses it.,HIGH,https://www.nintendo.com/jp/games/feature/zelda/index.html,official_web+source_evidence
I70-036085,naruto_shippuuden,Copyright,10528,ザ・ロストタワー,,REVIEW_REQUIRED,FIX_BOTH,NARUTO -ナルト- 疾風伝,NARUTO -ナルト- 疾風伝 | ナルト疾風伝 | 疾風伝,Current display is a specific movie title and is semantically wrong for the canonical TV-series copyright.,HIGH,https://naruto-official.com/anime/naruto2,official_web+source_evidence
I70-036089,lycoris_recoil,Copyright,10358,リコリコ,,REVIEW_REQUIRED,FIX_BOTH,リコリス・リコイル,リコリス・リコイル | リコリコ,Official site uses the full title; current display is a common abbreviation.,HIGH,https://lycoris-recoil.com/,official_web+source_evidence
I70-036092,last_origin,Copyright,10036,ラスオリ,,REVIEW_REQUIRED,FIX_BOTH,ラストオリジン,ラストオリジン | ラスオリ,Official Japanese site identifies the title as ラストオリジン; current display is an abbreviation.,HIGH,https://www.last-origin.com/,official_web+source_evidence
