row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file,seed_shortlist_source,seed_provisional_verdict,seed_proposed_display_ja,seed_proposed_search_ja,seed_evidence_ref,seed_audit_note
I70-035904,honkai_(series),Copyright,188054,崩壊,,manual chat curation selected high-confidence Japanese copyright title,copyright_final_internal_external_split_batch064.csv,,,,,,
I70-035995,utdr_(toby_fox),Copyright,20287,utdr (toby fox),,copyright title not uniquely resolved; manual verification required,copyright_batch004_01.csv,,,,,,
I70-036017,touhou_(pc-98),Copyright,16614,東方旧作,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv,,,,,,
I70-036038,saibou_shinkyoku,Copyright,14001,さぼしき,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv,,,,,,
I70-036064,cookie_(touhou),Copyright,12161,クッキー☆,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv,,,,,,
I70-036394,twitter,Copyright,3190,ツイッター,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv,,,,,,
I70-036441,little_red_riding_hood_(fairy_tale),Copyright,2787,赤ずきん,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv,,,,,,
I70-036480,zombie_stage,Copyright,2576,血鬼舞台,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv,,,,,,
I70-036539,waktaverse,Copyright,2317,WAKTAVERSE,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv,,,,,,
I70-036541,minecraft_youtube,Copyright,2306,Minecraft YouTube,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv,,,,,,
I70-036584,indie_utaite,Copyright,2143,indie utaite,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_no_trusted_ja_batch018.csv,,,,,,
I70-036642,aotu_world,Copyright,1952,凹凸世界,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv,,,,,,
I70-036664,degrees_of_lewdity,Copyright,1869,Degrees of Lewdity,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_no_trusted_ja_batch018.csv,,,,,,
I70-036741,doukyuusei_(series),Copyright,1690,同級生,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv,,,,,,
I70-036765,reitaisai_8_contest,Copyright,1650,reitaisai 8 contest,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_no_trusted_ja_batch018.csv,,,,,,
I70-036812,vsinger_(vocaloid),Copyright,1521,Vsinger,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_no_trusted_ja_batch018.csv,,,,,,
I70-036866,douluo_dalu,Copyright,1425,斗羅大陸,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv,,,,,,
I70-036936,dao_gui_yi_xian,Copyright,1283,道詭異仙,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv,,,,,,
I70-036957,ragnarok:_guild_masters,Copyright,1248,Ragnarok: Guild Masters,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_no_trusted_ja_batch018.csv,,,,,,
I70-037043,fukumoto_mahjong,Copyright,1104,福本麻雀,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,
I70-037075,chromashift,Copyright,1067,ChromaShift,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_no_trusted_ja_batch018.csv,,,,,,
