cycle_id,lane,manifest_progress_sha256,row_id,canonical_tag,category,post_count,display_ja,search_ja,prior_audit_verdict,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
cycle-0001,4,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-003100,aijo_karen,Character,1085,愛城華恋,愛城華恋 | 華恋,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_JA_CONFIRMED,HIGH,https://revuestarlight.com/music/initial/,公式『少女☆歌劇 レヴュースタァライト』音楽ページで愛城華恋表記を確認。現表示は完全一致。,PROPOSED
cycle-0001,4,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-003217,metroid_(creature),Character,1045,メトロイド,メトロイド | メトロイド(クリーチャー) | ベビーメトロイド,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_JA_CONFIRMED,HIGH,https://www.nintendo.com/jp/titles/50010000007261.html,任天堂公式が生命体名を「メトロイド」と明記。canonicalのcreatureスコープとも整合。,PROPOSED
cycle-0001,4,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-003470,jack_frost_(megami_tensei),Character,970,ジャックフロスト,ジャックフロスト | 妖精ジャックフロスト,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_JA_CONFIRMED,HIGH,https://www.atlus.co.jp/news/37881/,アトラス公式が『真・女神転生』シリーズの悪魔名を「ジャックフロスト」と明記。現表示は完全一致。,PROPOSED
cycle-0001,4,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-003488,puyo_(puyopuyo),Character,966,ぷよ,ぷよ | ぷよ(ぷよぷよ),NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_JA_CONFIRMED,HIGH,https://puyo.sega.jp/portal/series/Puyopuyo.html,SEGA公式ぷよぷよポータルがゲームピースを「ぷよ」と表記。現表示は一致。,PROPOSED
cycle-0001,4,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-003864,flower_(vocaloid4),Character,857,v flower,v flower | ブイフラワ,NEEDS_EXTERNAL_CHECK,FIX_BOTH,flower,v flower | ブイフラワ,OFFICIAL_CHARACTER_NAME,HIGH,https://www.vocaloid.com/products/show/v4l_v4_flower,VOCALOID公式製品ページはVOCALOID4 Library v4 flowerのキャラクター名を「flower（フラワ）」と明記。displayはキャラクター名flowerへ修正し製品・旧呼称v flowerを検索別名に保持。,PROPOSED
cycle-0001,4,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-003360,p-chan_(ranma_1/2),Character,999,Pちゃん,Pちゃん | Pちゃん(らんま1/2),NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_JA_CONFIRMED,HIGH,https://ranma-pr.com/goods/bnnui-mascot/,TVアニメ『らんま1/2』公式グッズページが変身体キャラクターを「Pちゃん」と表記。現表示は一致。,PROPOSED
cycle-0001,4,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-003977,protagonist_(metaphor:_refantazio),Character,834,主人公（メタファー：リファンタジオ）,主人公（メタファー：リファンタジオ） | 旅の少年,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_JA_CONFIRMED,HIGH,https://www.atlus.co.jp/news/30548/,アトラス公式商品情報がキャラクター名義を「主人公」として使用。作品識別括弧もcanonicalスコープを安全に保持している。,PROPOSED
cycle-0001,4,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-003460,xie_lian,Character,973,謝憐,謝憐 | シエ・リェン,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_JA_PUBLISHER_CONFIRMED,HIGH,https://www.fwinc.jp/daria/uni/series/tgcf/,日本語版小説の公式出版社フロンティアワークスが主人公を「謝憐（シエ・リェン）」と表記。displayとsearchは整合。,PROPOSED
cycle-0001,4,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-003243,adventurer_(ff14),Character,1035,光の戦士,光の戦士 | メテオ | ひろし(FF14),NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_SCOPE_TERM,HIGH,https://jp.finalfantasyxiv.com/lodestone/topics/detail/5018bad5a0726af433f9b0598b26b4699e810e5a,FFXIV公式Lodestoneがプレイヤー側を「光の戦士たち」と呼称。canonicalのadventurerスコープに対する現display「光の戦士」は公式運用と整合。,PROPOSED
cycle-0001,4,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-003099,lamb_(league),Character,1086,ラム,ラム | Lamb | ヒツジ | キンドレッド,NEEDS_EXTERNAL_CHECK,FIX_BOTH,Lamb,ラム | ヒツジ | キンドレッド,IDENTITY_SAFE_OFFICIAL_ROMANIZED,HIGH,https://www.leagueoflegends.com/en-sg/champions/kindred/,Riot公式Kindredページは構成存在をLambとWolfとして明記する一方、日本語公式名「ラム」の一次根拠を確認できない。推測カナをdisplayにせず公式Romanized名Lambへ戻し、既存日本語候補は検索別名に保持。,PROPOSED
