row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file,seed_shortlist_source,seed_provisional_verdict,seed_proposed_display_ja,seed_proposed_search_ja,seed_evidence_ref,seed_audit_note
I70-044438,yaegashi_nan,Artist,4598,八重樫南,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv,,,,,,
I70-044440,mizuki_hitoshi,Artist,4382,みずきひとし,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv,,,,,,
I70-044443,tani_takeshi,Artist,3932,谷たけし,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv,,,,,,
I70-044447,pageratta,Artist,3572,ペゲラッタ,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv,,,,,,
I70-044462,m-da_s-tarou,Artist,2968,MだSたろう,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv,,,,,,
I70-044467,mitarashi_neko,Artist,2910,みたらしねこ,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv,,,,,,
I70-044479,minaba_hideo,Artist,2671,皆葉英夫,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv,,,,,,
I70-044480,kirisawa_juuzou,Artist,2669,桐沢十三,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv,,,,,,
I70-044488,namori,Artist,2559,なもり,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv,,,,,,
I70-044493,kato_takuji,Artist,2489,加藤拓弐,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv,,,,,,
I70-044494,houtengeki,Artist,2472,方天戟,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv,,,,,,
I70-044499,kani_biimu,Artist,2442,かにビーム,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv,,,,,,
I70-044504,avogado6,Artist,2396,アボガド6,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv,,,,,,
I70-044516,izumi_tsubasu,Artist,2262,和泉つばす,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv,,,,,,
I70-044523,tsunako,Artist,2233,つなこ,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv,,,,,,
I70-044529,takeuchi_takashi,Artist,2168,武内崇,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv,,,,,,
I70-044538,nekotoufu,Artist,2088,ねことうふ,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv,,,,,,
I70-044539,onigirikun,Artist,2077,おにぎりくん,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv,,,,,,
I70-044541,toosaka_asagi,Artist,2061,遠坂あさぎ,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv,,,,,,
I70-044542,sayori_(neko_works),Artist,2060,さより（NEKO WORKs）,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv,,,,,,
