cycle_id,lane,manifest_progress_sha256,row_id,canonical_tag,category,post_count,display_ja,search_ja,prior_audit_verdict,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
cycle-0002,5,3bcc7102bde9e781a4f308c57d22c84409b052ec622722e85dd13ff3aad82d36,I70-003062,doro_(nikke),Character,1101,ドロ,ドロ | Doro | NIKKE,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIALIZED_IDENTITY,HIGH,https://dengekionline.com/article/202505/41216,Official NIKKE 2.5th-anniversary event material explicitly uses doro/ドロ for the mascot; current display is safe.,PROPOSED
cycle-0002,5,3bcc7102bde9e781a4f308c57d22c84409b052ec622722e85dd13ff3aad82d36,I70-003087,bomb_hybrid_(chainsaw_man),Character,1091,爆弾の悪魔,爆弾の悪魔 | 爆弾の武器人間 | レゼ,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,ボム,,OFFICIAL_CHARACTER_NAME,HIGH,https://mantan-web.jp/article/20250323dog00m200004000c.html,Official movie character visual identifies the transformed character as ボム; replace generic descriptive display while retaining useful search aliases.,PROPOSED
cycle-0002,5,3bcc7102bde9e781a4f308c57d22c84409b052ec622722e85dd13ff3aad82d36,I70-003170,mem_(honkai:_star_rail),Character,1065,ミュリオン,ミュリオン | Mem,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CHARACTER_NAME,HIGH,https://www.youtube.com/watch?v=UQk2jEEZWxk,Official 崩壊：スターレイル channel uses ミュリオン; current display is exact.,PROPOSED
cycle-0002,5,3bcc7102bde9e781a4f308c57d22c84409b052ec622722e85dd13ff3aad82d36,I70-045577,morikura_en,Artist,752,森倉円,,NEEDS_EXTERNAL_CHECK,KEEP,,,IDENTITY_CONFIRMED,HIGH,https://pie.co.jp/book/i/5858/,Publisher's official book page credits the creator as 森倉円; current display preserves the established identity.,PROPOSED
cycle-0002,5,3bcc7102bde9e781a4f308c57d22c84409b052ec622722e85dd13ff3aad82d36,I70-046080,honjou_raita,Artist,631,本庄雷太,,NEEDS_EXTERNAL_CHECK,KEEP,,,IDENTITY_CONFIRMED,HIGH,https://www.famitsu.com/news/202207/28270131.html,Commercial exhibition coverage identifies the artist consistently as 本庄雷太; current display is identity-safe.,PROPOSED
cycle-0002,5,3bcc7102bde9e781a4f308c57d22c84409b052ec622722e85dd13ff3aad82d36,I70-046527,sadamoto_yoshiyuki,Artist,560,貞本義行,,NEEDS_EXTERNAL_CHECK,KEEP,,,IDENTITY_CONFIRMED,HIGH,https://www.hlj.co.jp/product/KDK54480,Published artbook metadata identifies the creator as 貞本義行; current display is exact.,PROPOSED
cycle-0002,5,3bcc7102bde9e781a4f308c57d22c84409b052ec622722e85dd13ff3aad82d36,I70-047090,shizuma_yoshinori,Artist,495,しずまよしのり,,NEEDS_EXTERNAL_CHECK,KEEP,,,IDENTITY_CONFIRMED,HIGH,https://prtimes.jp/main/html/rd/p/000000194.000012425.html,GENCO release credits character-original designer as しずまよしのり; current display is exact.,PROPOSED
cycle-0002,5,3bcc7102bde9e781a4f308c57d22c84409b052ec622722e85dd13ff3aad82d36,I70-047535,itolife,Artist,453,伊東ライフ,,NEEDS_EXTERNAL_CHECK,KEEP,,,IDENTITY_CONFIRMED,HIGH,https://itolife.jp/,Artist's official site identity is 伊東ライフ; current display is exact.,PROPOSED
cycle-0002,5,3bcc7102bde9e781a4f308c57d22c84409b052ec622722e85dd13ff3aad82d36,I70-047547,nishida_asako,Artist,452,西田亜沙子,,NEEDS_EXTERNAL_CHECK,KEEP,,,IDENTITY_CONFIRMED,HIGH,https://simoun.tv/staffcast/index.html,Official anime staff page credits character design and chief animation direction to 西田亜沙子; current display is exact.,PROPOSED
cycle-0002,5,3bcc7102bde9e781a4f308c57d22c84409b052ec622722e85dd13ff3aad82d36,I70-047556,kazuma_kaneko,Artist,451,金子一馬,,NEEDS_EXTERNAL_CHECK,KEEP,,,IDENTITY_CONFIRMED,HIGH,https://colopl.co.jp/news/pressrelease/2024050801.php,Colopl creator announcement identifies 金子一馬; current display is exact.,PROPOSED
cycle-0002,5,3bcc7102bde9e781a4f308c57d22c84409b052ec622722e85dd13ff3aad82d36,I70-047585,koyama_hirokazu,Artist,448,こやまひろかず,,NEEDS_EXTERNAL_CHECK,KEEP,,,IDENTITY_CONFIRMED,HIGH,https://mahoyo-game.com/,Official 魔法使いの夜 materials credit こやまひろかず; current display is exact.,PROPOSED
cycle-0002,5,3bcc7102bde9e781a4f308c57d22c84409b052ec622722e85dd13ff3aad82d36,I70-048003,tokyogenso,Artist,419,東京幻想,,NEEDS_EXTERNAL_CHECK,KEEP,,,IDENTITY_CONFIRMED,HIGH,https://edition-88.com/blogs/blog/tokyogenso-yurakucho2024-event-info,Official gallery exhibition page uses 東京幻想 as the artist identity; current display is exact.,PROPOSED
