cycle_id,lane,manifest_progress_sha256,row_id,canonical_tag,category,post_count,display_ja,search_ja,prior_audit_verdict,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
cycle-0003,5,73848aa7f94f58e1889470c11d32b3894ea304b38a421170e6a2d741f6403d19,I70-004193,sukoya_kana_(1st_costume),Character,790,健屋花那（通常衣装）,健屋花那（通常衣装） | 健屋花那,NEEDS_EXTERNAL_CHECK,FIX_BOTH,健屋花那,健屋花那,OFFICIAL_NAME,HIGH,https://shop.nijisanji.jp/SSZS-17591.html,Official Nijisanji store confirms the character name 健屋花那; no official evidence supports appending 通常衣装 as part of the Japanese character name.,PROPOSED
cycle-0003,5,73848aa7f94f58e1889470c11d32b3894ea304b38a421170e6a2d741f6403d19,I70-004251,fuwa_minato,Character,776,不破湊,不破湊,NEEDS_EXTERNAL_CHECK,KEEP,不破湊,不破湊,OFFICIAL_NAME,HIGH,https://www.anycolor.co.jp/news/0m0__jqff3,ANYCOLOR identifies its Nijisanji liver as 不破湊.,PROPOSED
cycle-0003,5,73848aa7f94f58e1889470c11d32b3894ea304b38a421170e6a2d741f6403d19,I70-004252,hat_kid,Character,776,ハットキッド,ハットキッド | 帽子の子供,NEEDS_EXTERNAL_CHECK,FIX_SEARCH,ハットキッド,ハットキッド,OFFICIAL_JA_LOCALIZATION,HIGH,https://store.playstation.com/ja-jp/product/EP4638-CUSA28716_00-1932917679675398,Japanese PlayStation Store uses ハットキッド for the A Hat in Time character; generic 帽子の子供 is not an official name.,PROPOSED
cycle-0003,5,73848aa7f94f58e1889470c11d32b3894ea304b38a421170e6a2d741f6403d19,I70-004257,katarina_(league),Character,775,カタリナ,カタリナ | カタリナ・デュ・クートー,NEEDS_EXTERNAL_CHECK,FIX_SEARCH,カタリナ,カタリナ,OFFICIAL_NAME,HIGH,https://www.leagueoflegends.com/ja-jp/champions/katarina/,Riot Japanese champion page uses カタリナ; the page describes her as the general's daughter but does not establish カタリナ・デュ・クートー as the official Japanese display name.,PROPOSED
cycle-0003,5,73848aa7f94f58e1889470c11d32b3894ea304b38a421170e6a2d741f6403d19,I70-039183,hourou_musuko,Copyright,239,放浪息子,,NEEDS_EXTERNAL_CHECK,KEEP,放浪息子,,OFFICIAL_TITLE,HIGH,https://tv.apple.com/jp/show/%E6%94%BE%E6%B5%AA%E6%81%AF%E5%AD%90/umc.cmc.6lhsbwxndacms5tij05w7lcn1,Japanese distribution listing confirms 放浪息子.,PROPOSED
cycle-0003,5,73848aa7f94f58e1889470c11d32b3894ea304b38a421170e6a2d741f6403d19,I70-039195,11eyes,Copyright,238,11歳,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,11eyes -罪と罰と贖いの少女-,,OFFICIAL_TITLE,HIGH,https://prtimes.jp/main/html/rd/p/000005556.000032953.html,Publisher campaign material identifies the work as 11eyes-罪と罰と贖いの少女-; current 11歳 is incorrect.,PROPOSED
cycle-0003,5,73848aa7f94f58e1889470c11d32b3894ea304b38a421170e6a2d741f6403d19,I70-039207,world_masterpiece_theater,Copyright,238,世界名作劇場,,NEEDS_EXTERNAL_CHECK,KEEP,世界名作劇場,,OFFICIAL_TITLE,HIGH,https://www.nippon-animation.co.jp/news/information/13854/,Nippon Animation official site uses 世界名作劇場 for the series.,PROPOSED
cycle-0003,5,73848aa7f94f58e1889470c11d32b3894ea304b38a421170e6a2d741f6403d19,I70-039262,tetsuwan_birdy_decode,Copyright,232,鉄腕バーディー,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,鉄腕バーディー DECODE,,OFFICIAL_TITLE,HIGH,https://www.birdy-tv.com/,Official anime site identifies the work as 鉄腕バーディー DECODE; current display omits DECODE.,PROPOSED
cycle-0003,5,73848aa7f94f58e1889470c11d32b3894ea304b38a421170e6a2d741f6403d19,I70-039283,tekken_6,Copyright,230,鉄拳6,,NEEDS_EXTERNAL_CHECK,KEEP,鉄拳6,,ESTABLISHED_JA_TITLE,HIGH,https://www.bandainamcoent.co.jp/cs/list/tekken6/,Bandai Namco title naming confirms 鉄拳6.,PROPOSED
cycle-0003,5,73848aa7f94f58e1889470c11d32b3894ea304b38a421170e6a2d741f6403d19,I70-054622,iizuka_haruko,Artist,210,飯塚晴子,,NEEDS_EXTERNAL_CHECK,KEEP,飯塚晴子,,OFFICIAL_CREDIT,HIGH,https://www.aniplex.co.jp/lineup/AOF2023/,Aniplex official event page credits illustration to 飯塚晴子.,PROPOSED
