row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file,seed_shortlist_source,seed_provisional_verdict,seed_proposed_display_ja,seed_proposed_search_ja,seed_evidence_ref,seed_audit_note,reviewed_unresolved,review_count,last_review_cycle,last_review_reason
I70-004442,boota_(ttgl),Character,738,ブータ,ブータ | ブータ（天元突破グレンラガン）,日本語公式表記を追加確認,character_review_final_batch061.csv,,,,,,,,,,
I70-004447,ashveil_(honkai:_star_rail),Character,737,不死途,不死途 | Ashveil,日本語公式表記を追加確認,character_review_final_batch061.csv,,,,,,,,,,
I70-004449,death_(entity),Character,737,死,死 | Death,抽象キャラクター名の表示を追加確認,character_review_final_batch061.csv,,,,,,,,,,
I70-004456,boudica_(first_ascension)_(fate),Character,736,ブーディカ（第一再臨）,ブーディカ（第一再臨） | ブーディカ,再臨別表記を追加確認,character_review_final_batch061.csv,,,,,,,,,,
I70-004485,pombon,Character,730,ポムケン,ポムケン,新規ポケモン固有名の表記を追加確認,character_review_final_batch061.csv,,,,,,,,,,
I70-004488,uzuki_(cookie),Character,730,UDK姉貴,UDK姉貴 | 宇月幸成,ファン呼称タグのため追加確認,character_review_final_batch061.csv,,,,,,,,,,
I70-004501,jade_(honkai:_star_rail),Character,727,ジェイド,ジェイド,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-004504,aokumo_rin,Character,726,青雲凛,青雲凛,要確認,character_youkakunin_remaining_batch053.csv,,,,,,,,,,
I70-004507,mars_(cookie),Character,726,MZ姉貴,MZ姉貴,要確認,character_youkakunin_remaining_batch053.csv,,,,,,,,,,
I70-004519,phainon_(flame_reaver)_(honkai:_star_rail),Character,724,フレイムスティーラー,フレイムスティーラー,要確認,character_youkakunin_remaining_batch053.csv,,,,,,,,,,
I70-004521,gareth_(fate),Character,723,ガレス,ガレス,,character_accepted_blank_batch057.csv,,,,,,,,,,
I70-004526,player_character_(female)_(degrees_of_lewdity),Character,723,女性主人公（Degrees of Lewdity）,女性主人公（Degrees of Lewdity）,要確認,character_youkakunin_noevidence_batch052.csv,,,,,,,,,,
I70-056057,yamada_koutarou,Artist,191,山田孝太郎,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-056087,higashiyama_shou,Artist,190,東山翔,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-056199,okazaki_takeshi,Artist,189,岡崎武士,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-056230,yumenouchi_chiharu,Artist,189,夢ノ内千春,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-056276,nakamura_kanko,Artist,188,中村カンコ,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-056296,suzunosuke_(sagula),Artist,188,鈴ノ助,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-056325,hagiya_kaoru,Artist,187,萩谷薫,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-056336,kinutani_yutaka,Artist,187,絹谷ゆたか,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-056361,nishigori_atsushi,Artist,187,錦織敦史,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-056418,kaneko_hiraku,Artist,186,金子ひらく,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-056504,hyogonosuke,Artist,185,ヒョーゴノスケ,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-056671,afuro,Artist,183,あｆろ,,semantic re-audit: independently verified official/common Japanese artist credit,artist_initial_audit_batch008.csv,,,,,,,,,,
I70-039372,pixiv_fate/grand_order_contest_1,Copyright,222,FGOイラコン,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039381,sengoku_musou_3,Copyright,221,戦国無双3,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039385,tetsuwan_birdy,Copyright,221,鉄腕バーディー,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-039397,huniepop,Copyright,220,ハニーポップ,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv,,,,,,,,,,
I70-039398,jianxia_qingyuan_online_3,Copyright,220,剑侠情缘网络版三,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039401,shinsougumi,Copyright,220,深層組,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039404,devilman_crybaby,Copyright,219,恶魔人,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039407,idolmaster_side-m_live_on_stage!,Copyright,219,Idolmaster Side-M Live on Stage！,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039437,jinhongi,Copyright,216,鎭魂記,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039456,futakoi,Copyright,214,双恋,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039458,indivisible,Copyright,214,不可分,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
I70-039473,rail_wars!,Copyright,213,鉄道戦争！,,Japanese rendering requires manual verification or source evidence is insufficient,copyright_review_external_batch062.csv,,,,,,,,,,
