cycle_id,lane,manifest_progress_sha256,row_id,canonical_tag,category,post_count,review_status,review_reason,evidence_refs,audit_note
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-004955,yan_qing_(fate),Character,652,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-004962,hinase_(cookie),Character,651,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-004990,conch_(gundam),Character,646,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005021,hubert_von_vestra,Character,642,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005034,king_(aotu_world),Character,640,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005062,kamio_reiji_(yua),Character,636,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-005075,ishtar_(fire_emblem),Character,634,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-061358,fujita_mariko,Artist,141,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-061411,nogami_takeshi,Artist,141,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-061436,takani_yoshiyuki,Artist,141,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-061815,kishi_torajirou,Artist,138,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-061848,oomura_yuusuke,Artist,138,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-062231,iwasaki_masakazu,Artist,135,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-062340,yano_akane,Artist,135,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-062871,kawamura_toshie,Artist,131,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-039920,kemono_friends_kingdom,Copyright,177,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-039943,sweethex,Copyright,176,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-039947,yakin_byoutou,Copyright,176,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
cycle-0005,2,a147818b842e95a4bfc8201071a43e6c498fe5fe434a93f263713f6613c94b5d,I70-039952,bakugan,Copyright,175,REVIEWED_UNRESOLVED,Single-pass evidence check did not establish a sufficiently authoritative Japanese identity/title for HIGH-confidence resolution.,,Deferred after one reasonable pass; no guess made.
