cycle_id,lane,manifest_progress_sha256,row_id,canonical_tag,category,post_count,review_status,review_reason,evidence_refs,audit_note
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005850,kiyohime_(second_ascension)_(fate),Character,539,REVIEWED_UNRESOLVED,first-party evidence pass did not establish the exact official Japanese form at HIGH confidence,,対象形態の公式日本語表記を安全に確定できなかった。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005869,sapphira_nyx,Character,537,REVIEWED_UNRESOLVED,first-party evidence pass did not establish the exact official Japanese form at HIGH confidence,,公式日本語表記を安全に確定できなかった。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-077672,matsuo_hiromi,Artist,75,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,一次根拠不足のため推測しない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-078112,mekimeki,Artist,74,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,一次根拠不足のため推測しない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-079360,hayama_jun'ichi,Artist,71,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,一次根拠不足のため推測しない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-080176,yonezu_kenshi,Artist,70,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,検索結果で本人一次プロフィールを確立できず推測しない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-080385,koyama_shigeto,Artist,69,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,一次根拠不足のため推測しない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-080561,sekiguchi_kanami,Artist,69,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,一次根拠不足のため推測しない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-080665,yoshinari_kou,Artist,69,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,検索結果は二次情報中心でHIGH根拠に不足。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-080945,mori_toshimichi,Artist,68,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,一次根拠不足のため推測しない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-081315,izubuchi_yutaka,Artist,67,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,一次根拠不足のため推測しない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-081583,takahashi_keitarou,Artist,67,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,同名典拠混同の可能性がありHIGHにできない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-082634,ryo_chimo,Artist,65,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,一次根拠不足のため推測しない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-083787,takahashi_kazuki,Artist,63,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,一次プロフィールを確立できず推測しない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-083862,yanase_takayuki,Artist,63,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,一次根拠不足のため推測しない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-084053,hirano_toshihiro,Artist,62,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,出版社情報は確認したが本人一次プロフィールではなくHIGHにしない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-084201,mizuno_eita,Artist,62,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,一次根拠不足のため推測しない。
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-084964,takeda_hinata,Artist,61,REVIEWED_UNRESOLVED,first-party evidence pass did not establish an identity-safe official profile or credit at HIGH confidence,,一次根拠不足のため推測しない。
