cycle_id,lane,manifest_progress_sha256,row_id,canonical_tag,category,post_count,review_status,review_reason,evidence_refs,audit_note
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-047552,tokumi_yuiko,Artist,452,REVIEWED_UNRESOLVED,Previously reviewed; no sufficiently authoritative profile or credit source established,,Prior good-faith review remains unresolved; do not repeat deep search in this bounded pass
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-048498,choborau_nyopomi,Artist,388,REVIEWED_UNRESOLVED,Previously reviewed; no sufficiently authoritative identity source established,,Prior good-faith review remains unresolved; do not repeat deep search in this bounded pass
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-050191,sugina_miki,Artist,311,REVIEWED_UNRESOLVED,Previously reviewed; official profile or primary credit URL not established,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-050545,yamamoto_kazue,Artist,300,REVIEWED_UNRESOLVED,Previously reviewed; primary credit URL not established,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-050694,nanase_aoi,Artist,295,REVIEWED_UNRESOLVED,Previously reviewed; primary credit URL not established,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-050715,chikotam,Artist,294,REVIEWED_UNRESOLVED,Previously reviewed; primary credit URL not established,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-050744,taka-michi,Artist,294,REVIEWED_UNRESOLVED,Previously reviewed; identity-safe primary credit insufficient to exclude namesakes,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-050763,komatsuzaki_rui,Artist,293,REVIEWED_UNRESOLVED,Previously reviewed; primary credit URL not established,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-050860,nana_kagura,Artist,290,REVIEWED_UNRESOLVED,Previously reviewed; illustrator-name versus VTuber-name normalization boundary not established by primary evidence,,Prior review retained; no speculative normalization
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-051159,kawarajima_kou,Artist,281,REVIEWED_UNRESOLVED,Previously reviewed; primary credit URL not established,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-051168,monokubo,Artist,281,REVIEWED_UNRESOLVED,Previously reviewed; primary credit URL not established,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-051267,ponkan_8,Artist,279,REVIEWED_UNRESOLVED,Previously reviewed; official spelling and search alias not established by primary evidence,,Prior review retained; no speculative alias normalization
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-051764,nyoijizai,Artist,265,REVIEWED_UNRESOLVED,Previously reviewed; primary credit URL not established,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-052320,dowman_sayman,Artist,252,REVIEWED_UNRESOLVED,Previously reviewed; identity-safe official profile or publisher credit not established,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-053016,nekobayashi,Artist,238,REVIEWED_UNRESOLVED,Previously reviewed; official identity-safe profile or credit not established,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-053157,fujieda_miyabi,Artist,235,REVIEWED_UNRESOLVED,Previously reviewed; authoritative identity evidence not established,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-053167,matsuo_yuusuke,Artist,235,REVIEWED_UNRESOLVED,Previously reviewed; first-party identity-safe evidence threshold not met,,Prior review retained; secondary material alone not promoted to HIGH confidence
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-053233,suzuragi_karin,Artist,234,REVIEWED_UNRESOLVED,Previously reviewed; official profile or credit not established,,Prior review retained; identity reading not guessed
cycle-0006,3,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-053246,annindoufu_(oicon),Artist,233,REVIEWED_UNRESOLVED,Previously reviewed; identity-safe first-party evidence threshold not met,,Prior review retained; published work alone not used to infer identity details
