row_id,canonical_tag,category,display_ja,search_ja,translation_status,translation_note
I70-000001,hatsune_miku,4,初音ミク,初音ミク | ミク,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000002,hakurei_reimu,4,博麗霊夢,博麗霊夢,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000003,kirisame_marisa,4,霧雨魔理沙,霧雨魔理沙,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000004,flandre_scarlet,4,フランドール・スカーレット,フランドール・スカーレット | フラン | フランドール,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000005,remilia_scarlet,4,レミリア・スカーレット,レミリア・スカーレット | レミリア,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000006,izayoi_sakuya,4,十六夜咲夜,十六夜咲夜,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000007,artoria_pendragon_(fate),4,アルトリア・ペンドラゴン,アルトリア・ペンドラゴン | アルトリア,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000008,komeiji_koishi,4,古明地こいし,古明地こいし | こいし,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000009,kochiya_sanae,4,東風谷早苗,東風谷早苗,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000010,konpaku_youmu,4,魂魄妖夢,魂魄妖夢,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000011,cirno,4,チルノ,チルノ,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000012,alice_margatroid,4,アリス・マーガトロイド,アリス・マーガトロイド,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000013,admiral_(kancolle),4,提督（艦隊これくしょん）,提督（艦隊これくしょん） | 提督(艦隊これくしょん) | 提督,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000014,sensei_(blue_archive),4,先生（ブルーアーカイブ）,先生（ブルーアーカイブ） | 先生(ゲマトリア) | 先生(ブルーアーカイブ) | 先生,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000015,patchouli_knowledge,4,パチュリー・ノーレッジ,パチュリー・ノーレッジ | パチュリー,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000016,yakumo_yukari,4,八雲紫,八雲紫,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000017,shameimaru_aya,4,射命丸文,射命丸文,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000018,reisen_udongein_inaba,4,鈴仙・優曇華院・イナバ,鈴仙・優曇華院・イナバ,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000019,komeiji_satori,4,古明地さとり,古明地さとり | さとり,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000020,fujiwara_no_mokou,4,藤原妹紅,藤原妹紅,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000021,akemi_homura,4,暁美ほむら,暁美ほむら,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000022,kaname_madoka,4,鹿目まどか,鹿目まどか,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000023,hong_meiling,4,紅美鈴,紅美鈴,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000024,saigyouji_yuyuko,4,西行寺幽々子,西行寺幽々子,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000025,scaramouche_(genshin_impact),4,スカラマシュ,スカラマシュ | 散兵,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000026,kagamine_rin,4,鏡音リン,鏡音リン,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000027,inubashiri_momiji,4,犬走椛,犬走椛,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000028,konpaku_youmu_(ghost),4,半霊（魂魄妖夢）,半霊（魂魄妖夢） | 半霊,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000029,yakumo_ran,4,八雲藍,八雲藍,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000030,kaenbyou_rin,4,火焔猫燐,火焔猫燐,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000031,kaga_(kancolle),4,加賀（艦これ）,加賀（艦これ） | い加賀わしい | 加賀(艦これ) | 加賀(艦隊これくしょん) | 加賀,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000032,warrior_of_light_(ff14),4,光の戦士（FF14）,光の戦士（FF14） | 光の戦士(FF14) | 光の戦士,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000033,rumia,4,ルーミア,ルーミア,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000034,doodle_sensei_(blue_archive),4,アロナの似顔絵,アロナの似顔絵,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000035,raiden_shogun,4,雷電将軍,雷電将軍,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000036,lumine_(genshin_impact),4,蛍（原神）,蛍（原神）,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000037,moriya_suwako,4,洩矢諏訪子,洩矢諏訪子,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000038,saber_(fate),4,アルトリア・ペンドラゴン,アルトリア・ペンドラゴン | アルトリア | アルトリア・ペンドラゴン(水着) | セイバー,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000039,trailblazer_(honkai:_star_rail),4,開拓者（崩壊：スターレイル）,開拓者（崩壊：スターレイル） | 開拓者(スターレイル) | 開拓者,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000040,mash_kyrielight,4,マシュ・キリエライト,マシュ・キリエライト | マシュ,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000041,link,4,リンク（ゼルダの伝説）,リンク（ゼルダの伝説） | リンク | リンク(ゼルダの伝説) | リンク(ブレスオブザワイルド),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000042,shimakaze_(kancolle),4,島風（艦これ）,島風（艦これ） | 島風(艦これ) | 島風(艦隊これくしょん) | 島風,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000043,reiuji_utsuho,4,霊烏路空,霊烏路空,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000044,chen,4,橙,橙,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000045,kazami_yuuka,4,風見幽香,風見幽香,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000046,ganyu_(genshin_impact),4,甘雨（原神）,甘雨（原神） | 甘雨,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000047,miki_sayaka,4,美樹さやか,美樹さやか,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000048,hina_(blue_archive),4,空崎ヒナ,空崎ヒナ | ヒナ,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000049,fujimaru_ritsuka_(male),4,藤丸立香（男性）,藤丸立香（男性） | ぐだ男 | 藤丸立香,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000050,yuuka_(blue_archive),4,早瀬ユウカ,早瀬ユウカ | ユウカ | ユウカ(ブルアカ) | ユウカ(ブルーアーカイブ),ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000051,tatara_kogasa,4,多々良小傘,多々良小傘,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000052,kawashiro_nitori,4,河城にとり,河城にとり,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000053,asuna_(blue_archive),4,一之瀬アスナ,一之瀬アスナ | アスナ | アスナ(ブルアカ),ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000054,hibiki_(kancolle),4,響（艦これ）,響（艦これ） | 響(艦これ) | 響(艦隊これくしょん),ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000055,kasane_teto,4,重音テト,重音テト,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-000056,gotoh_hitori,4,後藤ひとり,後藤ひとり,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000057,houraisan_kaguya,4,蓬莱山輝夜,蓬莱山輝夜,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
I70-000058,houshou_marine,4,宝鐘マリン,宝鐘マリン,ACCEPTED_AI,AI監修：既存候補・Alias・作品関係を確認し表示名を確定
