row_id,canonical_tag,category,display_ja,search_ja,translation_status,translation_note
I70-002501,chihiro_(blue_archive),4,各務チヒロ,各務チヒロ | チヒロ,ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002502,indou_hikaru,4,ヒカル,ヒカル | インドウヒカル,REVIEW_REQUIRED,既存候補は確認できるが漢字表記の確証が不足するため要確認
I70-002503,tingyun_(honkai:_star_rail),4,停雲,停雲 | テイウン,ACCEPTED_AI,AI監修：日本語で定着したキャラクター名を採用
I70-002504,neo_universe_(umamusume),4,ネオユニヴァース,ネオユニヴァース | ネオユニヴァース(ウマ娘),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002505,durandal_(honkai_impact),4,デュランダル,デュランダル | ビアンカ・デュランダル・アタジナ,ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002506,fami_(chainsaw_man),4,キガ,キガ | キガちゃん | 飢餓の悪魔,ACCEPTED_AI,AI監修：作品内の日本語呼称を優先して採用
I70-002507,imai_lisa,4,今井リサ,今井リサ,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002508,asuka_(senran_kagura),4,飛鳥,飛鳥 | 飛鳥(閃乱カグラ),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002509,kneesocks_(psg),4,ニーソックス,ニーソックス | ニーソックス(パンティ&ストッキングwithガーターベルト),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002510,necrass_(arknights),4,エブラナ,エブラナ | エブラナ(アークナイツ),ACCEPTED_AI,AI監修：verified Alias と作品関係を確認して日本語名を採用
I70-002511,orphie_magnusson,4,オルペウス・マグヌッソン,オルペウス・マグヌッソン | オルフィー・マグヌッソン,REVIEW_REQUIRED,Alias と既存候補に表記差の余地があるため公式日本語表記の再確認が必要
I70-002512,thoma_(genshin_impact),4,トーマ,トーマ | トーマ(原神),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002513,layla_(genshin_impact),4,レイラ,レイラ | レイラ(原神),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002514,maya_kai_ni_(kancolle),4,摩耶改二,摩耶改二,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002515,kiriya_aoi,4,霧矢あおい,霧矢あおい,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002516,saki_(swimsuit)_(blue_archive),4,空井サキ（水着）,空井サキ（水着） | サキ(水着),ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002517,mewtwo,4,ミュウツー,ミュウツー,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002518,koseki_bijou_(1st_costume),4,古石ビジュー（通常）,古石ビジュー（通常） | 古石ビジュー,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002519,sephiroth_(ever_crisis),4,セフィロス（エバークライシス）,セフィロス（エバークライシス） | 若きセフィロス | セフィロス,REVIEW_REQUIRED,verified Alias は young Sephiroth だが日本語の形態ラベル表記を再確認する必要がある
I70-002520,hado_nejire,4,波動ねじれ,波動ねじれ | ねじれちゃん,ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002521,ib_(ib),4,イヴ,イヴ | イヴ(Ib),ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002522,nemoto_hina,4,根元陽菜,根元陽菜 | ネモ,ACCEPTED_AI,AI監修：既存候補と作品関係を確認しキャラクター本名を採用
I70-002523,senji_muramasa_(fate),4,千子村正,千子村正 | 千子村正(Fate),ACCEPTED_AI,AI監修：verified Alias・既存候補・作品関係を確認して採用
I70-002524,roxas,4,ロクサス,ロクサス,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002525,intrepid_(kancolle),4,イントレピッド,イントレピッド | イントレピッド(艦これ) | イントレピッド(艦隊これくしょん),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002526,kino_(kino_no_tabi),4,キノ,キノ | 旅人さん,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002527,ookami_mio_(hoodie),4,大神ミオ（パーカー衣装）,大神ミオ（パーカー衣装） | 大神ミオ,ACCEPTED_AI,AI監修：Alias・既存候補・作品関係を確認して採用
I70-002528,specter_the_unchained_(arknights),4,帰溟スペクター,帰溟スペクター | 帰溟スペクター(アークナイツ),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002529,king_dedede,4,デデデ大王,デデデ大王,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002530,hung_(arknights),4,ウン,ウン | ウン(アークナイツ),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002531,yuna_(ff10),4,ユウナ,ユウナ | ユウナ(FF10),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002532,dorothy_(nikke),4,ドロシー,ドロシー | ドロシー(勝利の女神:NIKKE),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002533,himejima_akeno,4,姫島朱乃,姫島朱乃,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002534,hinomori_shizuku,4,日野森雫,日野森雫 | しずく,ACCEPTED_AI,AI監修：既存候補と作品関係を確認しキャラクター本名を採用
I70-002535,kirino_(blue_archive),4,中務キリノ,中務キリノ | キリノ,ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002536,astolfo_(sailor_paladin)_(fate),4,正義のセーラー服ナイト,正義のセーラー服ナイト | セーラー服ナイト | アストルフォ,REVIEW_REQUIRED,形態タグの日本語正式表記を再確認する必要がある
I70-002537,medjed_(fate),4,メジェド,メジェド,ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002538,kozakura_marry,4,小桜茉莉,小桜茉莉 | マリー | マリー(カゲロウプロジェクト),ACCEPTED_AI,AI監修：verified Alias・既存候補・作品関係を確認して採用
I70-002539,greninja,4,ゲッコウガ,ゲッコウガ,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002540,arato_nagi,4,荒砥凪,荒砥凪,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002541,yangyang_(wuthering_waves),4,ヤンヤン,ヤンヤン | 秧秧,ACCEPTED_AI,AI監修：作品の日本語名を優先して採用
I70-002542,yuuki_mikan,4,結城美柑,結城美柑,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002543,chabashira_tenko,4,茶柱転子,茶柱転子,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002544,kei_(aris)_(blue_archive),4,ケイ（アリス）,ケイ（アリス） | ケイ | アリス,ACCEPTED_AI,AI監修：作品内の日本語呼称と識別子を反映して採用
I70-002545,honma_meiko,4,本間芽衣子,本間芽衣子 | めんま,ACCEPTED_AI,AI監修：既存候補と作品関係を確認し本名を採用
I70-002546,jessica_(arknights),4,ジェシカ,ジェシカ | ジェシカ(アークナイツ),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002547,milotic,4,ミロカロス,ミロカロス,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002548,france_(hetalia),4,フランシス・ボヌフォワ,フランシス・ボヌフォワ | フランス,ACCEPTED_AI,AI監修：verified Alias・既存日本語候補・作品関係を確認して採用
I70-002549,minamoto_sakura,4,源さくら,源さくら,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002550,phainon_(khaslana)_(honkai:_star_rail),4,ファイノン（カスラナ）,ファイノン（カスラナ） | ファイノン,REVIEW_REQUIRED,最新ストーリー由来の形態・系譜ラベルの公式日本語表記を再確認する必要がある
I70-002551,gastly,4,ゴース,ゴース,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002552,goh_(pokemon),4,ゴウ,ゴウ | ゴウ(アニポケ) | ゴウ(トレーナー),ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002553,saniwa_(touken_ranbu),4,審神者,審神者 | 審神者(刀剣乱舞),ACCEPTED_AI,AI監修：既存候補・作品関係から公式用語を採用
I70-002554,diego_brando,4,ディエゴ・ブランドー,ディエゴ・ブランドー | ディエゴブランドー,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002555,nekomata_okayu_(oversized_shirt),4,猫又おかゆ（彼シャツ衣装）,猫又おかゆ（彼シャツ衣装） | 猫又おかゆ(彼シャツ),ACCEPTED_AI,AI監修：Alias・既存候補・作品関係を確認して採用
I70-002556,kama_(adult)_(fate),4,カーマ（成人）,カーマ（成人） | カーマ（第三再臨） | カーマ,REVIEW_REQUIRED,第三再臨・成人形態の日本語ラベル表記を再確認する必要がある
I70-002557,knuckles_the_echidna,4,ナックルズ・ザ・エキドゥナ,ナックルズ・ザ・エキドゥナ | ナックルズ,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002558,kobo_kanaeru,4,こぼ・かなえる,こぼ・かなえる | Kobo Kanaeru,ACCEPTED_AI,AI監修：既存日本語候補・所属関係を確認して採用
I70-002559,seth_lowell,4,セス・ローウェル,セス・ローウェル,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002560,asahina_mirai,4,朝日奈みらい,朝日奈みらい,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002561,sakura_(fire_emblem),4,サクラ,サクラ | サクラ(FEif),ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002562,shikanoin_heizou,4,鹿野院平蔵,鹿野院平蔵 | しかのいんへいぞう,ACCEPTED_AI,AI監修：既存候補と作品関係を確認して採用
I70-002563,izayoi_aki,4,十六夜アキ,十六夜アキ,ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002564,kawashima_momo,4,河嶋桃,河嶋桃 | 桃ちゃん,ACCEPTED_AI,AI監修：既存候補と作品関係を確認し本名を採用
I70-002565,fudo_yusei,4,不動遊星,不動遊星,ACCEPTED_AI,AI監修：verified Alias・既存候補・作品関係を確認して採用
I70-002566,neuro-sama_(1st_costume),4,Neuro-sama（初期衣装）,Neuro-sama（初期衣装） | Neuro-sama,REVIEW_REQUIRED,日本語での衣装ラベルに確立した表記が確認できないため要確認
I70-002567,luna_platz_(mega_man),4,白金ルナ,白金ルナ,ACCEPTED_AI,AI監修：verified Alias・既存日本語候補・作品関係を確認して採用
I70-002568,seed_(zenless_zone_zero),4,シード,シード | シード(ゼンゼロ),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002569,doujima_nanako,4,堂島菜々子,堂島菜々子,ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002570,hoshimachi_suisei_(sailor),4,星街すいせい（セーラー衣装）,星街すいせい（セーラー衣装） | 星街すいせい,ACCEPTED_AI,AI監修：Alias・既存候補・所属関係を確認して採用
I70-002571,shidare_hotaru,4,枝垂ほたる,枝垂ほたる,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002572,jaguar_(kemono_friends),4,ジャガー,ジャガー | ジャガー(けものフレンズ),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002573,transcend_(umamusume),4,トランセンド,トランセンド | トランセンド(ウマ娘),ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002574,len_(tsukihime),4,レン,レン | 黒レン,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002575,female_chief_(path_to_nowhere),4,女局長,女局長 | 局長,REVIEW_REQUIRED,性別付き主人公呼称の公式日本語表記を再確認する必要がある
I70-002576,35p_(sakura_miko),4,35P（みこぴー）,35P | みこぴー,REVIEW_REQUIRED,ファン呼称・キャラクター化表現の表示名としてどの表記を採るか要確認
I70-002577,hunter_(bloodborne),4,ハンター（Bloodborne）,ハンター（Bloodborne） | ハンター（ブラッドボーン）,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002578,chitose_(kancolle),4,千歳,千歳 | 千歳(艦これ) | 千歳(艦隊これくしょん),ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002579,kaede_(blue_archive),4,勇美カエデ,勇美カエデ | カエデ(ブルーアーカイブ),ACCEPTED_AI,AI監修：verified Alias・既存日本語候補・作品関係を確認して採用
I70-002580,mia_taylor,4,ミア・テイラー,ミア・テイラー | ミアテイラー,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002581,timoris_(bang_dream!),4,ティモリス,ティモリス,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002582,hozuki_kaede,4,穂月かえで,穂月かえで,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002583,shiina_mayuri,4,椎名まゆり,椎名まゆり | まゆしぃ,ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002584,venusaur,4,フシギバナ,フシギバナ,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002585,hagakure_toru,4,葉隠透,葉隠透,ACCEPTED_AI,AI監修：verified Alias・既存日本語候補・作品関係を確認して採用
I70-002586,serika_(swimsuit)_(blue_archive),4,黒見セリカ（水着）,黒見セリカ（水着） | セリカ(水着),ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002587,hatsushimo_(kancolle),4,初霜,初霜 | 初霜(艦これ) | 初霜(艦隊これくしょん),ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002588,hayasui_(kancolle),4,速吸,速吸 | 速吸(艦これ) | 速吸(艦隊これくしょん),ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002589,isshiki_iroha,4,一色いろは,一色いろは | いろはす,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002590,kurumi_(blue_archive),4,高倉クルミ,高倉クルミ | クルミ | クルミ(ブルーアーカイブ),ACCEPTED_AI,AI監修：既存候補と作品関係を確認しフルネームを採用
I70-002591,zhong_lanzhu,4,ショウ・ランジュ,ショウ・ランジュ | 鐘嵐珠,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002592,china_(hetalia),4,中国（ヘタリア）,中国（ヘタリア） | 王耀 | ワン・ヤオ,ACCEPTED_AI,AI監修：canonical のキャラクター呼称を優先し Alias を検索語に保持
I70-002593,fumizuki_(kancolle),4,文月,文月 | 文月(艦これ) | 文月(艦隊これくしょん),ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002594,kasuga_mirai,4,春日未来,春日未来,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002595,murosaki_miyo,4,室崎みよ,室崎みよ,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002596,nowaki_(kancolle),4,野分,野分 | 野分(艦これ) | 野分(艦隊これくしょん),ACCEPTED_AI,AI監修：Alias・既存日本語候補・作品関係を確認して採用
I70-002597,quaxly,4,クワッス,クワッス,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002598,alina_gray,4,アリナ・グレイ,アリナ・グレイ | アリナグレイ,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002599,emmet_(pokemon),4,クダリ,クダリ | サブウェイマスター | サブマス,ACCEPTED_AI,AI監修：verified Alias・既存日本語候補・作品関係を確認して採用
I70-002600,larcei_(fire_emblem),4,ラクチェ,ラクチェ,ACCEPTED_AI,AI監修：verified Alias・既存日本語候補・作品関係を確認して採用
I70-002601,lupa_(wuthering_waves),4,ルパ,ルパ,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002602,frankenstein's_monster_(fate),4,フランケンシュタイン,フランケンシュタイン | フラン | 黒のバーサーカー,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
I70-002603,mochizuki_anna,4,望月杏奈,望月杏奈,ACCEPTED_AI,AI監修：既存日本語候補・作品関係を確認して採用
