row_id,canonical_tag,category,display_ja,search_ja,translation_status,translation_note
I70-057501,mecha_neruko,1,mecha neruko,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057502,mentaiko_mamire,1,mentaiko mamire,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057503,midorino_eni,1,midorino eni,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057504,mikosake,1,mikosake,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057505,mirai_denki,1,mirai denki,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057506,mitsuki_tsumi,1,mitsuki tsumi,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057507,miyazakisoul,1,miyazakisoul,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057508,mming_(mmingis18),1,mming (mmingis18),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057509,mmmckayyy,1,mmmckayyy,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057510,mochitaro_(mothitaroo),1,mochitaro (mothitaroo),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057511,motizou,1,motizou,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057512,motusii,1,motusii,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057513,naaga_sonomono,1,naaga sonomono,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057514,natsu_(rodysanp),1,natsu (rodysanp),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057515,natsushi,1,natsushi,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057516,nishi_(count2.4),1,nishi (count2.4),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057517,nixiaozi,1,nixiaozi,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057518,onion_(lemlaml),1,onion (lemlaml),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057519,osu_(osumankokuou),1,osu (osumankokuou),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057520,othel_(hatimorris),1,othel (hatimorris),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057521,ototsu_kei,1,ototsu kei,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057522,piku184,1,piku184,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057523,pokesudal,1,pokesudal,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057524,puzenketsu,1,puzenketsu,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057525,pyonpyonmaru,1,pyonpyonmaru,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057526,r1,1,r1,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057527,retsuto,1,retsuto,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057528,rhtkd,1,rhtkd,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057529,rikui_(rella2930),1,rikui (rella2930),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057530,rituyama1,1,rituyama1,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057531,saki_(saki_paint),1,saki (saki paint),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057532,samlatte,1,samlatte,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057533,samuimu,1,samuimu,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057534,setta_shu,1,setta shu,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057535,shirogane_hakuba,1,shirogane hakuba,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057536,shironekokfp,1,shironekokfp,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057537,shirosu,1,shirosu,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057538,shizukushigure,1,shizukushigure,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057539,sofo_soup,1,sofo soup,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057540,soku_(bluerule-graypray),1,soku (bluerule-graypray),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057541,suzuno_naru,1,suzuno naru,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057542,takanaru,1,takanaru,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057543,tanba_(tanba-art),1,tanba (tanba-art),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057544,tapisuke,1,tapisuke,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057545,tm_(hanamakisan),1,tm (hanamakisan),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057546,t-ray,1,t-ray,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057547,trista_(makkoivenus),1,trista (makkoivenus),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057548,tsumitani_daisuke,1,tsumitani daisuke,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057549,tuskryo,1,tuskryo,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057550,uzu_(uzusio55),1,uzu (uzusio55),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057551,valueless0000,1,valueless0000,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057552,waon_(43ctw),1,waon (43ctw),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057553,wenquangua,1,wenquangua,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057554,wuwusan,1,wuwusan,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057555,yequo_(trample_rigger),1,yequo (trample rigger),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057556,yukiyanagi,1,yukiyanagi,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057557,yutoriko_(candy0905),1,yutoriko (candy0905),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057558,yuuki_hb,1,yuuki hb,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057559,yuuki_nobuteru,1,結城信輝,,ACCEPTED_AI,semantic artist audit: independently verified Japanese name
I70-057560,yuunagi_(seventh_heaven),1,yuunagi (seventh heaven),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057561,zy_(zyyyyyyy9),1,zy (zyyyyyyy9),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057562,2gong_(9ujin_),1,2gong (9ujin ),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057563,8kumagawa_(log),1,8kumagawa (log),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057564,aayh,1,aayh,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057565,aer_(tengqiu),1,aer (tengqiu),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057566,amaama_(beccyonaika1),1,amaama (beccyonaika1),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057567,amakusa_tobari,1,amakusa tobari,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057568,amano_tatsu,1,amano tatsu,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057569,arisa_(aren),1,arisa (aren),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057570,a-sui,1,a-sui,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057571,benevole,1,benevole,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057572,boleum_(dgrpluna),1,boleum (dgrpluna),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057573,calamari_cakes,1,calamari cakes,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057574,chirun0,1,chirun0,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057575,daku_k,1,daku k,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057576,dampi,1,dampi,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057577,daylightallure,1,daylightallure,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057578,desert_(deserteagle0321),1,desert (deserteagle0321),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057579,dojirou,1,dojirou,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057580,dongsheng,1,dongsheng,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057581,dreaming_oor,1,dreaming oor,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057582,e69465,1,e69465,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057583,fukunoki_tokuwa,1,fukunoki tokuwa,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057584,gesupi_(provlemsolver57),1,gesupi (provlemsolver57),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057585,ginzake_(mizuumi),1,ginzake (mizuumi),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057586,guagua977,1,guagua977,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057587,hagimorijia,1,hagimorijia,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057588,hakou_(barasensou),1,hakou (barasensou),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057589,hermityy,1,hermityy,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057590,ikezaki_misa,1,ikezaki misa,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057591,inari1369,1,inari1369,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057592,inuyayo,1,inuyayo,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057593,jonya,1,jonya,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057594,k_katora,1,k katora,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057595,kamehito,1,kamehito,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057596,karasu_(jjwh2832),1,karasu (jjwh2832),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057597,kazami_chiu,1,kazami chiu,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057598,kazenemuri,1,kazenemuri,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057599,kirihara_you,1,kirihara you,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057600,kkkaaaayyy,1,kkkaaaayyy,,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
I70-057601,koin_(foxmark),1,koin (foxmark),,ACCEPTED_AI,semantic artist audit: canonical handle preserved; no independently verified Japanese name
