"row_id","canonical_tag","category","category_name","post_count","source_aliases","verified_aliases","existing_display_ja","existing_search_ja","existing_candidate_ja","existing_rejected_ja","related_copyright_candidates","display_ja","search_ja","translation_status","translation_note"
"I70-085501","rui_li","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085502","rukito","1","Artist","60","","","","","ルキト","","","","","PENDING",""
"I70-085503","runa_(user_guwn7382)","1","Artist","60","","","","","runa（ユーザーguwn7382）","","","","","PENDING",""
"I70-085504","runep","1","Artist","60","","","","","runep","","","","","PENDING",""
"I70-085505","runrui_kaku","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085506","ruruka_003","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085507","ryn_(rinorea)","1","Artist","60","rino_rea","rino rea","","","Ryn（Rinorea）","","","","","PENDING",""
"I70-085508","ryura_(negi-mamire)","1","Artist","60","negi-mamire","negi-mamire","","","","","","","","PENDING",""
"I70-085509","s.w","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085510","sa07_drawing","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085511","saba_chimera","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085512","saeda8e","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085513","saitaniya_ryouichi","1","Artist","60","","","","","Saitaniya ryouichi","","","","","PENDING",""
"I70-085514","saitogiulio","1","Artist","60","","","","","Saitogiulio","","","","","PENDING",""
"I70-085515","sajipen","1","Artist","60","","","","","sajipen","","","","","PENDING",""
"I70-085516","sakumamitsuro","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085517","sakura_honoka_(srhk0623)","1","Artist","60","","","","","さくらホノカ（srhk0623）","","","","","PENDING",""
"I70-085518","sakuramochi_n","1","Artist","60","","","","","さくらn","","","","","PENDING",""
"I70-085519","sam_ashton","1","Artist","60","","","","","サム・アシュトン","","","","","PENDING",""
"I70-085520","samako","1","Artist","60","","","","","サマコ","","","","","PENDING",""
"I70-085521","samuperior","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085522","sanada_taketo","1","Artist","60","","","","","サナダ・タケト","","","","","PENDING",""
"I70-085523","sanasanayukikuni","1","Artist","60","nanairo_madani","nanairo madani","","","Sanasanayukikuni","","","","","PENDING",""
"I70-085524","sanii","1","Artist","60","","","","","sanii","","","","","PENDING",""
"I70-085525","sanlao1207","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085526","santos","1","Artist","60","","","","","サントス","","","","","PENDING",""
"I70-085527","sarachi_(sara_dayluv)","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085528","sashimi_(o_3_4_3)","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085529","satou_odori","1","Artist","60","sato_odori","sato odori","","","サトゥオドリ","","","","","PENDING",""
"I70-085530","sayu_(mio-mosa)","1","Artist","60","","","","","Sayu（Mio-Mosa）","","","","","PENDING",""
"I70-085531","schinfaxi1996","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085532","sculp2","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085533","senju_(uroakono)","1","Artist","60","","","","","センジュ（uroakono）","","","","","PENDING",""
"I70-085534","senpuki","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085535","seraphina","1","Artist","60","","","","","セラフィナ","","","","","PENDING",""
"I70-085536","setouchi_kurage","1","Artist","60","","","","","Setouchi Kurage","","","","","PENDING",""
"I70-085537","shako_(syakoba3)","1","Artist","60","","","","","シャコ（syakoba3）","","","","","PENDING",""
"I70-085538","shi_ling_fangcheng","1","Artist","60","ansauce","ansauce","","","","","","","","PENDING",""
"I70-085539","shigumo_(shigeru)","1","Artist","60","","","","","横umo（shigeru）","","","","","PENDING",""
"I70-085540","shiki_takuto","1","Artist","60","onokoro401","onokoro401","","","望","","","","","PENDING",""
"I70-085541","shimamura_hidekazu","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085542","shimaya","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085543","shimizu_naotaka","1","Artist","60","","","","","清utaka","","","","","PENDING",""
"I70-085544","shindoi_akio","1","Artist","60","daken-chan","daken-chan","","","シンドイアキオ","","","","","PENDING",""
"I70-085545","shionji_ax","1","Artist","60","","","","","シオジx","","","","","PENDING",""
"I70-085546","shirakawafel","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085547","shirasawa_kazane","1","Artist","60","","","","","白崎カザネ","","","","","PENDING",""
"I70-085548","shiratos_nas","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085549","shiro_(branch0126)","1","Artist","60","whitetiger_0126","whitetiger 0126","","","","","","","","PENDING",""
"I70-085550","shishiruto","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085551","shiu_(pika)","1","Artist","60","shiuka","shiuka","","","shiu（pika）","","","","","PENDING",""
"I70-085552","shizhong_wu_di_fushang","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085553","shou_rou","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085554","shuang_ye","1","Artist","60","","","","","shuang ye","","","","","PENDING",""
"I70-085555","sin_090","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085556","sinba_(ying-hua)","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085557","sing152","1","Artist","60","","","","","Sing152","","","","","PENDING",""
"I70-085558","sisoha","1","Artist","60","","","","","シソハ","","","","","PENDING",""
"I70-085559","sky_kirsche","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085560","snowflyer","1","Artist","60","","","","","スノーフライヤー","","","","","PENDING",""
"I70-085561","solleen","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085562","sora01o","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085563","sosuke_(yrmon)","1","Artist","60","","","","","sosuke（yrmon）","","","","","PENDING",""
"I70-085564","sowon_(sowonhae)","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085565","sparrow4193941","1","Artist","60","user_tauz3853","user tauz3853","","","","","","","","PENDING",""
"I70-085566","spiritdraws","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085567","spyg","1","Artist","60","user_gatj5375","user gatj5375","","","","","","","","PENDING",""
"I70-085568","squemezzo","1","Artist","60","","","","","squemezzo","","","","","PENDING",""
"I70-085569","steemyart","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085570","strigidae","1","Artist","60","strigidae10","strigidae10","","","strigidae","","","","","PENDING",""
"I70-085571","studioqube","1","Artist","60","","","","","Studioque","","","","","PENDING",""
"I70-085572","sugarcanedove","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085573","suigi","1","Artist","60","","","","","suigi","","","","","PENDING",""
"I70-085574","suimei_(ramebi3)","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085575","sumi_noth","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085576","sunano_reona","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085577","survival_yaiba","1","Artist","60","","","","","サバイバルヤイバ","","","","","PENDING",""
"I70-085578","suya000","1","Artist","60","","","","","suya000","","","","","PENDING",""
"I70-085579","suzuki_rui","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085580","suzuneko-rin","1","Artist","60","","","","","スズネコリン","","","","","PENDING",""
"I70-085581","taka_yanagi","1","Artist","60","","","","","ヤナギタカ","","","","","PENDING",""
"I70-085582","takashi_(onikukku)","1","Artist","60","","","","","高橋（onikukku）","","","","","PENDING",""
"I70-085583","takatou_rui","1","Artist","60","","","","","Takatou rui","","","","","PENDING",""
"I70-085584","takealook","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085585","taki_(nakochan)","1","Artist","60","","","","","タキ（ナコチャン）","","","","","PENDING",""
"I70-085586","taku57","1","Artist","60","","","","","Taku57","","","","","PENDING",""
"I70-085587","takundraws","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085588","tamanosuke","1","Artist","60","","","","","田中","","","","","PENDING",""
"I70-085589","tamatamariso85","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085590","tami_yagi","1","Artist","60","tami_makura","tami makura","","","タミヤギ","","","","","PENDING",""
"I70-085591","tamiko_(paseri)","1","Artist","60","","","","","タミコ（パセリ）","","","","","PENDING",""
"I70-085592","tanjel","1","Artist","60","","","","","タンジェル","","","","","PENDING",""
"I70-085593","tatsuno_(saya-tatsuno)","1","Artist","60","","","","","タツノ（サヤトツノ）","","","","","PENDING",""
"I70-085594","taue_shunsuke","1","Artist","60","","","","","タウエ・シュンジュケ","","","","","PENDING",""
"I70-085595","tazbun","1","Artist","60","","","","","タズブン","","","","","PENDING",""
"I70-085596","tecchen","1","Artist","60","","","","","Tecchen","","","","","PENDING",""
"I70-085597","ten-goku","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085598","tete_tuyuten","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085599","tezurumozuru","1","Artist","60","","","","","Tezurumozuru","","","","","PENDING",""
"I70-085600","thecooleralexico","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085601","tiger_drop","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085602","tnonizyou","1","Artist","60","","","","","tnonizyou","","","","","PENDING",""
"I70-085603","tochiko_(spi)","1","Artist","60","","","","","","","","","","PENDING",""
"I70-085604","tomako_(tatihitoe)","1","Artist","60","","","","","Tomako（Tatihitoe）","","","","","PENDING",""
"I70-085605","tomatoman01c","1","Artist","60","","","","","tomatoman01c","","","","","PENDING",""
