row_id,canonical_tag,category,category_name,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top3
I70-071601,mochini,1,Artist,gabei_swqazx,gabei swqazx,,,,,[]
I70-071602,mochoeru,1,Artist,,,,,Mochoeru,,[]
I70-071603,moderate_gold,1,Artist,,,,,,,[]
I70-071604,moegi_nenene,1,Artist,,,,,モーギ・ネネネ,,[]
I70-071605,mokoyamo,1,Artist,gamoweh,gamoweh,,,,,[]
I70-071606,mokyumokyuchan,1,Artist,,,,,Mokyumokyuchan,,[]
I70-071607,monmonhomon,1,Artist,,,,,モンモンホモン,,[]
I70-071608,monokuro_(sekahate),1,Artist,,,,,モノクロ（セカハート）,,[]
I70-071609,myuutau_tadakichi,1,Artist,,,,,myuutau tadakichi,,[]
I70-071610,nagi_aoi,1,Artist,ayakura_maki,ayakura maki,,,ナギアオイ,,[]
I70-071611,najo,1,Artist,,,,,ナジョ,,[]
I70-071612,naku_(naku999ziye),1,Artist,,,,,,,[]
I70-071613,namacha,1,Artist,,,,,ナマチャ,,[]
I70-071614,namazuoku,1,Artist,"weibo_2267448622,namazuouko",namazuouko | weibo 2267448622,,,,,[]
I70-071615,nanachise7,1,Artist,,,,,nanachise7,,[]
I70-071616,naruse_nagi,1,Artist,narunaru1320,narunaru1320,,,ナルス・ナギ,,[]
I70-071617,nattocurryumeee,1,Artist,,,,,,,[]
I70-071618,naui_kudan,1,Artist,nantoooo,nantoooo,,,ナウイ・クダン,,[]
I70-071619,needle_(574187457),1,Artist,,,,,,,[]
I70-071620,negamaro,1,Artist,,,,,ネガマロ,,[]
I70-071621,nema_029,1,Artist,,,,,,,[]
I70-071622,nenehotoso,1,Artist,,,,,nenehotoso,,[]
I70-071623,neo_(tyottama),1,Artist,,,,,,,[]
I70-071624,neritch,1,Artist,,,,,,,[]
I70-071625,nezielmi,1,Artist,,,,,ネジエルミ,,[]
I70-071626,nioti,1,Artist,,,,,nioti,,[]
I70-071627,nishiyama_maruta,1,Artist,,,,,西山maruta,,[]
I70-071628,no.6_(numberr_6),1,Artist,,,,,,,[]
I70-071629,nona_drops,1,Artist,,,,,ノナドロップ,,[]
I70-071630,nurupo_(abooon),1,Artist,,,,,nurupo（aboooon）,,[]
I70-071631,omura06,1,Artist,,,,,omura06,,[]
I70-071632,ootori_mahiro,1,Artist,,,,,Ootori Mahiro,,[]
I70-071633,oru_2ji,1,Artist,,,,,,,[]
I70-071634,oumi_(rsag),1,Artist,,,,,oumi（rsag）,,[]
I70-071635,ouya_(maboroshimori),1,Artist,,,,,Ouya（Maboroshimori）,,[]
I70-071636,pachpachpach,1,Artist,,,,,Pachpachpach,,[]
I70-071637,panipuri,1,Artist,,,,,,,[]
I70-071638,panj_(tsubaki_panse),1,Artist,junjam,junjam,,,ジュンジャム,,[]
I70-071639,paulina_klime,1,Artist,,,,,,,[]
I70-071640,pen_(steelleets),1,Artist,steelleets,steelleets,,,ペン（鋼鉄）,,[]
I70-071641,penguinbox,1,Artist,,,,,ペンギンボックス,,[]
I70-071642,peppo-mk3,1,Artist,,,,,,,[]
I70-071643,phanuchan,1,Artist,,,,,,,[]
I70-071644,pillo,1,Artist,,,,,ピロ,,[]
I70-071645,pipipipyu,1,Artist,,,,,,,[]
I70-071646,piscina,1,Artist,,,,,ピシナ,,[]
I70-071647,podobrick,1,Artist,,,,,,,[]
I70-071648,ponpon_nun,1,Artist,,,,,ポンポン修道女,,[]
I70-071649,pozesuke,1,Artist,unicsourse,unicsourse,,,ポゼスケ,,[]
I70-071650,puyue,1,Artist,"hong_xigua_jisu_paxing,wusenangua",hong xigua jisu paxing | wusenangua,,,ピュイ,,[]
