row_id,canonical_tag,source_aliases,verified_aliases,existing_candidate_ja,existing_display_ja,existing_search_ja
I70-050003,ikeda_yasuhiro,yasuhiro_ikeda,yasuhiro ikeda,イケダ・ヤスヒロ,,
I70-050004,ikuchi_osutega,"shin_yama3,igashira_ganka,1gsrgnk",1gsrgnk | igashira ganka | shin yama3,イクチ・オステガ,,
I70-050005,kuro_mushi,,,クロ・ムシ,,
I70-050006,kuzuvine,,,クズバイン,,
I70-050007,kyogoku-uru,,,京子uru,,
I70-050008,mitsunara,,,ミツナラ,,
I70-050010,morinaga_miki,morinaga_(harumori),morinaga (harumori),モリナガミキ,,
I70-050013,sasa_kichi,eno6_sub,eno6 sub,ササ・キチ,,
I70-050014,seno_(senohime),miyo_(user_zdsp7735),miyo (user zdsp7735),セノ（セノハイム）,,
I70-050016,takase_asagiri,nuko_(phylactery),nuko (phylactery),タカ・アサギリ,,
I70-050017,tsukimirin,,,ツキミリン,,
I70-050018,uzaki_(jiro),,,うねく（ジロ）,,
I70-050019,yo_na,yo_na_(yo_na_),yo na (yo na ),ヨナ,,
I70-050022,chinchongcha,,,チンチャンチャ,,
I70-050024,chixiao,,,チキシアオ,,
I70-050025,chounorin,chonorin,chonorin,チョウノリン,,
I70-050027,hanetsuka,,,ハネツカ,,
I70-050028,higa_yukari,,,ヒガ・ユカリ,,
I70-050029,ichi-jirushi,,,一i-jirushi,,
I70-050031,jam_(nandade),,,ジャム（ナンダデ）,,
I70-050033,kazane-wind,,,カザネと風,,
I70-050034,kiya_machi,,,キヤ・マチ,,
I70-050036,masaki_itsuki,,,伊子子島,,
I70-050037,micon,,,ミコン,,
I70-050039,nanahamu,,,ナナハム,,
I70-050045,tarbo_(exxxpiation),,,ターボ（exxxpiation）,,
I70-050047,tsunashima_shirou,tunasima_sirou,tunasima sirou,津島shirou,,
I70-050052,zombie_mogura,v_r_dragon01,v r dragon01,ゾンビモグラ,,
I70-050053,adarin,adarinsinner,adarinsinner,アダリン,,
I70-050058,dungeon_toaster,,,ダンジョントースター,,
I70-050059,fuuna,,,フーナ,,
I70-050060,gunjou_row,,,ガンジョウの列,,
I70-050067,midfinger,"midfinger22,jayjiwoo_park",jayjiwoo park | midfinger22,ミッドフィンガー,,
I70-050070,nami_(nyaa),natsumii_chan,natsumii chan,ナミ（nyaa）,,
I70-050071,ne-on,,,ネオン,,
I70-050075,rukitsura,,,ルキツラ,,
I70-050076,ryokucha_michi,,,リョオクチャミチ,,
I70-050081,uni_(plastic_girl),uni,uni,ユニ（プラスチックガール）,,
I70-050082,wu_ganlan_cai,,,ウー・ガンラン・カイ,,
I70-050083,yamakawa,,,山川,,
I70-050084,yoshiki,,,ヨシキ,,
I70-050091,hayakawa_akari,,,八川akari,,
I70-050092,hinata_nao,,,日向ナオ,,
I70-050094,k_jie,,,Kジー,,
I70-050098,keiko_(mitakarawa),,,ケイコ（ミタカラワ）,,
I70-050099,kitano_(kitanosnowwhite),,,キタノ（kitanosnowwhite）,,
I70-050100,kofunami_nana,,,コフナミ・ナナ,,
I70-050101,maanu,manu_(pixiv41646715),manu (pixiv41646715),マアヌ,,
I70-050102,matsumotoke,qavi,qavi,マツモトーク,,
I70-050103,mibushiro,,,ミブシロ,,
I70-050104,miso_(misomiso_154),misomiso_154,misomiso 154,味o（Misomiso154）,,
I70-050105,morumoru_x,"uyuyu_(uyu),yuki_kamakura,uyuyu_uyu",uyuyu (uyu) | uyuyu uyu | yuki kamakura,モルモルx,,
I70-050106,nam_(valckiry),,,ナム（valckiry）,,
I70-050107,narushima_kanna,,,奈良カンナ,,
I70-050110,safi,,,サフィ,,
I70-050112,sasakura_(calicchio),,,佐々木（カリチオ）,,
I70-050113,seraphim_throne,paolo_espana,paolo espana,セラフィムの玉座,,
I70-050115,taya_oco,taya_5323203,taya 5323203,タヤオコ,,
I70-050116,teffish,,,テフィッシュ,,
I70-050119,aruka_(alka_p1),arai3648,arai3648,アルカ（アルカP1）,,
I70-050124,go_robots,,,ロボットに行きます,,
I70-050125,gomashio_ponz,,,ゴマシオ・ポンツ,,
I70-050130,kirigaya_yuuji,,,キリガヤユウジ,,
I70-050132,kuren,,,クレン,,
