row_id,canonical_tag,category,post_count,source_audit_verdict,effective_action,current_display_ja,current_search_ja,proposed_display_ja,proposed_search_ja,reason_code,confidence,decision_source
I70-000001,hatsune_miku,Character,145166,FIX_DISPLAY,FIX_DISPLAY,初音ミク,初音ミク | ミク,初音ミク（ボーカロイド）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000007,artoria_pendragon_(fate),Character,46122,FIX_DISPLAY,FIX_DISPLAY,アルトリア・ペンドラゴン,アルトリア・ペンドラゴン | アルトリア,アルトリア・ペンドラゴン（Fateシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000013,admiral_(kancolle),Character,39004,FIX_SEARCH,FIX_SEARCH,提督（艦隊これくしょん）,提督（艦隊これくしょん） | 提督(艦隊これくしょん) | 提督,,提督（艦隊これくしょん） | 提督,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000014,sensei_(blue_archive),Character,39001,FIX_SEARCH,FIX_SEARCH,先生（ブルーアーカイブ）,先生（ブルーアーカイブ） | 先生(ゲマトリア) | 先生(ブルーアーカイブ) | 先生,,先生（ブルーアーカイブ） | 先生(ゲマトリア) | 先生,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000025,scaramouche_(genshin_impact),Character,26958,FIX_DISPLAY,FIX_DISPLAY,スカラマシュ,スカラマシュ | 散兵,スカラマシュ（原神）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000031,kaga_(kancolle),Character,22190,FIX_SEARCH,FIX_SEARCH,加賀（艦これ）,加賀（艦これ） | い加賀わしい | 加賀(艦これ) | 加賀(艦隊これくしょん) | 加賀,,加賀（艦これ） | い加賀わしい | 加賀(艦隊これくしょん) | 加賀,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000032,warrior_of_light_(ff14),Character,22188,FIX_SEARCH,FIX_SEARCH,光の戦士（FF14）,光の戦士（FF14） | 光の戦士(FF14) | 光の戦士,,光の戦士（FF14） | 光の戦士,DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
I70-000034,doodle_sensei_(blue_archive),Character,22140,FIX_DISPLAY,FIX_DISPLAY,アロナの似顔絵,アロナの似顔絵,アロナの似顔絵（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000038,saber_(fate),Character,21185,FIX_DISPLAY,FIX_DISPLAY,アルトリア・ペンドラゴン,アルトリア・ペンドラゴン | アルトリア | アルトリア・ペンドラゴン(水着) | セイバー,アルトリア・ペンドラゴン（Fateシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,character_curated_context_batch016.csv
I70-000041,link,Character,20714,FIX_SEARCH,FIX_SEARCH,リンク（ゼルダの伝説）,リンク（ゼルダの伝説） | リンク | リンク(ゼルダの伝説) | リンク(ブレスオブザワイルド),,リンク（ゼルダの伝説） | リンク | リンク(ブレスオブザワイルド),DEDUP_SEARCH_TERMS,HIGH,search_dedup_batch007.csv
