row_id,canonical_tag,category,post_count,media_scope,confidence,scope_reason,evidence_refs,decision_source
I70-042501,vampire_knight,Copyright,78,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042502,witches_in_7th_base,Copyright,78,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042503,world_heroes,Copyright,78,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042504,2.5_jigen_no_ririsa_tenshitachi_no_stage,Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042505,anata_to_mita_sakura,Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042506,aphex_twin,Copyright,77,REAL_3D,HIGH,Real-person musician identity; outside Character/Copyright 2D-fiction scope.,,MANUAL_SCOPE_BATCH_028
I70-042507,asana_tansaku_kikou,Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042508,echo_(visual_novel),Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042509,eiyuu_senki_gold,Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042511,hoshizora_no_babylon,Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042512,house_m.d.,Copyright,77,REAL_3D,HIGH,Live-action television property; outside the user's 2D-only media scope.,,MANUAL_SCOPE_BATCH_028
I70-042514,i-dle,Copyright,77,REAL_3D,HIGH,Real-person music/idol group identity; outside Character/Copyright 2D-fiction scope.,,MANUAL_SCOPE_BATCH_028
I70-042515,isekai_nonbiri_nouka,Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042516,ishura,Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042517,jk_bitch_sannin_musume!,Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042518,kamen_rider_amazons,Copyright,77,REAL_3D,HIGH,Live-action/tokusatsu television property; outside the user's 2D-only media scope.,,MANUAL_SCOPE_BATCH_028
I70-042519,kendo_shoujo,Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042520,kenkou_zenrakei_suieibu_umishou,Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042521,kimi_omou_koi,Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
I70-042523,langrisser_re:incarnation,Copyright,77,IN_2D,HIGH,High-confidence fictional / illustrated / game / anime / virtual-content Copyright in the user's 2D scope.,,MANUAL_SCOPE_BATCH_028
