row_id,canonical_tag,category,post_count,media_scope,confidence,scope_reason,evidence_refs,decision_source
I70-002055,godzilla,Character,1649,REAL_3D,HIGH,Explicit tokusatsu / suit-performed Godzilla identity; excluded under the project's tokusatsu rule.,,MANUAL_SCOPE_BATCH_058
I70-003362,santa_claus,Character,998,IN_2D,HIGH,Folkloric fictional character identity commonly represented as illustrated character content; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_058
I70-004449,death_(entity),Character,737,IN_2D,HIGH,Personified fictional entity rather than a real-world individual; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_058
I70-005164,ronald_mcdonald,Character,623,IN_2D,HIGH,Fictional commercial mascot character rather than the McDonald's company identity itself; retained under the mascot-character rule.,,MANUAL_SCOPE_BATCH_058
I70-005272,ahsoka_tano,Character,608,IN_2D,HIGH,Fictional Star Wars character with substantial animated/illustrated appearances; not a live-action-only identity.,,MANUAL_SCOPE_BATCH_058
I70-005877,marche_lorraine's_puppet,Character,536,IN_2D,HIGH,Danbooru character tag is the puppet belonging to the Umamusume character Marche Lorraine; retained as in-scope game/anime character content.,https://safebooru.donmai.us/posts/11253695,MANUAL_SCOPE_BATCH_058
I70-006147,anubis_(mythology),Character,507,IN_2D,HIGH,Mythological character identity used as illustrated fictional character content; retained under the mythological-character rule.,,MANUAL_SCOPE_BATCH_058
I70-006833,grim_reaper,Character,450,IN_2D,HIGH,Personified folklore/death character rather than a real-world individual; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_058
I70-007246,anakin_skywalker,Character,418,IN_2D,HIGH,Fictional Star Wars character with substantial animated/illustrated appearances; not a live-action-only identity.,,MANUAL_SCOPE_BATCH_058
I70-007332,camila_inpu,Character,412,IN_2D,HIGH,Independent VTuber / virtual persona identity; retained under the virtual-character rule.,https://virtualyoutuber.fandom.com/wiki/Camila,MANUAL_SCOPE_BATCH_058
I70-007921,lara_(sayonara_lara),Character,374,IN_2D,HIGH,Main character of the TV anime Sayonara Lara; retained under the anime-character rule.,https://otakotaku.com/ja/anime/character/3278/sayonara-lara,MANUAL_SCOPE_BATCH_058
I70-008294,mother_(yoru_mac),Character,353,IN_2D,HIGH,Illustrated fictional Yoru Mac campaign family character; retained as character content rather than the McDonald's company identity.,https://safebooru.donmai.us/posts/4529497,MANUAL_SCOPE_BATCH_058
I70-008542,hanamiya_nina,Character,340,REAL_3D,HIGH,"Tag identifies voice actor Nina Hanamiya, a real human performer; excluded under the real-person rule.",https://www.aoni.co.jp/search/hanamiya-niina.html,MANUAL_SCOPE_BATCH_058
I70-009382,ani_(xai),Character,302,IN_2D,HIGH,xAI/Grok Ani is an anime-style virtual companion character; retained under the virtual-character rule.,https://x.com/grok/status/1945755451867677136,MANUAL_SCOPE_BATCH_058
I70-012043,orihime_(tanabata),Character,221,IN_2D,HIGH,Tanabata legend character identity; retained as mythological/folkloric illustrated character content.,,MANUAL_SCOPE_BATCH_058
I70-012562,park_dona,Character,209,IN_2D,HIGH,Virtual singer / virtual performer identity; retained under the virtual-character rule.,https://kpop.fandom.com/wiki/Park_Dona,MANUAL_SCOPE_BATCH_058
I70-012954,dtto.,Character,201,IN_2D,HIGH,REJECT identifies dtto. as a VTuber; retained under the virtual-character rule.,https://reject.jp/member/dtto/,MANUAL_SCOPE_BATCH_058
I70-012983,sigrid_de_l'azur_(majestic_wavechaser),Character,201,IN_2D,HIGH,Zenless Zone Zero fictional game character variant; retained under the game-character rule.,https://zenless-zone-zero.fandom.com/wiki/Sigrid_de_L%27Azur,MANUAL_SCOPE_BATCH_058
I70-013156,doge,Character,197,REAL_3D,HIGH,Doge identifies the real Shiba Inu meme subject rather than a wholly fictional character; excluded under the real-animal identity rule.,,MANUAL_SCOPE_BATCH_058
I70-014058,daughter_(yoru_mac),Character,181,IN_2D,HIGH,Illustrated fictional Yoru Mac campaign family character; retained as character content rather than the McDonald's company identity.,https://safebooru.donmai.us/posts/4529497,MANUAL_SCOPE_BATCH_058
I70-014371,furby,Character,176,REAL_3D,HIGH,Furby tag identifies a real-world physical toy/product identity rather than a specifically fictional illustrated character; excluded under the real-world product rule.,,MANUAL_SCOPE_BATCH_058
I70-016328,beliora_vike,Character,148,IN_2D,HIGH,Zenless Zone Zero fictional game character (Beliora Vike / Colonel Vike); retained under the game-character rule.,https://mudae.net/character/6584770/Colonel%20Vike,MANUAL_SCOPE_BATCH_058
I70-017491,kondo_saki,Character,135,IN_2D,HIGH,Official Hachigatsu no Cinderella Nine character; retained under the game-character rule.,https://hachinai.com/character/,MANUAL_SCOPE_BATCH_058
I70-018901,hades_izanami,Character,122,IN_2D,HIGH,BlazBlue fictional game character Hades: Izanami; retained under the game-character rule.,https://blazblue.wiki/wiki/Izanami,MANUAL_SCOPE_BATCH_058
I70-019056,sakura_(sergestid_shrimp_in_tungkang),Character,121,IN_2D,HIGH,Official virtual spokesperson/personified character with game/comic development; retained under the fictional-character rule.,https://simoncreatives.com/en/works/sergestid_shrimp/,MANUAL_SCOPE_BATCH_058
I70-020243,girlfriend_(yoru_mac),Character,111,IN_2D,HIGH,Illustrated fictional Yoru Mac campaign character; retained as character content rather than the McDonald's company identity.,https://safebooru.donmai.us/posts/4592552,MANUAL_SCOPE_BATCH_058
I70-020265,kadou_mikaru_(1st_costume),Character,111,IN_2D,HIGH,Nijisanji virtual character Kadou Mikaru costume variant; retained under the VTuber/virtual-character rule.,https://shop.nijisanji.jp/1170,MANUAL_SCOPE_BATCH_058
I70-021454,jellie_(hermitcraft),Character,103,REAL_3D,HIGH,"Jellie is GoodTimesWithScar's real-life cat, despite also having an in-game Minecraft representation; excluded under the real-animal identity rule.",https://hermitcraft.fandom.com/wiki/Jellie,MANUAL_SCOPE_BATCH_058
I70-021654,munin_(silver_palace),Character,102,IN_2D,HIGH,Silver Palace playable game protagonist Munin; retained under the game-character rule.,https://www.silverpalacemeta.com/characters/munin,MANUAL_SCOPE_BATCH_058
I70-021664,poyoroid_sou,Character,102,IN_2D,HIGH,Poyoroid Sou is an UTAU/fictional voice character; retained under the virtual/voice-character rule.,https://utau.fandom.com/wiki/Poyoroid,MANUAL_SCOPE_BATCH_058
I70-022066,beri_(beribug),Character,99,IN_2D,HIGH,Beri/Beribug is a VTuber identity affiliated with BEASTIEZ; retained under the virtual-character rule.,https://hololist.net/beribug/,MANUAL_SCOPE_BATCH_058
I70-022092,grady_sisters_(the_shining),Character,99,REAL_3D,HIGH,Specific Grady Sisters visual identity is tied to the live-action The Shining film portrayal; excluded under the live-action character rule.,,MANUAL_SCOPE_BATCH_058
I70-022392,hikoboshi,Character,97,IN_2D,HIGH,Tanabata legend character identity; retained as mythological/folkloric illustrated character content.,,MANUAL_SCOPE_BATCH_058
I70-022429,mikuni_miku,Character,97,REAL_3D,HIGH,Tag identifies real singer-songwriter Mikuni Miku; excluded under the real-person rule.,https://mikuni-miku-official.webnode.jp/%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB/,MANUAL_SCOPE_BATCH_058
I70-022733,kano_(yuanfen)_(utaite),Character,95,REAL_3D,HIGH,Tag identifies a real utaite/singer identity rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_058
I70-023177,uncle_sam,Character,93,IN_2D,HIGH,Illustrated national personification/propaganda character rather than a real individual; retained under the fictional-personification rule.,,MANUAL_SCOPE_BATCH_058
I70-023312,reglush_lionheart,Character,92,IN_2D,HIGH,Official NoriPro VTuber Reglush Lionheart; retained under the virtual-character rule.,https://noripro.jp/talent-reglush/,MANUAL_SCOPE_BATCH_058
I70-023404,father_(yoru_mac),Character,91,IN_2D,HIGH,Illustrated fictional Yoru Mac campaign family character; retained as character content rather than the McDonald's company identity.,https://safebooru.donmai.us/posts/4529497,MANUAL_SCOPE_BATCH_058
I70-023679,sakurai_hana,Character,90,IN_2D,HIGH,Sakurai Hana is a VTuber / virtual streamer identity; retained under the virtual-character rule.,https://vtubie.com/sakurai-hana/,MANUAL_SCOPE_BATCH_058
I70-024772,chikafuji_lisa,Character,84,IN_2D,HIGH,Chikafuji Lisa is a virtual artist / VTuber identity; retained under the virtual-character rule.,https://virtualyoutuber.fandom.com/wiki/Chikafuji_Lisa,MANUAL_SCOPE_BATCH_058
I70-026956,moneko_(kokaki_mumose),Character,75,IN_2D,HIGH,Danbooru/Safebooru posts identify Moneko as an original illustrated character; retained under the original-character rule.,https://safebooru.org/index.php?id=4349337&page=post&s=view,MANUAL_SCOPE_BATCH_058
I70-027075,arya_kuroha,Character,74,IN_2D,HIGH,Arya Kuroha is a VSPO virtual YouTuber identity; retained under the virtual-character rule.,https://vtubie.com/arya-kuroha/,MANUAL_SCOPE_BATCH_058
