row_id,canonical_tag,category,post_count,media_scope,confidence,scope_reason,evidence_refs,decision_source
I70-043732,studio_tri4,Copyright,58,IN_2D,HIGH,Copyright identity is an illustrated comic property and is retained in the 2D scope after manual review.,https://safebooru.org/index.php?id=1673872&page=post&s=view,MANUAL_SCOPE_BATCH_061
I70-022637,souei_yuyu,Character,96,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,https://safebooru.donmai.us/wiki_pages/souei_yuyu?z=1,MANUAL_SCOPE_BATCH_061
I70-026443,kamogumi_(kanna_yanagi),Character,77,IN_2D,HIGH,Character identity is an explicit VTuber or virtual persona; retained under the VTuber and virtual-character rule.,https://vtubie.com/kanna-yanagi/,MANUAL_SCOPE_BATCH_061
I70-028696,coqui_saporana,Character,68,IN_2D,HIGH,Character identity is an explicit VTuber or virtual persona; retained under the VTuber and virtual-character rule.,https://virtualyoutuber.fandom.com/wiki/Coqui,MANUAL_SCOPE_BATCH_061
I70-031649,blair_dame,Character,59,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,https://www.arika.co.jp/special/sp_material/material_en.html,MANUAL_SCOPE_BATCH_061
I70-031761,izumi_shirogane,Character,59,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_061
I70-032272,ootani_ouya,Character,58,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,https://neoapo.com/en/characters/51270,MANUAL_SCOPE_BATCH_061
I70-032301,sakai_aruko,Character,58,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,https://anibase.net/en/character/mo5KW/Aruko-Sakai-Aruneko,MANUAL_SCOPE_BATCH_061
I70-032760,tlipoca,Character,57,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,https://safebooru.donmai.us/posts/10869294?q=tlipoca,MANUAL_SCOPE_BATCH_061
I70-033232,amenankhnas-talia_ife,Character,55,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,https://shima.donmai.us/wiki_pages/amenankhnas-talia_ife,MANUAL_SCOPE_BATCH_061
I70-033300,doreking,Character,55,IN_2D,HIGH,Tag identifies an illustrated fictional mascot meme or personification rather than a real-world individual; retained under the fictional-character rule.,https://safebooru.donmai.us/posts/9423494?q=holding_mascot_head,MANUAL_SCOPE_BATCH_061
