special_id,v1_primary,v1_secondary,candidate_kind,candidate_body_sites,candidate_themes,review_class,severity,review_note
1,BODY_ANATOMY>BUTTOCK_ANUS,,身体・状態,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
2,SEXUAL_ACTIVITY_STIMULATION>IMPLIED_GESTURE,BODY_ANATOMY>BUTTOCK_ANUS,行為・接触,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
3,NUDITY_CLOTHING_EXPOSURE>PARTIAL_EXPOSURE,BODY_ANATOMY>BUTTOCK_ANUS,衣服・露出,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
4,NUDITY_CLOTHING_EXPOSURE>PARTIAL_EXPOSURE,BODY_ANATOMY>BUTTOCK_ANUS,衣服・露出,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
34,SEXUAL_ACTIVITY_STIMULATION>LOCAL_STIMULATION,BODY_ANATOMY>BUTTOCK_ANUS,行為・接触,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
145,INJURY_R18G,BODY_ANATOMY>BUTTOCK_ANUS,身体・状態,臀部・肛門（暫定）,損傷・R18G,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
200,INJURY_R18G,BODY_ANATOMY>BUTTOCK_ANUS,身体・状態,臀部・肛門（暫定）,損傷・R18G,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
594,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,penis awe should not be forced into SITUATION_SCENE or META_RATING
633,BONDAGE_BDSM_DOMINATION>CHASTITY_CONTROL,TOOLS_TOYS_MACHINES | BODY_ANATOMY>MALE_GENITAL,道具・物,男性器,拘束・BDSM,REVIEW_MIXED_FAMILY,FAMILY_REVIEW,CHASTITY_CONTROL mixes device/state/control concepts
644,NUDITY_CLOTHING_EXPOSURE>CUTOUT_OPENING,BODY_ANATOMY>BUTTOCK_ANUS,衣服・露出,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
692,CONTACT_INSERTION_BODY_SITE>EXTERNAL_CONTACT,BODY_ANATOMY>BUTTOCK_ANUS,行為・接触,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
710,NUDITY_CLOTHING_EXPOSURE>COVERED_CONCEALED,BODY_ANATOMY>BUTTOCK_ANUS,衣服・露出,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
756,BODY_ANATOMY>BUTTOCK_ANUS,,身体・状態,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
757,BODY_ANATOMY>BUTTOCK_ANUS,,身体・状態,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
763,BODY_ANATOMY>PUBIC_HAIR,BODY_ANATOMY>BUTTOCK_ANUS,身体・状態,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
775,FLUID_EXCRETION_SOILING,BODY_ANATOMY>BUTTOCK_ANUS,体液・排泄,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
778,POSE_POSITION_COMPOSITION,BODY_ANATOMY>BUTTOCK_ANUS,ポーズ・構図・場面,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
786,BONDAGE_BDSM_DOMINATION>CHASTITY_CONTROL,TOOLS_TOYS_MACHINES,道具・物,,拘束・BDSM,REVIEW_MIXED_FAMILY,FAMILY_REVIEW,CHASTITY_CONTROL mixes device/state/control concepts
787,POSE_POSITION_COMPOSITION,BODY_ANATOMY>BUTTOCK_ANUS,ポーズ・構図・場面,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
795,NUDITY_CLOTHING_EXPOSURE>COVERED_CONCEALED,BODY_ANATOMY>BUTTOCK_ANUS,衣服・露出,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
810,BONDAGE_BDSM_DOMINATION>CHASTITY_CONTROL,TOOLS_TOYS_MACHINES,道具・物,,拘束・BDSM,REVIEW_MIXED_FAMILY,FAMILY_REVIEW,CHASTITY_CONTROL mixes device/state/control concepts
832,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,`foot pussy` のidentityが身体変形・部位表現・行為のどれを主閲覧意図とするか現行説明だけでは確定できない。
839,POSE_POSITION_COMPOSITION,BODY_ANATOMY>BUTTOCK_ANUS,ポーズ・構図・場面,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
856,BONDAGE_BDSM_DOMINATION>CHASTITY_CONTROL,FLUID_EXCRETION_SOILING,道具・物,,拘束・BDSM,REVIEW_MIXED_FAMILY,FAMILY_REVIEW,CHASTITY_CONTROL mixes device/state/control concepts
857,META_RATING,BODY_ANATOMY>BUTTOCK_ANUS,表現・メタ,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
877,BODY_ANATOMY>BUTTOCK_ANUS,,身体・状態,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
882,BONDAGE_BDSM_DOMINATION>CHASTITY_CONTROL,,道具・物,,拘束・BDSM,REVIEW_MIXED_FAMILY,FAMILY_REVIEW,CHASTITY_CONTROL mixes device/state/control concepts
904,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,`tail anus` のidentityが非人間身体特徴・肛門部位・関係表現のどれを主閲覧意図とするか現行説明だけでは確定できない。
911,BODY_ANATOMY>BUTTOCK_ANUS,,身体・状態,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
921,BONDAGE_BDSM_DOMINATION>CHASTITY_CONTROL,TOOLS_TOYS_MACHINES,道具・物,,拘束・BDSM,REVIEW_MIXED_FAMILY,FAMILY_REVIEW,CHASTITY_CONTROL mixes device/state/control concepts
922,NUDITY_CLOTHING_EXPOSURE>THROUGH_CLOTHING_VISIBILITY,BODY_ANATOMY>BUTTOCK_ANUS,衣服・露出,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
929,BONDAGE_BDSM_DOMINATION>CHASTITY_CONTROL,,道具・物,,拘束・BDSM,REVIEW_MIXED_FAMILY,FAMILY_REVIEW,CHASTITY_CONTROL mixes device/state/control concepts
935,BODY_ANATOMY>BUTTOCK_ANUS,,身体・状態,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
948,BODY_ANATOMY>BUTTOCK_ANUS,,身体・状態,臀部・肛門（暫定）,,SITE_FACET_AUDIT,FACET_AUDIT,BUTTOCK_ANUS v1 route conflates buttock and anus
949,BONDAGE_BDSM_DOMINATION>CHASTITY_CONTROL,,道具・物,,拘束・BDSM,REVIEW_MIXED_FAMILY,FAMILY_REVIEW,CHASTITY_CONTROL mixes device/state/control concepts
