audit_id,intent_ja,domain,route,canonical_components,special_ids,recipe_prompt,generation_families,model_scope,ordering_or_weighting,why_not_single_canonical,source_evidence,review_status,product_fit_reason
C008,アナルビーズと開いた肛門を同時に見せる,ANAL_RECTAL,COMBINATION_RECIPE_REVIEW_CANDIDATE,anal beads + spread anus,266 + 2,"anal beads, spread anus",IMPLEMENT_OBJECT + BODY_ATTRIBUTE,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,CANDIDATE,Components materially share the same body-site; this is not merely independent modifier stacking.
C009,アナルテールと開いた肛門を同時に見せる,ANAL_RECTAL,COMBINATION_RECIPE_REVIEW_CANDIDATE,anal tail + spread anus,267 + 2,"anal tail, spread anus",IMPLEMENT_OBJECT + BODY_ATTRIBUTE,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,CANDIDATE,Components materially share the same body-site; this is not merely independent modifier stacking.
S001,アナルフックを使いながら肛門を開いた状態にする,ANAL_RECTAL,COMBINATION_RECIPE_REVIEW_CANDIDATE,anal hook + spread anus,1813 + 2,"anal hook, spread anus",RESTRAINT_IMPLEMENT + BODY_ATTRIBUTE,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No single accepted direct Special surface in the audited baseline expresses the full reviewed structural intent.,accepted Special generation profile + Issue #97 Phase C product-value review,CANDIDATE,same body-site implement + visible body-state
S002,バットプラグを付けながら肛門を開いた状態にする,ANAL_RECTAL,COMBINATION_RECIPE_REVIEW_CANDIDATE,butt plug + spread anus,268 + 2,"butt plug, spread anus",IMPLEMENT_OBJECT + BODY_ATTRIBUTE,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No single accepted direct Special surface in the audited baseline expresses the full reviewed structural intent.,accepted Special generation profile + Issue #97 Phase C product-value review,CANDIDATE,same body-site implement + visible body-state
S003,肛門内バイブと開いた肛門を同時に見せる,ANAL_RECTAL,COMBINATION_RECIPE_REVIEW_CANDIDATE,vibrator in anus + spread anus,264 + 2,"vibrator in anus, spread anus",IMPLEMENT_OBJECT + BODY_ATTRIBUTE,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No single accepted direct Special surface in the audited baseline expresses the full reviewed structural intent.,accepted Special generation profile + Issue #97 Phase C product-value review,CANDIDATE,same body-site implement placement + visible body-state
S004,触手に体を掴まれながら口にも触手が入っている,NONHUMAN_TENTACLE,COMBINATION_RECIPE_REVIEW_CANDIDATE,grabbed by tentacles + tentacle in mouth,1866 + 1862,"grabbed by tentacles, tentacle in mouth",NONHUMAN_INTERACTION + NONHUMAN_INTERACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No single accepted direct Special surface in the audited baseline expresses the full reviewed structural intent.,accepted Special generation profile + Issue #97 Phase C product-value review,CANDIDATE,shared non-human actor with two explicit target relations
S005,機械触手に体を掴まれている,NONHUMAN_TENTACLE,COMBINATION_RECIPE_REVIEW_CANDIDATE,mechanical tentacles + grabbed by tentacles,1847 + 1866,"mechanical tentacles, grabbed by tentacles",NONHUMAN_INTERACTION + NONHUMAN_INTERACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No single accepted direct Special surface in the audited baseline expresses the full reviewed structural intent.,accepted Special generation profile + Issue #97 Phase C product-value review,CANDIDATE,actor morphology + actor-target relation
S006,膣に触手があり同時に触手に体を掴まれている,NONHUMAN_TENTACLE,COMBINATION_RECIPE_REVIEW_CANDIDATE,pussy tentacle + grabbed by tentacles,552 + 1866,"pussy tentacle, grabbed by tentacles",NONHUMAN_INTERACTION + NONHUMAN_INTERACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No single accepted direct Special surface in the audited baseline expresses the full reviewed structural intent.,accepted Special generation profile + Issue #97 Phase C product-value review,CANDIDATE,body-site relation + shared non-human actor relation
S007,男性器に触手があり同時に触手に体を掴まれている,NONHUMAN_TENTACLE,COMBINATION_RECIPE_REVIEW_CANDIDATE,penis tentacle + grabbed by tentacles,613 + 1866,"penis tentacle, grabbed by tentacles",NONHUMAN_INTERACTION + NONHUMAN_INTERACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No single accepted direct Special surface in the audited baseline expresses the full reviewed structural intent.,accepted Special generation profile + Issue #97 Phase C product-value review,CANDIDATE,body-site relation + shared non-human actor relation
S008,触手セックス中に触手に体を掴まれている,NONHUMAN_TENTACLE,COMBINATION_RECIPE_REVIEW_CANDIDATE,tentacle sex + grabbed by tentacles,325 + 1866,"tentacle sex, grabbed by tentacles",NONHUMAN_INTERACTION + NONHUMAN_INTERACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No single accepted direct Special surface in the audited baseline expresses the full reviewed structural intent.,accepted Special generation profile + Issue #97 Phase C product-value review,CANDIDATE,sexual action + shared non-human actor relation
S009,首に触手が巻き付き口にも触手が入っている,NONHUMAN_TENTACLE,COMBINATION_RECIPE_REVIEW_CANDIDATE,tentacle around neck + tentacle in mouth,1879 + 1862,"tentacle around neck, tentacle in mouth",NONHUMAN_INTERACTION + NONHUMAN_INTERACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No single accepted direct Special surface in the audited baseline expresses the full reviewed structural intent.,accepted Special generation profile + Issue #97 Phase C product-value review,CANDIDATE,two explicit body-site relations for the same non-human implement class
S010,木馬を使い両腕を離して拘束する,BDSM_RESTRAINT,COMBINATION_RECIPE_REVIEW_CANDIDATE,wooden horse + arms bound apart,1844 + 1895,"wooden horse, arms bound apart",RESTRAINT_IMPLEMENT + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No single accepted direct Special surface in the audited baseline expresses the full reviewed structural intent.,accepted Special generation profile + Issue #97 Phase C product-value review,CANDIDATE,restraint equipment + posture/spatial restraint structure
