"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:31.7407636Z","0.004",,"295.348","213.895","13","532",,,,,,"18","32",,,,"True"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:32.7831049Z","1.047","0.7495","295.664","213.91","13","534","34999.093","1135.904",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:33.8039427Z","2.068","0.287","295.676","213.91","13","534","18344.736","648.487",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:34.8258357Z","3.089","1.2423","295.766","213.91","13","534","19566.628","1160.591",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:35.8357847Z","4.099","0.5802","295.824","213.918","13","534","2317.939","838.656",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:36.8503235Z","5.114","0","295.824","213.918","13","534","102.51","14.785",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:37.8583195Z","6.122","0","295.824","213.918","13","534","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:38.8651272Z","7.129","0","295.824","213.918","13","534","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:39.8844014Z","8.148","0","295.785","213.859","12","531","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:40.8906240Z","9.154","0","291.488","208.602","15","540","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:41.9003590Z","10.164","0","291.5","208.613","15","540","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:42.9089519Z","11.173","0","291.5","208.613","15","540","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S10-content-filter","2026-09-20T00:20:43.9147045Z","12.178","0","291.5","208.613","15","540","0","0",,,,"18","29",,,,"True"
