"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:25.4092739Z","0.004",,"299.676","215.879","15","542",,,,,,"19","30",,,,"True"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:26.4543618Z","1.049","2.523","302.32","218.285","15","540","257744.827","146320.707",,,,"19","31",,,,"True"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:27.4786660Z","2.073","1.3347","302.375","218.156","15","544","54588.276","29661.11",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:28.4985950Z","3.093","0.1915","302.348","218.168","15","544","3729.671","1541.284",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:29.5195051Z","4.114","0","302.348","218.168","15","544","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:30.5385847Z","5.133","0","302.348","218.168","15","544","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:31.5484374Z","6.143","0","302.348","218.168","15","544","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:32.5550901Z","7.15","0.097","302.305","218.105","14","541","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:33.5735695Z","8.168","0","302.305","218.105","14","541","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:34.5868878Z","9.182","0","302.305","218.105","14","541","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:35.5966661Z","10.191","0","302.305","218.105","14","541","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:36.6087528Z","11.203","0","302.305","218.105","14","541","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S13-prompt-reorder","2026-09-20T00:21:37.6161342Z","12.211","0","302.293","218.105","14","541","0","0",,,,"18","29",,,,"True"
