"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:43.3606052Z","0.004",,"304.059","218.836","17","542",,,,,,"18","31",,,,"True"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:44.4024830Z","1.046","0","304.062","218.836","17","542","99.82","14.397",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:45.4195949Z","2.063","0","304.062","218.836","17","542","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:46.4291982Z","3.073","0","304.062","218.836","17","542","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:47.4493951Z","4.093","0","304.062","218.836","17","542","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:48.4561246Z","5.1","0","304.004","218.762","16","539","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:49.4644140Z","6.108","0","304.004","218.762","16","539","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:50.4748724Z","7.118","0","304.004","218.762","16","539","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:51.4833247Z","8.127","0","304.004","218.762","16","539","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:52.4933484Z","9.137","0","304.004","218.762","16","539","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:53.5025408Z","10.146","0","304.004","218.762","16","539","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:54.5112074Z","11.155","0","304.004","218.762","16","539","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S14-category-display","2026-09-20T00:21:55.5208252Z","12.164","0","304.004","218.762","16","539","0","0",,,,"18","29",,,,"True"
