"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:01.3270894Z","0.004",,"304.039","218.723","15","542",,,,,,"18","31",,,,"True"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:02.3699581Z","1.047","0.1873","304.047","218.723","15","542","2360.796","662.595",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:03.3913086Z","2.068","0","304.047","218.723","15","542","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:04.4098897Z","3.086","0","304.047","218.723","15","542","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:05.4276561Z","4.104","0","304.047","218.723","15","542","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:06.4377116Z","5.114","0","304.016","218.672","14","539","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:07.4491817Z","6.126","0","304.016","218.672","14","539","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:08.4594294Z","7.136","0","304.016","218.672","14","539","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:09.4676241Z","8.144","0","304.016","218.672","14","539","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:10.4772824Z","9.154","0","304.016","218.672","14","539","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:11.4860806Z","10.163","0","304.086","218.801","17","548","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:12.4980422Z","11.175","0","304.086","218.801","17","548","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S15-display-toggle","2026-09-20T00:22:13.5059003Z","12.182","0","304.086","218.801","17","548","0","0",,,,"18","29",,,,"True"
