"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:37.4977022Z","0.004",,"296.582","211.68","15","548",,,,,,"20","30",,,,"True"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:38.5346340Z","1.041","0.2825","296.703","211.68","15","548","15896.899","36087.234",,,,"20","29",,,,"True"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:39.5499475Z","2.056","0","296.703","211.68","15","548","0","0",,,,"20","29",,,,"True"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:40.5646232Z","3.071","0","296.703","211.68","15","548","0","0",,,,"20","29",,,,"True"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:41.5816085Z","4.088","0","296.742","211.758","17","554","0","0",,,,"20","29",,,,"True"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:42.6005576Z","5.107","0","296.742","211.758","17","554","0","0",,,,"20","29",,,,"True"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:43.6087535Z","6.115","0","296.738","211.734","17","555","0","0",,,,"20","30",,,,"True"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:44.6180079Z","7.124","0","296.738","211.734","17","555","0","0",,,,"20","30",,,,"True"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:45.6280706Z","8.134","0","296.738","211.734","17","555","0","0",,,,"20","30",,,,"True"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:46.6372691Z","9.144","0","296.738","211.734","17","555","0","0",,,,"20","30",,,,"True"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:47.6435634Z","10.15","0","296.738","211.734","17","555","0","0",,,,"20","30",,,,"True"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:48.6551711Z","11.161","0","296.738","211.734","17","555","0","0",,,,"20","30",,,,"True"
"A-SoftwareOnly-Final3","S17-resize","2026-09-20T00:22:49.6645287Z","12.171","0","296.727","211.734","17","555","0","0",,,,"20","30",,,,"True"
