"Runtime","Scenario","TimestampUtc","ElapsedSec","ProcessGpuEngineUtilPct","ProcessGpuDedicatedMB","ProcessGpuSharedMB","TotalGpuUtilPct","TotalGpuMemoryMB"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:22:55.1189022Z","0.004",,,,"8","2027"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:03.7263755Z","8.611",,,,"7","2027"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:12.0538653Z","16.939",,,,"7","2012"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:20.3583790Z","25.243",,,,"7","2012"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:28.6782919Z","33.563",,,,"7","2012"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:37.2109190Z","42.096",,,,"8","2012"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:45.8484389Z","50.733",,,,"7","2012"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:54.2410584Z","59.126",,,,"7","2012"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:24:02.6034896Z","67.488",,,,"7","2012"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:24:11.7173320Z","76.602",,,,"7","2012"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:24:20.0408073Z","84.926",,,,"7","2012"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:24:28.3566879Z","93.242",,,,"7","2012"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:24:36.6641677Z","101.549",,,,"7","2004"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:24:44.9821342Z","109.867",,,,"7","2004"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:24:53.2930418Z","118.178",,,,"7","2004"
