"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:22:55.2099342Z","0.004",,"293.711","208.434","19","561",,,,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:22:56.2519003Z","1.046","0","293.711","208.434","19","561","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:22:57.2627083Z","2.057","0","293.711","208.434","19","561","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:22:58.2825462Z","3.077","0","293.711","208.434","19","561","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:22:59.2935275Z","4.088","0","293.664","208.371","18","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:00.3014925Z","5.096","0","293.664","208.371","18","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:01.3114364Z","6.106","0","293.664","208.371","18","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:02.3184359Z","7.113","0","293.664","208.371","18","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:03.3241400Z","8.118","0","293.664","208.371","18","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:04.3311004Z","9.125","0","293.664","208.371","18","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:05.3405195Z","10.135","0","293.664","208.371","18","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:06.3517069Z","11.146","0","293.664","208.371","18","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:07.3620956Z","12.156","0","293.664","208.371","18","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:08.3728183Z","13.167","0","293.664","208.371","18","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:09.3822808Z","14.176","0","293.664","208.371","18","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:10.3933204Z","15.187","0","293.668","208.375","18","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:11.4027597Z","16.197","0","293.703","208.422","19","561","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:12.4091837Z","17.203","0","293.703","208.422","19","561","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:13.4155404Z","18.21","0","293.703","208.422","19","561","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:14.4242358Z","19.218","0","293.703","208.422","19","561","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:15.4441226Z","20.238","0","293.652","208.336","17","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:16.4510725Z","21.245","0","293.652","208.336","17","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:17.4570910Z","22.251","0","293.652","208.336","17","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:18.4650562Z","23.259","0","293.652","208.336","17","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:19.4793845Z","24.274","0","293.652","208.336","17","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:20.4968547Z","25.291","0","293.652","208.336","17","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:21.5152249Z","26.309","0","293.652","208.336","17","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:22.5234623Z","27.318","0","293.652","208.336","17","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:23.5438550Z","28.338","0","293.613","208.258","15","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:24.5570688Z","29.351","0","293.613","208.258","15","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:25.5702438Z","30.364","0","293.613","208.258","15","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:26.5884778Z","31.383","0","293.613","208.258","15","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:27.6186028Z","32.413","0","293.613","208.258","15","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:28.6476843Z","33.442","0","293.613","208.258","15","558","0","0",,,,"21","30",,,,"True"
"A-SoftwareOnly-Final3","S18-post-operation-idle","2026-09-20T00:23:29.6783912Z","34.473","0","293.613","208.258","15","558","0","0",,,,"21","30",,,,"True"
