"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:43.7997282Z","0.004",,"288.328","210.996","16","526",,,,,,"18","31",,,,"True"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:44.8320934Z","1.036","3.4054","292.391","214.246","16","526","33805.866","73041.982",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:45.8561876Z","2.06","1.8118","293.371","214.41","16","526","16096.176","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:46.8670541Z","3.071","0","293.371","214.41","16","526","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:47.8760546Z","4.08","0","293.371","214.41","16","526","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:48.8825449Z","5.087","0","293.379","214.41","16","526","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:49.8946940Z","6.099","0","293.379","214.41","16","526","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:50.9020267Z","7.106","0","293.379","214.41","16","526","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:51.9105964Z","8.115","0.0968","293.379","214.41","16","526","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:52.9235492Z","9.128","0.0964","293.32","214.332","15","523","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:53.9328763Z","10.137","0","293.32","214.332","15","523","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:54.9415618Z","11.146","0","293.301","214.293","14","523","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S4-japanese-input","2026-09-20T00:18:55.9576475Z","12.162","0","293.289","214.293","14","522","0","0",,,,"18","30",,,,"True"
