"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:19.6891312Z","0.004",,"295.359","215.277","13","523",,,,,,"18","31",,,,"True"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:20.7377783Z","1.052","1.7694","295.848","215.379","13","523","33294.328","71907.89",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:21.7608409Z","2.076","0","295.855","215.348","13","523","16112.406","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:22.7708694Z","3.086","0","295.855","215.348","13","523","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:23.7905576Z","4.105","0","295.855","215.348","13","523","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:24.8038070Z","5.119","0","295.855","215.348","13","523","0","0",,,,"18","31",,,,"True"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:25.8088091Z","6.124","0","295.805","215.277","12","520","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:26.8167711Z","7.131","0","295.805","215.277","12","520","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:27.8274354Z","8.142","0","295.805","215.277","12","520","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:28.8463355Z","9.161","0","295.805","215.277","12","522","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:29.8594165Z","10.174","0","295.805","215.277","12","522","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:30.8683997Z","11.183","0","295.805","215.277","12","522","0","0",,,,"18","30",,,,"True"
"A-SoftwareOnly-Final3","S6-mixed-input","2026-09-20T00:19:31.8735732Z","12.188","0","295.793","215.277","12","522","0","0",,,,"18","30",,,,"True"
