"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:19:55.8051007Z","0.004",,"289.957","210.305","17","541",,,,,,"18","32",,,,"True"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:19:56.8439026Z","1.043","1.5981","293","212.574","17","541","66557.445","72974.453",,,,"18","32",,,,"True"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:19:57.8667795Z","2.066","1.3366","294.773","213.926","17","543","34322.801","37212.689",,,,"18","31",,,,"True"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:19:58.8834839Z","3.082","0.7684","294.836","213.934","17","543","50740.412","74243.802",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:19:59.9045340Z","4.104","0","294.836","213.934","17","543","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:20:00.9116411Z","5.111","0","294.836","213.934","17","543","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:20:01.9223456Z","6.121","0","294.836","213.934","17","543","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:20:02.9278773Z","7.127","0","294.723","213.758","14","543","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:20:03.9380997Z","8.137","0","294.703","213.715","13","543","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:20:04.9445509Z","9.144","0","294.703","213.715","13","543","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:20:05.9559018Z","10.155","0","294.703","213.715","13","543","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:20:06.9622401Z","11.161","0","294.684","213.676","12","540","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S8-body-filter","2026-09-20T00:20:07.9723514Z","12.171","0","294.684","213.676","12","540","0","0",,,,"18","29",,,,"True"
