"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:13.5402990Z","0.004",,"292.305","210.316","13","543",,,,,,"18","32",,,,"True"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:14.5797558Z","1.043","1.5032","292.664","210.371","13","534","49637.464","72618.699",,,,"18","31",,,,"True"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:15.5979796Z","2.061","1.6304","297.672","215.125","13","534","67910.414","74449.252",,,,"18","31",,,,"True"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:16.6196150Z","3.083","1.5294","297.832","215.094","13","534","50503.34","73885.459",,,,"18","32",,,,"True"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:17.6263598Z","4.09","0","297.914","215.18","13","534","16373.564","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:18.6473095Z","5.111","0","297.914","215.18","13","534","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:19.6576531Z","6.121","0","297.914","215.18","13","534","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:20.6628439Z","7.126","0","297.914","215.18","13","534","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:21.6834395Z","8.147","0","297.867","215.113","12","531","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:22.6903405Z","9.154","0","297.867","215.113","12","531","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:23.6966479Z","10.16","0","297.867","215.113","12","531","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:24.7073799Z","11.171","0","297.867","215.113","12","531","0","0",,,,"18","29",,,,"True"
"A-SoftwareOnly-Final3","S9-theme-filter","2026-09-20T00:20:25.7153345Z","12.179","0","297.867","215.113","12","531","0","0",,,,"18","29",,,,"True"
