"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"B-AutoRender","S1-launch","2026-09-20T00:25:20.2489522Z","0.005",,"186.406","147.199","10","268",,,,,,"0","5",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:21.2979310Z","1.054","3.7239","264.625","241.57","22","662","623344.342","408.016",,,,"17","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:22.3221761Z","2.079","0.6674","267.945","243.25","22","669","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:23.3291556Z","3.086","1.1638","270.062","243.359","22","670","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:24.3352995Z","4.092","0","270.062","237.738","22","670","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:25.3439619Z","5.1","0","270.062","237.738","22","670","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:26.3523322Z","6.109","0","270.062","237.738","22","670","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:27.3569020Z","7.113","0","270.012","237.66","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:28.3644416Z","8.121","0","266.316","233.961","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:29.3708636Z","9.127","0","266.316","233.961","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:30.3798510Z","10.136","0","266.316","233.961","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:31.3904171Z","11.147","0","266.316","233.961","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:32.4019155Z","12.158","0","266.316","233.961","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:33.4149655Z","13.171","0","266.316","233.961","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:34.4262400Z","14.183","0","266.316","233.961","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:35.4352461Z","15.192","0","266.316","233.961","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:36.4403895Z","16.197","0","266.32","233.961","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:37.4484282Z","17.205","0","266.293","233.961","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:38.4589969Z","18.216","0","265.633","233.961","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:39.4674668Z","19.224","0","265.219","233.961","21","667","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:40.4788103Z","20.235","0","264.387","233.895","20","664","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:41.4848747Z","21.241","0","264.156","233.895","20","664","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:42.4922932Z","22.249","0","264.094","233.895","20","664","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:43.5058207Z","23.262","0","264.094","233.895","20","664","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:44.5130728Z","24.27","0","264.094","233.895","20","664","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:45.5199896Z","25.277","0","264.094","233.895","20","664","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:46.5298969Z","26.286","0","264.094","233.895","20","664","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:47.5434071Z","27.3","0","264.094","233.895","20","664","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:48.5498335Z","28.306","0","264.094","233.895","20","664","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:49.5629514Z","29.319","0","264.094","233.895","20","664","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S1-launch","2026-09-20T00:25:50.5819604Z","30.338","0","264.078","233.844","19","664","0","0",,,,"20","31",,,,"True"
