"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:10.0557405Z","0.004",,"309.176","257.82","15","675",,,,,,"21","33",,,,"True"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:11.0948689Z","1.043","0.3759","309.191","257.828","15","677","33883.204","635.148",,,,"21","32",,,,"True"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:12.1193673Z","2.068","0.8579","309.562","257.832","15","675","20512.477","1469.988",,,,"21","30",,,,"True"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:13.1407954Z","3.089","0.9561","309.578","257.832","15","675","2289.931","829.231",,,,"21","30",,,,"True"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:14.1617185Z","4.11","0.7652","309.656","257.832","15","675","19587.176","1161.694",,,,"21","30",,,,"True"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:15.1727469Z","5.121","0","309.656","257.832","15","675","102.866","14.836",,,,"21","29",,,,"True"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:16.1919025Z","6.14","0","309.656","257.832","15","675","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:17.2104031Z","7.159","0","309.656","257.832","15","675","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:18.2158744Z","8.164","0","309.609","257.766","14","672","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:19.2239966Z","9.172","0","304.68","252.82","17","681","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:20.2335205Z","10.182","0","304.691","252.832","17","681","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:21.2381012Z","11.187","0","304.691","252.832","17","681","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S10-content-filter","2026-09-20T00:29:22.2508990Z","12.199","0","304.691","252.832","17","681","0","0",,,,"21","29",,,,"True"
